gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MIF,-0.740819560337259,8.22520503462274,120.493544045815,9.07146953268981e-26,8.51992418510227e-22,ENSG00000240972
NDUFA13,0.58236682149911,7.83170618224704,58.244968326756,8.61913747018233e-14,4.04754695599762e-10,ENSG00000186010
ADCY7,1.25737621799832,6.51976194399215,53.7881646788757,6.90858281810878e-13,2.16284699425592e-09,ENSG00000121281
TIPARP,-0.956644405673458,6.52958187168154,41.0986703833779,2.84267006112778e-10,5.57128871058487e-07,ENSG00000163659
NME2,-0.944559026420094,6.38557150749583,51.7467953974176,2.96597567641869e-10,5.57128871058487e-07,ENSG00000243678
ATP5F1E,-0.313617294874537,9.34841141715403,38.8631090500402,8.33735260797894e-10,1.3050735949023e-06,ENSG00000124172
SEC61G,-0.402409128230183,8.46673439632865,35.2157488019158,4.87720991045509e-09,6.54382221128489e-06,ENSG00000132432
MT-ND6,0.829543262367055,7.84965088828551,34.1113061860475,8.349775732565e-09,9.80263671003131e-06,ENSG00000198695
MT2A,1.01710614310394,6.8036553418585,32.9313009043189,1.48524996928521e-08,1.5499408568363e-05,ENSG00000125148
HSPB1,0.533125707379786,9.80342517522463,32.1011823978857,2.22929835186933e-08,2.09375701207567e-05,ENSG00000106211
GBP1,-0.907304550334855,6.3375149806567,32.9953972859735,3.03791834214399e-08,2.59382991540149e-05,ENSG00000117228
NR4A2,-0.984929404088676,6.71353983317172,31.1568419298842,3.54180938355977e-08,2.69207548738077e-05,ENSG00000153234
ARF5,-0.388733322764094,7.95355827576455,31.05341805002,3.72625440118718e-08,2.69207548738077e-05,ENSG00000004059
H2AFY2,-0.780673986175461,6.46139003484153,30.6039902423318,4.6466837714208e-08,3.11726099865601e-05,ENSG00000099284
KRT10,-0.403539795560209,9.32970180419228,28.6308513154858,1.22831475395066e-07,7.6908881127364e-05,ENSG00000186395
TMEM45A,-0.910569322099995,6.79883272768143,28.4371871773226,1.35163368665077e-07,7.93408974064002e-05,ENSG00000181458
RAX,0.683839699123608,7.22721340339787,25.366866635531,6.20066998761631e-07,0.0003177268132479,ENSG00000134438
PSMA2,0.414050901348584,7.37311917421521,25.3651275890564,6.2060450440922e-07,0.0003177268132479,ENSG00000106588
DIRAS3,0.727971348175618,6.3650659965788,25.2947307444421,6.42760801928247e-07,0.0003177268132479,ENSG00000162595
