gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
CRABP1,4.08974946498117,7.06857421401807,1384.61994820516,9.36377891625064e-184,9.42745261288115e-180,ENSG00000166426
CXADR,2.25411040224417,7.77209059681658,858.758491253114,8.37963171450559e-133,4.21830660508212e-129,ENSG00000154639
BTG3,2.20525579949132,7.73871329925487,816.808070346503,4.25742813416482e-128,1.42879288182571e-124,ENSG00000154640
RAC1,-1.20916140064633,9.61047725805322,544.227769227514,2.26843870351338e-94,5.70966021674319e-91,ENSG00000136238
TOMM7,-1.31963483665356,9.48789287166653,535.881350992836,3.07053481722171e-93,6.18282890795763e-90,ENSG00000196683
RFLNB,2.58851929031313,6.79076517697087,529.835454072181,2.04637478459875e-92,3.4338168885567e-89,ENSG00000183688
EIF3B,-1.63703732551724,8.18555193671992,494.879881081939,1.39272555201689e-87,2.00313726538658e-84,ENSG00000106263
C21orf91,2.10178077221375,6.3074830764811,358.508571688473,1.76701906231743e-67,2.22379348992649e-64,ENSG00000154642
ATP5MC3,0.936394632042168,9.54064812104818,350.17713849033,3.51638157819173e-66,3.93365885880381e-63,ENSG00000154518
SMIM22,-1.64529043884561,7.58623864301531,339.688013244343,1.56275065781635e-64,1.5733773622895e-61,ENSG00000267795
PSMB1,1.02241700205641,8.83894175465224,334.54786576848,1.01522644367739e-63,9.29209075903997e-61,ENSG00000008018
CBX3,-0.995011868884741,8.87983892891823,325.346663116483,2.95072577598442e-62,2.34358947209104e-59,ENSG00000122565
ACTG1,1.06286950170495,11.2086641160874,325.278058581387,3.02608890913622e-62,2.34358947209104e-59,ENSG00000184009
TACC1,2.38997895551794,6.39790579979587,318.341714256329,3.90403337201039e-61,2.80755771352862e-58,ENSG00000147526
CDH1,1.27603981454457,7.70503766948546,314.908267505305,1.39204119201648e-60,9.34338048081465e-58,ENSG00000039068
MT-ND3,-1.16713115145039,12.8109300190788,284.299706445712,1.3717809028659e-55,8.63193133128367e-53,ENSG00000198840
