gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
CYP1B1,-2.72220751494191,7.47841175168762,614.467193945367,1.32463419820695e-112,1.2436990486965e-108,ENSG00000138061
FXYD3,-2.08660017261748,7.15011694159706,387.897602624789,2.42047999919842e-76,1.1362943356237e-72,ENSG00000089356
IGFBP2,-1.89612576059621,8.66781072771342,334.161103420603,4.67601772250658e-67,1.46343767988714e-63,ENSG00000115457
DGAT2,-1.68014866726641,7.0565113912577,268.504367925514,2.65303069357709e-55,6.22732629549882e-52,ENSG00000062282
PTMA,-0.632823044864505,11.6916914822668,259.680676209377,1.09519177137916e-53,2.05655110829578e-50,ENSG00000187514
EPCAM,-1.53970215028772,7.03611860882021,256.493206113845,4.22028618911544e-53,6.60404450493414e-50,ENSG00000119888
FAM213A,-1.40609161447865,7.14041966796985,219.459005806236,3.30325259306566e-46,4.43060551375621e-43,ENSG00000122378
LYPD3,-1.5022296413687,7.71143234454133,208.804788721779,3.40782911186361e-44,3.99951344141093e-41,ENSG00000124466
COL6A3,-1.57241604535093,7.12677106634331,183.160366536291,2.73362185143591e-39,2.8517750625702e-36,ENSG00000163359
SSFA2,-1.32065132138988,7.02964966229577,195.822854164233,1.22750188350425e-38,1.15250151842214e-35,ENSG00000138434
SLPI,-1.53051146018481,7.48971312113438,176.545595505445,5.19162205774045e-38,4.43128540910228e-35,ENSG00000124107
SEC11C,-1.27683124281025,7.09117826288109,176.040875710891,6.50268204386292e-38,5.08780680915241e-35,ENSG00000166562
USP18,-1.21858299342699,7.02059982201563,170.811872594784,1.89061339068041e-36,1.36545916346911e-33,ENSG00000184979
COL1A1,-1.81255472691741,7.98916625886924,158.859710361675,1.45176981612268e-34,9.73619057398275e-32,ENSG00000108821
DHCR24,-1.20970865439147,7.41922662719018,151.349973622097,4.34515365819952e-33,2.71977651312235e-30,ENSG00000116133
SYNGR2,-1.23431527776388,7.2496933729852,145.21758133661,7.06450774608025e-32,4.14554145174672e-29,ENSG00000108639
LOXL1,-1.17133200013022,7.52637115196365,144.650378922778,9.14869849185574e-32,5.05277236117845e-29,ENSG00000129038
IL11RA,1.49549866821126,7.52180717097772,141.170746053411,4.47844141168378e-31,2.33600480079439e-28,ENSG00000137070
CDH1,-1.19117264161656,7.1193406097692,139.481242758951,9.69717248253116e-31,4.79193433886764e-28,ENSG00000039068
LLGL2,-1.16618936390946,7.04673951719374,139.32802363013,1.04014197224551e-30,4.88294648870655e-28,ENSG00000073350
APOE,-1.28637173762618,11.3769462512775,138.252339497307,1.7019380539206e-30,7.60928399440977e-28,ENSG00000130203
AGPAT3,-1.11762206104546,7.04994993004472,136.277996461683,4.20606003271458e-30,1.79503171123442e-27,ENSG00000160216
CSTB,-1.08556916290631,9.97763905661601,135.567385644909,5.82686417650292e-30,2.37862729361678e-27,ENSG00000160213
ALKAL2,-1.11741485572343,8.23020758399041,134.848391228515,8.10470107884872e-30,3.17062660122128e-27,ENSG00000189292
EMILIN1,-1.28980691641971,7.06471442598494,133.330804871874,1.62721904785717e-29,6.11118385613239e-27,ENSG00000138080
LAPTM4A,-0.604363779121945,9.52486759901799,132.893948747331,1.98904750339028e-29,7.18275654205052e-27,ENSG00000068697
PKP1,-1.28306528177782,7.18132751179008,132.586845928568,2.29066184997672e-29,7.96556448497462e-27,ENSG00000081277
METRNL,-0.965380958086267,7.81587287711521,131.39493734327,3.96335891222053e-29,1.32899917238709e-26,ENSG00000176845
NTRK2,-1.10283016385582,7.55457255212625,131.289226219563,4.1609321596123e-29,1.34713765677931e-26,ENSG00000148053
MAPK8IP2,-1.05497524849612,6.98194496014749,132.246030712144,1.04336596768345e-28,3.26538769019331e-26,ENSG00000008735
C16orf74,-1.15162445721155,7.620160186929,128.842987291215,1.28391978803808e-28,3.88862028706113e-26,ENSG00000154102
SH3YL1,-1.06439434594016,7.25558710709236,127.117502574463,2.84591289368107e-28,8.35008629961612e-26,ENSG00000035115
KRT7,-1.15638754889273,8.05380053312535,126.569007442716,3.66603854192669e-28,1.04304351121666e-25,ENSG00000135480
EHF,-1.19183491695679,7.13533328881056,126.44644828372,3.87950715145788e-28,1.07131448955994e-25,ENSG00000135373
SPARCL1,1.60361119370982,8.08606989769284,121.032081656788,4.75135041940474e-27,1.2745836882226e-24,ENSG00000152583
ETHE1,-1.06553949298941,7.29381531008013,120.590726311077,5.83039499397237e-27,1.52059940551129e-24,ENSG00000105755
VAMP8,-0.847133848332862,7.79779356168036,120.312284212928,6.63415859627904e-27,1.68346256920173e-24,ENSG00000118640
SEM1,0.589446769809298,8.86818886226778,119.92803846899,7.92875404410736e-27,1.95902820316116e-24,ENSG00000127922
YBX3,-0.859915147933923,8.01104161079497,119.432209049214,9.98018029420183e-27,2.40266443031438e-24,ENSG00000060138
GPSM2,0.904007493389341,8.03867168210501,113.934845050823,1.28694412317128e-25,3.02077959311379e-23,ENSG00000121957
SCRG1,1.44402527113374,7.40107980023647,113.200051625618,1.8126875738647e-25,4.15105454415015e-23,ENSG00000164106
PHLDA2,-1.22882102602491,7.50479413088537,112.704657847749,2.28383152957113e-25,5.10545100741508e-23,ENSG00000181649
S100A16,-1.1175785820296,8.35766507586858,112.166935482184,2.9350837269413e-25,6.40872118889579e-23,ENSG00000188643
RAMP1,-1.12056680031974,7.01212905284513,126.660925470071,5.90448321602828e-25,1.25993620262022e-22,ENSG00000132329
COL9A3,-1.06058670585208,7.81348681284476,109.852401449604,8.65172387219642e-25,1.80513412080116e-22,ENSG00000092758
CNN2,-1.06768469678927,7.01173906554794,133.112651612758,1.09782969278924e-23,2.24076586643439e-21,ENSG00000064666
CERS4,-0.968309760034713,7.069178519123,104.309411156293,1.16081253312589e-23,2.31890827096148e-21,ENSG00000090661
JUP,-1.04422923192643,7.04591197712673,104.114308882423,1.27215323149563e-23,2.4883847271901e-21,ENSG00000173801
UQCRB,0.482829093869032,9.25782939980982,101.484182706027,4.37868926868211e-23,8.39010480482782e-21,ENSG00000156467
OLA1,-0.883253280455792,7.29860879237222,100.318249877254,7.5797352153494e-23,1.42332267873831e-20,ENSG00000138430
GYPC,-0.875414118486296,7.46451051916195,99.6938079178627,1.01712404987642e-22,1.87250543221367e-20,ENSG00000136732
TUBA4A,-0.908425550335558,7.67870001511772,97.8246133199145,2.45502210324937e-22,4.43273125527084e-20,ENSG00000127824
GCNT2,-1.03469254427298,7.11531007904487,97.6622993346543,2.65040411536424e-22,4.69521589418015e-20,ENSG00000111846
EDN2,-1.18756167893873,7.24171149842166,97.542701066688,2.80426716900289e-22,4.87578971292003e-20,ENSG00000127129
