gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MGST1,-3.32302807562975,7.05630177758001,1901.74864446228,5.69035847961284e-313,6.04828202798048e-309,ENSG00000008394
PABPC1,-1.88916434316067,8.96436559789121,1467.76002909999,1.7447853184545e-255,9.27266157492644e-252,ENSG00000070756
COX6C,-1.64874889818762,9.0821073364178,1424.21420377343,2.20597036375574e-249,7.8157529987866e-246,ENSG00000164919
UQCRB,-1.08905553010668,10.4618138597586,1006.7901852318,2.59614420930499e-187,6.89860420017567e-184,ENSG00000156467
SNHG9,-2.54710116137277,7.21905130395738,1001.57697895038,1.71390374802982e-186,3.64341658756178e-183,ENSG00000255198
CTGF,-2.97567010914208,6.91510542882309,963.686289625017,1.68733783071549e-180,2.98911896711249e-177,ENSG00000118523
MT-ND4L,-1.54399914904482,9.22767745315125,949.130361487554,3.5191036817876e-178,5.34350757624578e-175,ENSG00000212907
ATP5ME,-1.52749461266153,8.74720333975673,914.82158751266,1.1237208684582e-172,1.49300363885528e-169,ENSG00000169020
GAGE13,3.82434196321915,8.20738853455919,877.270353581335,1.37030539182039e-166,1.61833066773988e-163,ENSG00000274274
SNHG25,-2.30994286710609,7.45675959231905,847.40324890149,1.05813845285671e-161,1.1246953615414e-158,ENSG00000266402
TPT1,-1.33980240736438,9.73632023265964,810.922526766657,1.12773329267793e-155,1.08969792435215e-152,ENSG00000133112
MT-ND3,-1.28190627072723,12.4562925375067,734.419665797406,8.02378411787532e-143,7.10706678240807e-140,ENSG00000198840
CYB5D2,-2.488809469851,7.10610981516672,602.728140282145,5.41891228285166e-120,4.43058605034079e-117,ENSG00000167740
BARX1,3.16242622848191,8.12111494033261,580.024786110241,5.81252889558094e-116,4.41295497365213e-113,ENSG00000131668
MYL9,-2.30960371017522,6.88144484313725,571.137854182364,7.36890775713957e-114,5.2216080367091e-111,ENSG00000101335
POLR2K,-1.56926210263677,7.78148378831861,532.871482534332,1.69139818210389e-107,1.12361695484889e-104,ENSG00000147669
DCAF13,-1.59459589163234,7.7580285769648,528.746733789113,9.43387604620288e-107,5.89839226441709e-104,ENSG00000164934
