gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MGST1,-4.2981858548302,8.2771000295492,16904.9009880888,0,0,ENSG00000008394
ID3,4.18529068788128,8.39919987439567,2950.71523878678,0,0,ENSG00000117318
KCNMA1,3.79936372718262,7.94545448973889,2310.6981647294,0,0,ENSG00000156113
ID2,3.63145074179062,8.80268784332214,3681.71060857143,0,0,ENSG00000115738
ID1,3.35531941767494,9.19906965147194,2614.73267863442,0,0,ENSG00000125968
SPINT2,3.2083405463927,8.26825682231549,5374.8452052598,0,0,ENSG00000167642
SPRR2F,-3.19512324135944,8.01802934868023,3567.02207899708,0,0,ENSG00000244094
CRABP2,3.17142954101723,8.33506624460715,4177.09113457333,0,0,ENSG00000143320
TCF4,2.92574982559862,9.45059497618816,6006.72496762677,0,0,ENSG00000196628
PDGFC,-2.7769559540126,7.55388977469445,4422.89232584967,0,0,ENSG00000145431
BARX1,2.60103416336993,7.60048724022227,2556.46629750666,0,0,ENSG00000131668
FOXP1,2.47801308827264,8.29525664503806,3213.47642270666,0,0,ENSG00000114861
MID1IP1,-2.43036128922445,7.44797531360804,3464.04483342777,0,0,ENSG00000165175
KRTCAP3,2.40286011882863,7.31052323787991,1787.42280800893,0,0,ENSG00000157992
RGS16,-2.33481895253982,7.63151885735737,1786.83309194762,0,0,ENSG00000143333
DCAF13,-2.2878450534078,8.516519849201,6093.16146968313,0,0,ENSG00000164934
ZFHX3,2.1693797547409,8.01679619048177,2365.61465466488,0,0,ENSG00000140836
EPCAM,2.13860104905723,7.86601935684985,1961.5087661383,0,0,ENSG00000119888
POLR2I,1.93066614607688,8.69791812927481,4096.59253855035,0,0,ENSG00000105258
M6PR,-1.87692276041984,7.78726442924877,2622.13356553984,0,0,ENSG00000003056
ROMO1,1.85476028134382,8.15104924430897,2691.73864081005,0,0,ENSG00000125995
LAPTM4B,-1.84847954973039,8.77490564964152,4610.23915784276,0,0,ENSG00000104341
PABPC1,-1.82973066491642,9.73207256327338,7795.92260520594,0,0,ENSG00000070756
POLR2K,-1.82492461380299,8.45895281928982,4110.24051178146,0,0,ENSG00000147669
DSCR8,1.8206935718363,8.19134184497959,2677.43808505784,0,0,ENSG00000198054
NDUFC1,1.80966164949993,8.37217433635903,2846.26118928251,0,0,ENSG00000109390
NDUFV3,1.76477012071491,7.94457421961612,2040.45396641772,0,0,ENSG00000160194
ATP5MF,1.72432240495399,8.591523232001,3337.69777199712,0,0,ENSG00000241468
ATP5MC3,-1.71388179485622,8.82054598512692,2822.5752515084,0,0,ENSG00000154518
TOMM7,1.69222580861443,9.22371013700665,4634.93565385328,0,0,ENSG00000196683
COX7A2,1.67137043135503,9.30303369607015,5074.20457485568,0,0,ENSG00000112695
RIDA,-1.66099311742923,7.59924822549193,1773.37965810941,0,0,ENSG00000132541
ATP5F1E,1.62517890015951,9.84250415628887,6179.39982298482,0,0,ENSG00000124172
FKBP4,-1.60505434492474,8.39752691719715,2778.78983917796,0,0,ENSG00000004478
EMG1_ENSG00000126749,-1.58813230442,7.97906043404949,2099.93882328354,0,0,ENSG00000126749
MTDH,-1.56877731960724,8.85431966508489,3764.11026320285,0,0,ENSG00000147649
C12orf10,-1.56868317884335,7.84795837040625,2026.21827105366,0,0,ENSG00000139637
GTSF1,-1.56643214816189,8.34140403805802,2844.38492076197,0,0,ENSG00000170627
TMEM258,1.56529319136469,8.20354454460581,2017.9761862177,0,0,ENSG00000134825
ACTB,-1.54864991668505,10.9373576099985,5324.35864083076,0,0,ENSG00000075624
COX6B1,1.54599970806137,9.16059069256819,4375.25638055806,0,0,ENSG00000126267
RANBP1,-1.54088180932652,8.92960207779458,4130.05828968974,0,0,ENSG00000099901
PHB2,-1.52458531726277,8.98351555424056,4062.19771333673,0,0,ENSG00000215021
PTDSS1,-1.51425960116032,8.06889045390652,2172.72262378363,0,0,ENSG00000156471
RPF2,-1.49968300321772,7.98072440655632,1858.77571419216,0,0,ENSG00000197498
PFN1,-1.49854098957375,9.71174434153547,5248.23987594079,0,0,ENSG00000108518
CD24,-1.49081909942961,10.813889840118,3201.95530851439,0,0,ENSG00000272398
GTF3C6,-1.4426745057658,8.26415462418264,2186.60781029348,0,0,ENSG00000155115
ATP5MG,1.41494629821387,9.39017638545157,3785.67696607552,0,0,ENSG00000167283
GAPDH,-1.4013609430137,11.8692473145983,4277.47100037094,0,0,ENSG00000111640
MT-ND4L,1.39550149653313,9.28839107126822,2546.21104770292,0,0,ENSG00000212907
STRAP,-1.39216943120214,9.15443872390796,3493.49821768757,0,0,ENSG00000023734
MT-ND3,1.3889233719726,12.4408028204508,3113.99293043845,0,0,ENSG00000198840
FAU,1.38043909751926,10.23619616819,5371.32442744697,0,0,ENSG00000149806
PTMS,-1.3676513609437,9.45086576006207,2388.07210218827,0,0,ENSG00000159335
USP11,-1.35638489008494,8.34491038685535,2014.84411492044,0,0,ENSG00000102226
UBE2N,-1.35137000179665,8.37587112958281,2379.39938236203,0,0,ENSG00000177889
ZNF706,-1.34914130517634,8.42016825983664,2247.91053053578,0,0,ENSG00000120963
SSR2,-1.32110609219887,9.82467618750267,4783.88612987208,0,0,ENSG00000163479
SERF2,1.32090059765568,9.56826083404877,3537.67525351819,0,0,ENSG00000140264
UCHL1,-1.31669715552694,8.97943649499082,2444.35198412867,0,0,ENSG00000154277
NDUFB2,1.3114013570321,8.56760550866511,1960.02648253538,0,0,ENSG00000090266
TMA7,1.29202893899145,9.02197924328603,2604.30460820798,0,0,ENSG00000232112
YWHAZ,-1.26641692819522,8.86844282377515,2479.15371019652,0,0,ENSG00000164924
ATP5MC1,1.26382344402842,9.10134281127373,2321.90341344621,0,0,ENSG00000159199
MARCKS,-1.25959647396262,9.08846716989877,2383.69456979279,0,0,ENSG00000277443
MLF2,-1.25533122150086,8.78430917317559,2376.88769862,0,0,ENSG00000089693
NME4,-1.25371009767372,8.90458538710625,2340.34280620601,0,0,ENSG00000103202
SEM1,1.24735727194722,9.1046316954746,2718.90367757435,0,0,ENSG00000127922
TMBIM6,-1.23248094405794,8.78990191298661,2603.91221992546,0,0,ENSG00000139644
ATP5ME,1.22713462473889,8.54239171400492,1844.29122521328,0,0,ENSG00000169020
YBX3,-1.1847553554965,9.03201401190253,2412.21272349865,0,0,ENSG00000060138
RNPS1,-1.18459649510962,8.70856545341342,2125.74112297255,0,0,ENSG00000205937
TPI1,-1.17751659755647,9.99149314024531,2531.38686642664,0,0,ENSG00000111669
TPT1,-1.16698605354115,10.5393250011736,3685.08699549742,0,0,ENSG00000133112
NDUFS2,-1.15592312668252,8.97911606035883,2500.45072527253,0,0,ENSG00000158864
PPIF,-1.14484739892549,9.12808937947285,2126.98098398258,0,0,ENSG00000108179
GAGE2A,1.12900119261956,9.39611159933832,1856.68270127152,0,0,ENSG00000189064
NUDT5,-1.12383629184056,8.58582232020246,1872.25694331493,0,0,ENSG00000165609
MRPS26,-1.11400242510388,8.87356073908991,2046.42540028457,0,0,ENSG00000125901
RSL1D1,-1.07289870276571,8.98636136375304,1971.30841460577,0,0,ENSG00000171490
SOD1,1.02622876064211,9.66921779255514,2374.19370298307,0,0,ENSG00000142168
HMGA1,-1.01392456464016,9.21556594290221,1852.72891614237,0,0,ENSG00000137309
ATP5F1B,-0.991917648360288,9.37624026668866,2276.77700068477,0,0,ENSG00000110955
PTGES3,-0.984886123025766,9.42045372427545,2468.4386665705,0,0,ENSG00000110958
C1QBP,-0.97503062331809,9.49980068740633,2139.19915783384,0,0,ENSG00000108561
SDHC,-0.90323305438927,9.1136017860725,1849.60227268741,0,0,ENSG00000143252
CFL1,-0.884990645271878,10.2396937174048,2584.190745039,0,0,ENSG00000172757
NDUFA4,0.859345680581134,10.1336651808444,1831.8562761531,0,0,ENSG00000189043
PFDN2,-0.832879242696391,10.0837433268865,2041.05081712459,0,0,ENSG00000143256
NACA,-0.72300476723149,11.1416075600299,2164.83060453863,0,0,ENSG00000196531
SFRP1,2.62024196138976,7.9367564546046,1765.50785173004,2.96439387504748e-323,2.9742751879643e-321,ENSG00000104332
HSPA1A,2.77242880752003,9.31802819414815,1753.49757146707,1.72428910398595e-321,1.71040585933781e-319,ENSG00000204389
COX8A,1.06914615526736,8.92771694748407,1743.08473305881,6.95990275296564e-320,6.83032909668731e-318,ENSG00000176340
MRPL51,-0.96543015708458,9.39330720452502,1740.96003073636,1.48140643249039e-319,1.43852351069396e-317,ENSG00000111639
COMMD6,1.33978922420477,8.33335770964863,1732.91706043929,2.59210058893672e-318,2.49084667666489e-316,ENSG00000188243
TSTD1,1.42462996983111,8.32468058806829,1729.98030480806,7.37765995980671e-318,7.01638280599471e-316,ENSG00000215845
UCK2,-1.25768581783851,8.25928811367503,1719.78861785451,2.79336035425243e-316,2.62946421101319e-314,ENSG00000143179
CCT5,-1.13621883684928,8.90164079123076,1709.90614373229,9.52841805111634e-315,8.87875318399477e-313,ENSG00000150753
PSMB5,-0.913757431479485,9.03074951823169,1701.83981258988,1.7064293354264e-313,1.57418106193085e-311,ENSG00000100804
HDGF,-0.966395557972663,9.09600200439587,1697.99348299667,6.76385590975312e-313,6.17787829380917e-311,ENSG00000143321
EFEMP1,-1.60143847244684,7.83882960777283,1688.03211766026,2.40428511204536e-311,2.17446374104102e-309,ENSG00000115380
NDUFV2,-1.32990184988806,8.01729443005915,1672.81068252511,5.69752849787553e-309,5.10288353329144e-307,ENSG00000178127
PRDX1,-0.788338060388649,9.90028341283885,1650.39665576971,1.83488021649986e-305,1.62757403819339e-303,ENSG00000117450
GAGE12H,1.25951387448872,8.73662350614823,1627.1165844834,8.3400193842947e-302,7.3273027447732e-300,ENSG00000224902
HOXD8,-1.95015883687786,7.33337110565998,1608.69972388778,6.68209709780784e-299,5.8153156346488e-297,ENSG00000175879
BTF3,-0.664925912892175,10.2281113017785,1602.03590370377,7.54789726682182e-298,6.50741610153564e-296,ENSG00000145741
HDAC2,-1.02819816923552,8.76458385610208,1598.47331976722,2.76198106872701e-297,2.35919216287099e-295,ENSG00000196591
WDR45,-1.36661970118257,7.98274681776086,1578.86937656197,3.52831631063151e-294,2.986120914273e-292,ENSG00000196998
CDC123,-1.03927640459829,8.5520083389586,1549.440268596,1.69972960976802e-289,1.42545505910091e-287,ENSG00000151465
ID4,2.03577859097365,8.28391411212615,1513.54237956063,9.43431857926042e-284,7.84068368411508e-282,ENSG00000172201
SON,1.08169971700592,8.94239836772099,1508.83792328439,5.37223167700595e-283,4.42489618039106e-281,ENSG00000159140
SUMO1,-0.894699973164352,8.91649600554013,1490.96789411521,4.03046415869161e-280,3.29035680211771e-278,ENSG00000116030
DDX25,1.96872322224952,7.45268574267538,1487.11483606413,1.68446952629627e-279,1.36309047193711e-277,ENSG00000109832
ATP5MC2,-0.762712181173817,9.3927830143816,1467.50007811654,2.48200360696445e-276,1.9909985455867e-274,ENSG00000135390
PA2G4,-0.961335173971189,8.77904752391844,1459.78511840286,4.40513437017402e-275,3.50322108317718e-273,ENSG00000170515
SNRPB,-0.668004302493462,9.98460938657764,1459.5323835231,4.84070756507355e-275,3.8167117340003e-273,ENSG00000125835
MAP7D2,1.966825982662,7.6588881353966,1454.14881465715,3.61092230811854e-274,2.82294561799945e-272,ENSG00000184368
TPM3,-0.948775419645169,8.79566740308006,1421.18371255197,8.30709286535246e-269,6.43974215822492e-267,ENSG00000143549
PRELID1,-0.969557015016582,8.68855299204692,1419.23565507432,1.72693626333578e-268,1.32758225243938e-266,ENSG00000169230
PSAP,-0.972507295668691,8.69259149950592,1416.50460981051,4.81983511855636e-268,3.67462636104814e-266,ENSG00000197746
CDK4,-0.999874202065568,8.58995393269862,1410.21093946715,5.1414952290329e-267,3.88772897441217e-265,ENSG00000135446
