gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
COX6C,-2.05776115003691,10.2707692887326,930.892874552405,5.25256456988222e-145,4.3879924416796e-141,ENSG00000164919
PABPC1,-2.17269575290743,10.0823757974057,863.570387676407,2.69986564675815e-137,1.12773388065088e-133,ENSG00000070756
RACK1,-1.64734582348857,11.308775735874,670.091051980907,1.79728969359577e-113,5.00485270009969e-110,ENSG00000204628
ATP5MC2,-1.6809450976209,9.58548739809084,597.337663393001,8.6625173069896e-104,1.80916673956478e-100,ENSG00000135390
AKAP12,2.16743200680683,8.97096230383633,565.688217380131,1.94601516021448e-99,3.25140212968636e-96,ENSG00000131016
PFDN2,-1.45578226812182,10.3644496652948,551.054132598844,2.14380014621525e-97,2.98488440358037e-94,ENSG00000143256
MGST1,-2.69040519607057,8.58436864677067,540.530485326429,6.48134810658657e-96,7.73502601177489e-93,ENSG00000008394
NPM1,-1.47461171006709,10.6495293866494,526.383971436543,6.57546424523903e-94,6.86642853809085e-91,ENSG00000181163
EIF3E,-1.9139400646452,9.27365737077159,500.591185686126,3.3457496798772e-90,3.10559920285491e-87,ENSG00000104408
PHB2,-1.77970361231886,9.23821301599991,496.61497042345,1.26356094092114e-89,1.05557881004552e-86,ENSG00000215021
ARL6IP1,2.40353917356108,8.50963150121587,457.107188594803,8.33794162535818e-84,6.33228766711293e-81,ENSG00000170540
MT-ND2,-1.11616327995234,12.4609868082675,435.753575675024,1.35820616379323e-80,9.45537857694054e-78,ENSG00000198763
UQCRH,-1.04622495386449,10.6820065150671,417.442917855031,8.42861431046202e-78,5.41635722689228e-75,ENSG00000173660
ANKRD11,1.64569881189852,8.75305780883337,398.86765417692,6.25663940215906e-75,3.7334261118312e-72,ENSG00000167522
POLR2K,-1.91750211820012,8.83058157616875,373.406519854977,6.22602144958892e-71,3.46747887932439e-68,ENSG00000147669
YBX3,-1.48473455995633,9.40610188225165,368.659233357067,3.53099899257355e-70,1.84362284899746e-67,ENSG00000060138
ATP5MC3,-1.77777782599046,9.10216829462074,359.942406163763,8.68362419943399e-69,4.26723509188656e-66,ENSG00000154518
PRRX1,-2.62194243730188,9.04803645557672,355.118511679816,5.15526703673032e-68,2.3926167124914e-65,ENSG00000116132
TCHH,2.55621257983768,7.76557410570258,351.119031392055,2.26837287216937e-67,9.97367735479102e-65,ENSG00000159450
CADM1,1.84112363606393,8.83826710127783,347.626270422921,8.30292855749582e-67,3.468133258466e-64,ENSG00000182985
DCAF13,-1.67957159236021,9.00581604211188,346.473782292773,1.27495919425623e-66,5.07190909943646e-64,ENSG00000164934
C1QBP,-1.27691551923218,9.56458263955156,342.404802979251,5.81322141621768e-66,2.20743871414012e-63,ENSG00000108561
UBC,1.16493194905361,9.64222868110582,338.720479858073,2.3056490572488e-65,8.37451835837237e-63,ENSG00000150991
UQCRB,-0.8713891500108,11.1647652081591,335.739285983784,7.05009034615039e-65,2.45401894798918e-62,ENSG00000156467
PPIA,-1.15098745748853,10.005647692513,334.838056508538,9.88894213658277e-65,3.3044889043605e-62,ENSG00000196262
UBB,0.994748340872472,9.90560517626956,323.7866614339,6.38872058093625e-63,2.05274506665929e-60,ENSG00000170315
EEF1A1,-0.763258978302578,12.820000845966,312.542095559388,4.60367523397219e-61,1.42441121868903e-58,ENSG00000156508
OST4,-1.5382654981303,9.00138020990792,311.631337655067,6.52040666400459e-61,1.94540990253908e-58,ENSG00000228474
CKAP2,1.93605575452267,8.19908119597526,304.373332051977,1.05389209625282e-59,3.03593605934347e-57,ENSG00000136108
TXN,-1.46756948430365,9.17367950775597,296.092523022385,2.57030477504545e-58,7.15744203024323e-56,ENSG00000136810
FOXP1,1.83765751623916,8.25968063780736,292.190709029628,1.16609015611584e-57,3.14242489167475e-55,ENSG00000114861
EIF5,1.31733822646414,9.09925320291489,290.69721711499,2.08280009114534e-57,5.43740998794631e-55,ENSG00000100664
GAPDH,-0.842718080944433,11.8404684440052,287.882180174903,6.22703603629969e-57,1.57638360749235e-54,ENSG00000111640
APOE,2.07013043481276,8.03646395456059,287.508987850945,7.20138316700691e-57,1.76942220521105e-54,ENSG00000130203
EEF1B2,-1.0859038059654,9.82566066971824,281.721003975221,6.90211094156286e-56,1.64743528016618e-53,ENSG00000114942
ZNF706,-1.73397166770629,8.64428659823261,280.258782693016,1.22368150256729e-55,2.8396209090131e-53,ENSG00000120963
PSMD3,1.3322394705244,8.62446408009711,276.412560976659,5.53597307200228e-55,1.24993294712181e-52,ENSG00000108344
ATF5,2.35586948837615,7.8530411438604,272.314168694304,2.77915508554802e-54,6.10975304859687e-52,ENSG00000169136
CD24,-1.1967120225709,10.9123524278362,271.808333308183,3.39278781723566e-54,7.26752549363761e-52,ENSG00000272398
FAU,0.798142524798424,10.4937439746662,268.343376679785,1.33355063141872e-53,2.78512049371801e-51,ENSG00000149806
LDHB,-0.903195099118931,10.6572071366161,264.612398129353,5.84726632802817e-53,1.19141616839872e-50,ENSG00000111716
CUTA,1.18348834492155,8.91731068645425,263.326685594378,9.74129046038919e-53,1.93758905966884e-50,ENSG00000112514
HIGD2A,-1.67318496744844,8.55612711752862,262.074332864702,1.60232183667716e-52,3.11297595897698e-50,ENSG00000146066
PTMA,-0.905175691196756,11.8436981253013,261.000031048279,2.4565683490756e-52,4.66412999731308e-50,ENSG00000187514
ARGLU1,1.46537820640005,8.55970975046739,260.925196542758,2.5308246652492e-52,4.69833538966485e-50,ENSG00000134884
SEC61G,-1.164114577237,9.52921331045565,256.10178505158,1.73188169730382e-51,3.1452477607122e-49,ENSG00000132432
COX4I1,0.871887819698208,9.96073369116955,255.701460802116,2.03230128097175e-51,3.61230742579531e-49,ENSG00000131143
