gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MGST1,-4.39373901196417,8.37090709015491,12318.9372778757,0,0,ENSG00000008394
KCNMA1,4.37932314507689,7.9418267414038,2663.27222606955,0,0,ENSG00000156113
ID3,4.11616724524075,8.0193692102562,2877.88002257962,0,0,ENSG00000117318
ID2,3.76125640341684,8.6144429453962,3753.31792244824,0,0,ENSG00000115738
ID1,3.45614468445103,9.02150235389803,2834.70032947992,0,0,ENSG00000125968
SPINT2,3.41321545614085,8.10898183519557,5654.65414165498,0,0,ENSG00000167642
SPRR2F,-3.27400099407264,8.04181757749803,2657.38657570569,0,0,ENSG00000244094
CRABP2,3.15197774459071,8.03887788069312,3922.99774503085,0,0,ENSG00000143320
BARX1,2.91261676983854,7.4309429217715,2887.85003032714,0,0,ENSG00000131668
TCF4,2.87008189585874,9.16853146077989,5207.1770621018,0,0,ENSG00000196628
PDGFC,-2.80774797930671,7.47981155486036,3112.8738206056,0,0,ENSG00000145431
MID1IP1,-2.56053444195635,7.33513967479995,2675.94945612735,0,0,ENSG00000165175
EPCAM,2.4629423190458,7.76540946021417,2402.54688840742,0,0,ENSG00000119888
DCAF13,-2.33055146245942,8.57766387878943,5206.07639488456,0,0,ENSG00000164934
FOXP1,2.27110688272339,7.92487040625064,2010.31113781235,0,0,ENSG00000114861
PABPC1,-2.21675912774517,9.78329120805872,9051.57122415274,0,0,ENSG00000070756
POLR2K,-1.89215994125155,8.48396165461981,3704.18979880819,0,0,ENSG00000147669
M6PR,-1.82225830085,7.74065451498946,2017.09019207343,0,0,ENSG00000003056
POLR2I,1.82079761330608,8.4188721506957,3332.65514153291,0,0,ENSG00000105258
LAPTM4B,-1.70246743155332,8.87302013517641,3397.7217441473,0,0,ENSG00000104341
GTSF1,-1.65809931574814,8.33186182201862,2782.25386536348,0,0,ENSG00000170627
CD24,-1.53128757613413,10.9426402556935,2949.78442477146,0,0,ENSG00000272398
PHB2,-1.51372563069831,9.04797250448515,3607.40143033456,0,0,ENSG00000215021
RANBP1,-1.49385055294685,9.00122923742866,3601.51315839428,0,0,ENSG00000099901
MTDH,-1.48892896814859,8.9287326182468,2913.25419295072,0,0,ENSG00000147649
ATP5MC3,-1.48518790238297,8.93556244816436,2209.08811514895,0,0,ENSG00000154518
STRAP,-1.47476663530366,9.19592810473328,3441.67189906965,0,0,ENSG00000023734
FKBP4,-1.46176926098799,8.44206985709844,2005.85822824317,0,0,ENSG00000004478
COX7A2,1.43812359279973,8.96741449672822,3467.79023393287,0,0,ENSG00000112695
ZNF706,-1.43510430853592,8.40283389421936,2184.13664958444,0,0,ENSG00000120963
PFN1,-1.42209805043953,9.83798467951176,4618.73063616081,0,0,ENSG00000108518
ATP5MF,1.40943621495834,8.21032651367672,1981.65267807737,0,0,ENSG00000241468
COX6B1,1.36004056676346,8.8655968287707,2975.06677918723,0,0,ENSG00000126267
UBE2N,-1.33180226981481,8.3780078255978,2084.21246154359,0,0,ENSG00000177889
SSR2,-1.32701605078546,9.91487773018442,4165.6602178019,0,0,ENSG00000163479
TMBIM6,-1.32388775451987,8.79234085413048,2602.55224800426,0,0,ENSG00000139644
YWHAZ,-1.32271631018357,8.88807401237846,2432.28574280944,0,0,ENSG00000164924
ATP5MC1,1.2984798462601,8.96521202513175,2263.57928141017,0,0,ENSG00000159199
TOMM7,1.29699690667614,8.78543698092321,2300.6281279013,0,0,ENSG00000196683
GAGE2A,1.29500931071992,9.36348018721206,2318.19175255343,0,0,ENSG00000189064
PTMS,-1.28771590794675,9.55178357678206,2009.85425505385,0,0,ENSG00000159335
ATP5F1E,1.27488472690969,9.42940193597025,3693.59522696005,0,0,ENSG00000124172
UCHL1,-1.27223358246402,9.03886500468318,1950.10345947349,0,0,ENSG00000154277
FAU,1.24219935394153,9.99222453810942,4343.76330540683,0,0,ENSG00000149806
GAPDH,-1.24099358173337,12.07923885987,2656.68206062516,0,0,ENSG00000111640
ACTB,-1.21314644041554,11.2012338950259,2752.0414094997,0,0,ENSG00000075624
