gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
ID3,5.57071794950026,9.10380312925625,4277.9709716973,0,0,ENSG00000117318
ID1,4.91022284445063,10.143392042586,4612.44454781612,0,0,ENSG00000125968
KCNMA1,4.60453914642937,8.65664540516797,2778.05289129107,0,0,ENSG00000156113
ID2,4.53767712850273,9.12303781300553,5061.48045043076,0,0,ENSG00000115738
SPINT2,4.39258220193926,8.68739190154284,9269.20364500875,0,0,ENSG00000167642
HSPA1A,4.32110271244268,10.1621454738859,3592.40625144052,0,0,ENSG00000204389
MGST1,-3.63157009437165,8.24378534900267,8883.53663923586,0,0,ENSG00000008394
CRABP2,3.62484923566875,8.35900608587465,4387.86637790818,0,0,ENSG00000143320
HSPA1B,3.60595037298632,7.87328147067211,2542.54148167975,0,0,ENSG00000204388
BARX1,3.33893626829475,7.80447394177605,3488.2044425701,0,0,ENSG00000131668
ID4,3.15335156324351,8.84059852315961,2880.52957875438,0,0,ENSG00000172201
EPCAM,3.13120769543919,8.11240826618635,3490.57246019645,0,0,ENSG00000119888
COX6C,-2.86631685554918,9.60916964316264,12231.1661288601,0,0,ENSG00000164919
SPRR2F,-2.81858437526274,8.13229009544285,2199.09039755091,0,0,ENSG00000244094
TCF4,2.75856947006182,9.19652941452289,3683.16938613602,0,0,ENSG00000196628
KRTCAP3,2.66794156081638,7.47119027054099,1949.88853607645,0,0,ENSG00000157992
DDX25,2.5318707279362,7.64844104813332,2076.32536116769,0,0,ENSG00000109832
PDGFC,-2.45275708511296,7.63261528610596,2582.5688155492,0,0,ENSG00000145431
COPS9,-2.36964914418067,8.09127132957866,3798.08530315912,0,0,ENSG00000172428
RAC3,2.22584117356942,7.90260419984589,1983.5114350224,0,0,ENSG00000169750
ARF5,2.17573263676663,8.15008642117875,2672.31462591996,0,0,ENSG00000004059
HLA-B,2.16208685255061,8.3571263183738,1899.5265693812,0,0,ENSG00000234745
SLIRP,-2.10856136361703,8.41911978629957,3869.3211480815,0,0,ENSG00000119705
NOP10,-2.09792535496059,8.19753946197293,3189.80621280251,0,0,ENSG00000182117
CENPW,-2.08387096883672,7.88097311003594,2177.35646913638,0,0,ENSG00000203760
DPM3,-1.99686807253996,7.88299244644921,2201.29831219135,0,0,ENSG00000179085
BLOC1S1,-1.94969994283633,7.87189204784181,2222.34786540332,0,0,ENSG00000135441
COX7C,-1.93599787994878,9.13043850427369,5338.08972128601,0,0,ENSG00000127184
MRPL52,-1.85311674846922,7.87696955382433,1999.36512138563,0,0,ENSG00000172590
ATP5MD,-1.85056726675551,8.60120347920071,3469.70462135443,0,0,ENSG00000173915
OST4,-1.80394088160942,8.67770928317914,3423.32457719191,0,0,ENSG00000228474
SNRPG,-1.78396211173486,9.11078927305,4759.28400317878,0,0,ENSG00000143977
DCAF13,-1.75617658256609,8.55318492300744,2651.44265905855,0,0,ENSG00000164934
UBL5,-1.75003792616008,8.83607208791771,3800.88978677571,0,0,ENSG00000198258
UQCRH,-1.73655390408484,10.0272395047054,7384.96958494416,0,0,ENSG00000173660
C12orf57,-1.73042090107507,8.35731891143572,2351.67492308267,0,0,ENSG00000111678
ATP5MC3,-1.72492443475921,8.73098993958789,2039.15733825945,0,0,ENSG00000154518
PABPC1,-1.72096475534143,9.71939953479117,4877.22470573876,0,0,ENSG00000070756
TMSB10,-1.69646074609793,10.4387073054862,6074.77259311745,0,0,ENSG00000034510
GAGE2A,1.685052450702,9.49825994858932,3862.26626785544,0,0,ENSG00000189064
SNRPF,-1.67260683708867,8.59752419100787,3007.1923214349,0,0,ENSG00000139343
DDT,-1.65554440418769,8.14473364736879,1962.8823645612,0,0,ENSG00000099977
UQCRB,-1.65135852143735,10.4363707935731,7856.14358155297,0,0,ENSG00000156467
COX5B,-1.63008473837122,8.80246863094303,3154.12785812886,0,0,ENSG00000135940
POLR2K,-1.61926084567427,8.51463114447529,2450.14327029006,0,0,ENSG00000147669
PFDN2,-1.61592881341755,9.95774126715288,5830.54848793039,0,0,ENSG00000143256
ELOB,-1.59601712905355,8.85896355194497,3258.09741199046,0,0,ENSG00000103363
NDUFB3,-1.59367358128835,8.15384366914562,1940.30048718344,0,0,ENSG00000119013
PFDN5,-1.5484273781512,9.16681217556511,3896.65099348656,0,0,ENSG00000123349
FTH1,1.54133461755074,10.2208957209987,4272.77705872428,0,0,ENSG00000167996
SMIM26,-1.53612058478058,8.46550973062446,2312.51019831719,0,0,ENSG00000232388
MRPL33,-1.51097884973369,8.28996504331477,1941.5794103971,0,0,ENSG00000243147
SEC61G,-1.50658868257373,8.83936441114015,2828.50918327421,0,0,ENSG00000132432
ATP5ME,-1.47725455613446,8.71648024716576,2500.1047142363,0,0,ENSG00000169020
MT-ND3,-1.47034231233184,12.5471440752061,6077.98188985495,0,0,ENSG00000198840
YWHAZ,-1.46922167675044,8.88016856900396,2554.41235556131,0,0,ENSG00000164924
UQCRQ,-1.46777284446429,8.57793988717377,2235.82679146381,0,0,ENSG00000164405
GAGE1,-1.4677062952912,9.39965428082302,3364.73677398396,0,0,ENSG00000205777
SNRPD2,-1.45605498990234,8.76068261787906,2576.55314266653,0,0,ENSG00000125743
SNRPE,-1.45344101543467,9.26173186936838,3637.48513073364,0,0,ENSG00000182004
H3F3B,1.44972107047813,10.1931280654562,2489.24488075612,0,0,ENSG00000132475
UBA52,-1.38178966333407,8.89448721211344,2841.35428777068,0,0,ENSG00000221983
RCN2,1.36293974545317,8.75992756256543,1945.98583636075,0,0,ENSG00000117906
MTDH,-1.35603728678457,8.94693882343259,2119.78551984586,0,0,ENSG00000147649
MRPL51,-1.35456955966589,9.35117613951343,2698.25389234604,0,0,ENSG00000111639
TOMM7,-1.33033736284416,8.92913007902654,2315.39020260011,0,0,ENSG00000196683
PTMS,-1.29312816770072,9.57912674255325,2023.68472934425,0,0,ENSG00000159335
ATP5MC2,-1.29045676839112,9.33611433360058,3123.31201934889,0,0,ENSG00000135390
MRPS21,-1.23842825729651,8.99353935253015,2114.98667378874,0,0,ENSG00000266472
PSMD8,1.17665451086122,9.15092578776444,1992.14781623596,0,0,ENSG00000099341
PHB2,-1.16778160614557,8.9911061948865,1967.54178443543,0,0,ENSG00000215021
COX6A1,-1.13636563933999,9.37797463660371,2426.9736651866,0,0,ENSG00000111775
ATP5PF,-1.09135515986357,9.4135233331435,2226.66230471961,0,0,ENSG00000154723
ATP5F1E,-1.0473846898687,9.57243723781726,2232.86842541408,0,0,ENSG00000124172
GNAS,0.90503061922347,11.2204845693806,2346.15537321427,0,0,ENSG00000087460
EEF1A1,0.833215495889215,12.577752024333,2173.77056202074,0,0,ENSG00000156508
H3F3A,-0.827178868865645,11.2489707201694,2664.73249920406,0,0,ENSG00000163041
FOXP1,2.04076346914739,8.31317868291725,1849.81667633111,9.88131291682493e-324,1.14623229835169e-321,ENSG00000114861
STAT3,2.45023713989267,7.90104829567886,1846.22132743123,1.48219693752374e-323,1.69464516523548e-321,ENSG00000168610
SNRPD3,-1.33283142561346,8.48558088623346,1831.47568537391,1.80333960732055e-321,2.03643977902845e-319,ENSG00000100028
UQCR10,-1.29678502876164,8.58430105332128,1813.72615858225,6.03189925038203e-319,6.72742955056231e-317,ENSG00000184076
HLA-A,2.31177284447008,8.14398446572911,1792.51615254603,6.43494120602736e-316,7.08942181153164e-314,ENSG00000206503
FKBP4,-1.4314872960768,8.49152631395293,1784.55899325032,8.86602066764236e-315,9.650075989344e-313,ENSG00000004478
HSPE1,-1.09970798970553,9.47289198215354,1772.6776326741,4.4869298564632e-313,4.82558622896281e-311,ENSG00000115541
TXNDC17,-1.42669492613628,8.41539204880771,1772.59229500164,4.61534151722934e-313,4.9052935607824e-311,ENSG00000129235
DCXR,1.84370061870889,8.0941790877061,1761.14665481611,2.03997935060186e-311,2.14292714573688e-309,ENSG00000169738
DDX18,-1.32280203536251,8.60810014983072,1752.41060023452,3.69788810346874e-310,3.83985300307317e-308,ENSG00000088205
VCX3B,2.53234306277128,7.68974991314395,1744.20115665041,5.65402958377035e-309,5.8043753704297e-307,ENSG00000205642
LAPTM4B,-1.31566171182629,8.75455504517366,1736.95875133012,6.29217437828971e-308,6.38691048690665e-306,ENSG00000104341
SNRPB2,-1.03970610091376,9.12921988675936,1724.30423327065,4.27311377680073e-306,4.28925665106864e-304,ENSG00000125870
APOE,2.95810856213226,7.74619585624906,1714.23116328756,1.23648820328752e-304,1.22752026686807e-302,ENSG00000130203
NDUFS5,-1.26150439072909,8.53156328881082,1698.9609438759,2.05641121305909e-302,2.01930640204085e-300,ENSG00000168653
UXT,-1.14588948034797,8.77506880829328,1693.51718031843,1.27776765250333e-301,1.24122074975431e-299,ENSG00000126756
