gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
GAGE13,3.98681580733367,8.11586929910846,913.704961605748,1.22058831108088e-123,1.04518977077856e-119,ENSG00000274274
PABPC1,-2.0498884905416,9.57041038690255,859.150508103125,8.71478288738771e-119,3.73123429323505e-115,ENSG00000070756
COX6C,-1.849928847614,9.58539852800065,817.19079872784,6.27396173421636e-115,1.79079781100316e-111,ENSG00000164919
MT-ND3,-1.42504366182103,12.8111986774671,803.450304001659,1.21717543008169e-113,2.60566830194737e-110,ENSG00000198840
VCX,3.73106807398366,8.93639819187804,661.185031581364,1.6087514490015e-99,2.75514773155997e-96,ENSG00000182583
BARX1,3.20704611745013,7.97467439948274,495.104312894295,6.96939077709688e-81,9.94648220404677e-78,ENSG00000131668
ATP5ME,-1.54379778044655,9.25592683830611,493.211072080251,1.17879435454734e-80,1.44200229399841e-77,ENSG00000169020
SNRPG,-1.39764215748334,9.18907402594877,430.079775679565,8.23735739854663e-73,8.81706142546935e-70,ENSG00000143977
GAGE2A,1.6169072787834,9.43371048179831,429.611636914506,9.45627932516307e-73,8.99712442904126e-70,ENSG00000189064
SNHG9,-2.34117747641199,7.85239403537608,424.514858651561,4.26558490615497e-72,3.6526203551405e-69,ENSG00000255198
GAGE12H,1.80461079898295,8.75829700806442,386.477740378822,4.14166309344365e-67,3.22409646083254e-64,ENSG00000224902
MT-ND4L,-1.31523449862275,9.82960216642031,385.470285211609,5.64736122100491e-67,4.02986284462209e-64,ENSG00000212907
POLR2K,-1.74157532385976,8.21957511653928,348.832912256636,5.55288979304148e-62,3.65764579213956e-59,ENSG00000147669
SNRPB2,-1.21716798733955,9.19189817723783,338.066123443292,1.77082221618398e-60,1.08311075979881e-57,ENSG00000125870
MRPL33,-1.70129521978995,8.28719267286033,334.112466154523,6.3773089765257e-60,3.64059311773264e-57,ENSG00000243147
YWHAZ,-1.32976210609632,8.89478643880232,318.053013989627,1.22818501814646e-57,6.57309269399261e-55,ENSG00000164924
SNHG25,-2.01059421420071,8.12774072816956,303.645376936623,1.48922795532002e-55,7.50132881259138e-53,ENSG00000266402
UQCRB,-0.780780111980214,10.9622865315823,296.995809554039,1.39899885327004e-54,6.65534843363963e-52,ENSG00000156467
COX7C,-0.992914592447849,9.35218199511177,294.046348534744,3.79868146845452e-54,1.71200575865137e-51,ENSG00000127184
OST4,-1.28667078814733,8.63794118676293,287.093364172368,4.05469931944526e-53,1.73601951362049e-50,ENSG00000228474
ATP5F1E,-0.903919878408286,9.80752430191114,286.835569325694,4.42832765647931e-53,1.80570332011582e-50,ENSG00000124172
CBX3,-1.11877147605536,9.23817997939103,278.297413088194,8.32540432733778e-52,3.24047442068152e-49,ENSG00000122565
ARF5,2.16224369687754,7.7386129736125,273.899452732459,3.8154045786547e-51,1.4204917133487e-48,ENSG00000004059
