gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
PABPC1,-2.03045096944214,9.88165585610037,1207.7037789785,1.69551076329155e-183,1.45610464351479e-179,ENSG00000070756
COX6C,-1.8505795722738,10.0859848247303,1191.28375423759,1.02554459656735e-181,4.4036884976602e-178,ENSG00000164919
RACK1,-1.64904456836328,11.1062179086341,1081.05474529894,1.99033469054867e-169,5.69766477414398e-166,ENSG00000204628
ATP5MC2,-1.77377873153327,9.4010849751008,1019.23792891017,2.84191005283384e-162,6.10158088343425e-159,ENSG00000135390
APOE,3.0598689379534,8.57616097599665,845.668168341718,4.63942843672676e-141,7.96868228292188e-138,ENSG00000130203
PHB2,-1.740547062325,9.07696580924428,766.810072940203,8.10897542435907e-131,1.1606646824066e-127,ENSG00000215021
NPM1,-1.34118298777365,10.495239291901,757.08022096224,1.58944781064311e-129,1.95002539968615e-126,ENSG00000181163
PFDN2,-1.2948789689944,10.2243027225752,753.073981488993,5.4352251412276e-129,5.83471418910782e-126,ENSG00000143256
EIF3E,-1.85309944505163,9.10651725729473,752.657413329632,6.17736104679367e-129,5.89457518554045e-126,ENSG00000104408
MGST1,-2.33964705318003,8.44391908389663,737.057976048069,7.60271420937886e-127,6.52921096301456e-124,ENSG00000008394
EEF1A1,-0.965911714052469,12.651310331758,728.084442982334,1.23314276825071e-125,9.62748190339734e-123,ENSG00000156508
MT-ND2,-1.11317007103409,12.3057240156858,685.738471669634,7.56331225077644e-120,5.41281046747234e-117,ENSG00000198763
PPIA,-1.23724200203892,9.84924434566428,576.766847299171,2.4883277956156e-104,1.64382762374975e-101,ENSG00000196262
POLR2K,-1.86202226830424,8.68611252541025,573.393220919092,7.78867987485998e-104,4.77779876894982e-101,ENSG00000147669
UQCRH,-0.975880322320867,10.5621708202938,571.585700617666,1.43669226662402e-103,8.22554212384475e-101,ENSG00000173660
AKAP12,2.02598612628455,9.14934375644362,568.620721668569,3.92759890548311e-103,2.10813871251806e-100,ENSG00000131016
C1QBP,-1.18423117456015,9.44021858563763,489.962723337388,2.87617798683224e-91,1.45297744417149e-88,ENSG00000108561
ANKRD11,1.6039157918028,8.91289439849032,460.695356428736,1.0382205274235e-86,4.95346549417388e-84,ENSG00000167522
TPT1,-0.875254572520344,11.0335069158179,456.599569907106,4.57658884230713e-86,2.06861815672282e-83,ENSG00000133112
GTSF1,-1.72625477291097,8.46802876696673,446.799674179428,1.61653457655044e-84,6.94139947170757e-82,ENSG00000170627
UQCRB,-0.75148251715589,11.0757646487563,435.629775466105,9.64794552131344e-83,3.94555029223999e-80,ENSG00000156467
ZNF706,-1.66443802206288,8.51921767559899,424.572364618019,5.68222055448008e-81,2.21813227826704e-78,ENSG00000120963
DCAF13,-1.47883727092942,8.88348834538338,422.938906999366,1.0400070150781e-80,3.88329575890901e-78,ENSG00000164934
YBX3,-1.21033133220141,9.2983401537737,421.931760784246,1.51018852051465e-80,5.40395792257493e-78,ENSG00000060138
PRRX1,-2.13181380092655,8.89752587894524,421.296463772503,1.91103281639908e-80,6.56477993089411e-78,ENSG00000116132
PCSK1N,1.27083319185474,9.10091810650499,395.575474374489,2.85035098653558e-76,9.41492856629522e-74,ENSG00000102109
UBB,0.871668056156697,9.99115176325379,393.738558046478,5.69596384208925e-76,1.81173842503194e-73,ENSG00000170315
SEC61G,-1.14470519897066,9.40318799949395,387.651775417351,5.68033539645207e-75,1.74224001374037e-72,ENSG00000132432
HLA-A,1.84867116679519,8.138206460986,374.047329345471,1.00203826790432e-72,2.96741539474562e-70,ENSG00000206503
FOXP1,1.76609267467695,8.3798796205354,372.436692341806,1.85417841966504e-72,5.3078947560278e-70,ENSG00000114861
TXN,-1.23263048599326,9.06767857580109,370.406274711053,4.03155287745918e-72,1.11687019714901e-69,ENSG00000136810
HIGD2A,-1.56358132487527,8.44360798730111,369.479004580247,5.75003250164333e-72,1.54316497262853e-69,ENSG00000146066
GAGE1,0.998634191244119,9.41489685747982,367.345900351321,1.30238736628003e-71,3.38936445503422e-69,ENSG00000205777
GAPDH,-0.740766423453933,11.7462993581295,361.715827449478,1.13308712451507e-70,2.86204477215748e-68,ENSG00000111640
TRMT112,-1.10041809689933,9.27419356497624,349.186062608518,1.43737634153365e-68,3.52691086316885e-66,ENSG00000173113
CUTA,1.13281734096931,9.03145230262308,349.099921821012,1.4862442200809e-68,3.54551815612633e-66,ENSG00000112514
UBC,1.00086076529051,9.72489105873481,348.403667827062,1.94750773269497e-68,4.52032335361741e-66,ENSG00000150991
SLC25A5,-1.5391827320449,8.35950708872293,341.339743364013,3.04440217083473e-67,6.88034890608649e-65,ENSG00000005022
ATP5MC3,-1.2736431407607,9.0126542064944,338.54849880996,9.05402347075839e-67,1.99374239915059e-64,ENSG00000154518
TCHH,2.34669923135726,7.82071071572732,337.830710512002,1.19868548046806e-66,2.57357772656493e-64,ENSG00000159450
PAK1IP1,-1.44536119493931,8.51400876555521,336.861373774868,1.75132860806359e-66,3.66839270391466e-64,ENSG00000111845
COX4I1,0.847924729838419,10.0764020764688,336.73959352692,1.83680079717377e-66,3.75582029669723e-64,ENSG00000131143
RUVBL1,-1.4015926501286,8.53958347387686,336.089433332305,2.36904647758419e-66,4.7314816626728e-64,ENSG00000175792
LDHB,-0.804062197210143,10.5605453663759,335.680903960806,2.77995660707041e-66,5.42596985034561e-64,ENSG00000111716
SFRP1,1.88690789748512,8.09660058720351,334.58635348442,4.26818147185153e-66,8.14558721783576e-64,ENSG00000104332
TMEM14B,-1.0024596842944,9.36319749219636,334.512450783023,4.3935954128729e-66,8.20265160994618e-64,ENSG00000137210
CADM1,1.63193692224128,8.94532704570067,331.991861515834,1.18074828573102e-65,2.15750346337404e-63,ENSG00000182985
NEDD8,-0.997909329159237,9.21169081144615,330.290713867331,2.30315579685011e-65,4.12072957986432e-63,ENSG00000129559
MRPL51,-0.966268956031205,9.51564204966559,329.482760918718,3.16410796477277e-65,5.54558351050379e-63,ENSG00000111639
BTF3,-0.796958974175751,10.120388142902,328.205421798199,5.22950656746951e-65,8.98220048028564e-63,ENSG00000145741
POLR2I,1.03070533910074,9.16464023256896,326.394788472164,1.06682047938003e-64,1.79644201508151e-62,ENSG00000105258
EBNA1BP2,-1.4285048257968,8.5118586667824,316.301630895532,5.76718094385697e-63,9.52472114343148e-61,ENSG00000117395
OST4,-1.18426355398619,8.91683653929971,312.421211985663,2.69345294077451e-62,4.36441016139084e-60,ENSG00000228474
BAD,1.62120590228772,8.09028354579118,311.533304594152,3.83453842934754e-62,6.09833630208086e-60,ENSG00000002330
PSMD3,1.16154019613118,8.69197950216105,309.207473558014,9.68237846106103e-62,1.51185938588349e-59,ENSG00000108344
PSMA7,0.8323998190478,9.95079405158911,308.384215212788,1.34437888593107e-61,2.06170104863857e-59,ENSG00000101182
FAU,0.693263212015059,10.5675571823258,307.111440666325,2.23381344678691e-61,3.36561225982561e-59,ENSG00000149806
ARL6IP1,1.83926416958739,8.48434644236381,304.351908479202,6.7270535206721e-61,9.80201543363909e-59,ENSG00000170540
HLA-B,1.57881598332254,8.35314562416237,304.349314502235,6.73403482283077e-61,9.80201543363909e-59,ENSG00000234745
SELENOP,-2.0133047238393,7.79575204346297,298.326692204401,7.52168198809864e-60,1.07660341522985e-57,ENSG00000250722
TMEM14C,-1.08810805048714,8.8693082401256,293.418341540515,5.41542527417817e-59,7.62420856633477e-57,ENSG00000111843
NDUFB4,-1.2059927305368,8.72736912649674,290.594873636456,1.69081682713754e-58,2.34205401797697e-56,ENSG00000065518
VCX3A,1.60340065336615,8.6316235445617,287.763727820693,5.30719888026524e-58,7.23463872757427e-56,ENSG00000169059
SON,1.01164992789846,9.15737135642589,284.875533433806,1.70859499796751e-57,2.29272091289766e-55,ENSG00000159140
RARRES2,1.74013053199903,7.9161693568004,283.114443439086,3.48940605429425e-57,4.61031064527369e-55,ENSG00000106538
ELOB,0.898757450966924,9.48564421332084,283.063461908677,3.56233292199945e-57,4.63535077789868e-55,ENSG00000103363
DNAJB2,1.82494481707072,7.80091984494625,282.415477626257,4.6338015296785e-57,5.93956530401179e-55,ENSG00000135924
EEF1B2,-0.856537216497273,9.74707783665488,282.353007097542,4.75280654667233e-57,6.00251509159147e-55,ENSG00000114942
VCX3B,1.94236782704522,7.73620569048623,281.693449493424,6.2122673680025e-57,7.73202205165297e-55,ENSG00000205642
MDK,0.871437746122517,9.77607261189999,280.334549101669,1.07902675820371e-56,1.32381168563621e-54,ENSG00000110492
NDUFB2,0.949487328587741,9.23171440143474,280.190770194938,1.14397250002442e-56,1.38372335636757e-54,ENSG00000090266
PSMB3,0.931417126107549,9.23400872622425,279.950008356145,1.26161369046686e-56,1.50482477412909e-54,ENSG00000277791
PSMD8,0.902388665797322,9.2202126498008,278.019916554899,2.76677669685248e-56,3.25494222911905e-54,ENSG00000099341
YWHAB,0.856526976196479,9.50975392750212,277.151846127734,3.94013146229817e-56,4.57268229705631e-54,ENSG00000166913
EIF3M,-1.12166923134636,8.69416500538961,275.328540189853,8.28516707650985e-56,9.48706864707554e-54,ENSG00000149100
SCAND1,1.13645634365966,8.80005372567748,274.186388929346,1.32041584346993e-55,1.49206990312102e-53,ENSG00000171222
EIF5,1.08716159456518,9.15629122380121,271.783204592913,3.52469470927224e-55,3.93117898223767e-53,ENSG00000100664
ATP6V0B,0.997349693447976,9.29858369969855,271.092489691655,4.67531305476614e-55,5.14763955311944e-53,ENSG00000117410
KLHL23,1.23259737593804,8.47212206891927,268.319968761772,1.45504684534896e-54,1.58176484909581e-52,ENSG00000213160
MAGEA4,-1.23432234726191,8.62408559856312,261.830464748435,2.09269731874976e-53,2.24651057167787e-51,ENSG00000147381
TUBA1A,1.45561097839247,8.73202806774599,260.77622535986,3.2306941345753e-53,3.42533348490527e-51,ENSG00000167552
RIDA,-1.79288428168916,7.81147481854015,260.409541268825,3.75771137913946e-53,3.93551528342069e-51,ENSG00000132541
NOP16,-1.68451846556743,7.95018391122341,257.762785284448,1.11977227736603e-52,1.1586270262674e-50,ENSG00000048162
SNRPB,-0.727199358657831,9.8110149033514,257.03226060378,1.51415215714376e-52,1.54804032447031e-50,ENSG00000125835
POLR2L,1.14012260338066,8.58776582100417,252.921772499098,8.29385636445023e-52,8.37972217151748e-50,ENSG00000177700
PPDPF,1.33684186675099,8.23839835260148,249.546181505489,3.36432526918001e-51,3.35963086182766e-49,ENSG00000125534
NPW,1.59932805946381,8.04231764445154,246.421179270829,1.23364386089121e-50,1.21776246865905e-48,ENSG00000183971
ARGLU1,1.25044597430025,8.62126469562363,246.030086548527,1.45177306811397e-50,1.4167985351094e-48,ENSG00000134884
PIH1D1,-1.4773369145342,8.05775524767497,238.947016442111,2.79199738791188e-49,2.69412062554912e-47,ENSG00000104872
SLC25A6,-0.693870712396328,10.5615691590653,236.808455009795,6.83705132737065e-49,6.52406631105101e-47,ENSG00000169100
RBM39,0.933091705395763,9.28129131365698,236.606489851436,7.44101667572562e-49,7.02235727594853e-47,ENSG00000131051
FIS1,1.19081905780412,8.32862318185331,231.620417377175,6.03850078665107e-48,5.63680921258255e-46,ENSG00000214253
LMNA,1.50948001417197,8.06953449111097,230.996262885752,7.85206485961773e-48,7.25091752842979e-46,ENSG00000160789
EIF4B,-0.919687374177631,9.04811275503986,230.940033592873,8.04009982127167e-48,7.34557204947671e-46,ENSG00000063046
VPS13B,-1.68670231587356,7.81111689192769,226.525848174395,5.16873265975038e-47,4.67253432441435e-45,ENSG00000132549
SLC3A2,1.52005867931346,8.16649267715669,226.372982070478,5.51335540490862e-47,4.93215585597451e-45,ENSG00000168003
PRELID1,-0.938848851722315,9.13874995765233,224.995550487703,9.86604398513776e-47,8.73500883962506e-45,ENSG00000169230
BRI3,0.97224303744146,9.01004481277164,224.96702430505,9.98572510525637e-47,8.75075583713691e-45,ENSG00000164713
POLR2J,0.978701003647883,8.73719082523309,224.315967666022,1.31499354578941e-46,1.14072369406459e-44,ENSG00000005075
PSAP,0.843954260822323,9.36045874544083,223.529736008266,1.83384629495957e-46,1.57490719811128e-44,ENSG00000197746
MRPS22,-1.57872847579715,7.88194516975508,223.125033897166,2.17642231329446e-46,1.85060542837355e-44,ENSG00000175110
NOP10,-1.12324882962548,8.48184259932681,222.949028396742,2.34475807150761e-46,1.97419434491249e-44,ENSG00000182117
CCDC167,1.38942510169269,8.16392184846046,220.775147389896,5.88925527669321e-46,4.91038100157682e-44,ENSG00000198937
ATF5,2.02510213347504,7.88307433990405,218.878029453004,1.31709894501554e-45,1.08761978267245e-43,ENSG00000169136
AP2M1,1.20586752397485,8.32049627261825,218.463884062745,1.57033341541085e-45,1.2843831782427e-43,ENSG00000161203
DST,1.17444100064033,8.44407799925261,215.715282599123,5.0518623250611e-45,4.09296166487026e-43,ENSG00000151914
RBM3,-0.862613335982666,9.33598659692735,214.515787249413,8.41834703145244e-45,6.75670694449659e-43,ENSG00000102317
OSR2,-1.710849445656,7.82912782406298,212.859745257441,1.70503272089942e-44,1.35581675991521e-42,ENSG00000164920
SPG7,1.27497453558857,8.21013588966459,212.666930717558,1.85115852393274e-44,1.45850911959031e-42,ENSG00000197912
CDC123,-0.984111807240338,8.74836926061208,212.426460813164,2.0511042844709e-44,1.60135305409419e-42,ENSG00000151465
CIB2,1.43869855932175,7.85554164620121,211.414175476839,3.15927398783305e-44,2.44431036103696e-42,ENSG00000136425
PFN1,-0.833108073916498,9.31866824684676,209.450609607056,7.30933228923725e-44,5.60469158035442e-42,ENSG00000108518
ANKRD13D,1.61632991037697,7.70472040356655,228.4735437893,8.88910415387871e-44,6.75571915694782e-42,ENSG00000172932
NDUFS6,0.851251288649332,9.15169440065518,208.631967011577,1.03731665697866e-43,7.81445214923924e-42,ENSG00000145494
KLHDC3,-1.23365857596463,8.25943636201834,208.390766617612,1.15006701557491e-43,8.58850046065852e-42,ENSG00000124702
NDUFV3,1.19067009960041,8.2871918292197,207.598580839517,1.6141969162833e-43,1.19506233767595e-41,ENSG00000160194
FANCL,-1.3840721099882,8.03342847812303,202.382115374615,1.51224086334587e-42,1.11001064396704e-40,ENSG00000115392
FARP1,1.25591050329413,8.13340991162553,201.920210058527,1.84433515053909e-42,1.34230087057878e-40,ENSG00000152767
MAP7D2,1.44225290447748,7.98328634567261,201.828177250099,1.9187665134728e-42,1.38473670737012e-40,ENSG00000184368
SMIM26,-0.851250473968882,8.94691756957126,201.177446316185,2.53831362701612e-42,1.81658645240121e-40,ENSG00000232388
FAM162A,-1.27038688879222,8.16966748951223,201.079986325992,2.64698112091434e-42,1.87870031953821e-40,ENSG00000114023
MAN1A2,1.09194590948484,8.38806450420535,200.810365163587,2.97250790291484e-42,2.09245064510104e-40,ENSG00000198162
SEC61B,0.804162517951163,9.35806395164605,200.177492802318,3.90300732676825e-42,2.72512414002323e-40,ENSG00000106803
LRIF1,1.38243365965567,7.99110562182772,199.936490303019,4.32966658185969e-42,2.99864327459766e-40,ENSG00000121931
PRDX4,0.715796398555342,9.92270748830683,199.244961355835,5.83148966258235e-42,4.00646665778058e-40,ENSG00000123131
IFI16,-1.66447098277036,7.70334639916177,198.000589356409,9.96920667588999e-42,6.79488467718597e-40,ENSG00000163565
PSMD2,1.0744371293129,8.5127618651804,197.480531103608,1.24753266322526e-41,8.43607126911698e-40,ENSG00000175166
CPNE1,1.31655403080654,8.00570956745321,197.159833174433,1.43260936770102e-41,9.61191347641906e-40,ENSG00000214078
CLU,1.54573401422045,7.7725448903283,197.071564286406,1.48821465389953e-41,9.90758716875129e-40,ENSG00000120885
RAD21,1.23333999427939,8.34977123558223,196.834371202279,1.64858264416156e-41,1.08907905754303e-39,ENSG00000164754
QPRT,1.26611286598381,8.17646053675438,196.376735638384,2.00855828355821e-41,1.31675561367923e-39,ENSG00000103485
DYNLL2,1.40291206446211,7.96259156048149,195.133157151982,3.43647627983896e-41,2.2357922947922e-39,ENSG00000264364
TUBB2B,1.10724027503399,8.98819837673091,195.072953126562,3.52703596864084e-41,2.27745751117951e-39,ENSG00000137285
NDUFA11,0.945498747154798,8.60380324261021,193.652631062006,6.51722460013407e-41,4.16687553803499e-39,ENSG00000174886
HLA-C,1.37860314311115,8.09281371386605,193.640974554732,6.55016531945417e-41,4.16687553803499e-39,ENSG00000204525
CD24,-0.783605780253632,10.8576420375868,191.803996339846,1.45060992410386e-40,9.1601750207382e-39,ENSG00000272398
H3F3B,0.881662971580287,9.30209586366308,191.513724721254,1.64496474302787e-40,1.03116476008199e-38,ENSG00000132475
MALAT1,0.565479147009918,13.0024233464076,190.527252406702,2.52243809841926e-40,1.56976075284236e-38,ENSG00000251562
HSBP1,0.777431799583176,9.1609774950414,189.992619519337,3.18054107778563e-40,1.96507099108079e-38,ENSG00000230989
SF3B1,0.903165767447998,8.88682807815721,189.543908244454,3.86395532464011e-40,2.37026059485781e-38,ENSG00000115524
MRPS18B,0.911669353200635,8.71028067288211,189.079316438462,4.72699119804506e-40,2.87910641197241e-38,ENSG00000204568
TCF25,1.20903617453126,8.11371738999738,188.958847189273,4.98072192185046e-40,3.01228449752477e-38,ENSG00000141002
NDUFC2,0.89025842411383,8.83729572410505,188.734697684254,5.48969431165677e-40,3.29688774465093e-38,ENSG00000151366
MAEL,1.10182786052384,8.51593811581833,188.216778319584,6.87403334398944e-40,4.09959710820703e-38,ENSG00000143194
AKAP9,1.03116518900351,8.54593982286822,187.571182226755,9.09921839464762e-40,5.38924741884371e-38,ENSG00000127914
M6PR,-1.23387968561167,8.243795566135,187.536249552832,9.2383808290292e-40,5.43419277806183e-38,ENSG00000003056
C7orf50,1.0978750524715,8.38569254758239,186.919312887863,1.20792475335302e-39,7.05691005564336e-38,ENSG00000146540
LAMA4,-1.68491122268193,7.73741787389046,186.843504530872,1.24839519636406e-39,7.24406617998282e-38,ENSG00000112769
EMG1_ENSG00000126749,-1.17678219241954,8.31679042823347,186.540253999478,1.42433550311137e-39,8.20952570518153e-38,ENSG00000126749
GTF3C1,1.30449503900476,7.96621645745805,186.497896737654,1.45081253207208e-39,8.30638535029001e-38,ENSG00000077235
NKIRAS2,1.19697994324343,8.21200976175617,185.479900707444,2.25908400116908e-39,1.28483532463841e-37,ENSG00000168256
EBF1,1.56034300321015,7.68190153891529,185.425195949146,2.31351031138231e-39,1.30713332593101e-37,ENSG00000164330
COL6A1,1.45872143493094,7.75033735580337,185.377262057244,2.36227890829214e-39,1.32596413492895e-37,ENSG00000142156
HSF1,1.41819573382818,7.73990080302532,184.911414974117,2.89331353587906e-39,1.6134919900084e-37,ENSG00000185122
NOL7,-0.791265976135627,9.16480345910122,184.354631961849,3.6871515032211e-39,2.04291981352664e-37,ENSG00000225921
CDKN2A,-1.16347337425752,8.3016100025486,184.067671569723,4.1780772287808e-39,2.30008507953651e-37,ENSG00000147889
MTRNR2L8,0.778781845693576,9.40751125756048,183.038423025234,6.54304995584112e-39,3.57909000132252e-37,ENSG00000255823
PTTG1IP,1.11767293035686,8.28573958749859,182.408876386806,8.61009187945284e-39,4.67996639624943e-37,ENSG00000183255
EEF1D,1.06428418362086,8.48525521562482,181.547161923713,1.25399737309486e-38,6.77316316989854e-37,ENSG00000104529
SRSF7,-0.781362562071604,9.11452748595684,180.703984227387,1.81207347213588e-38,9.72630436168935e-37,ENSG00000115875
PSMB9,1.50677041774481,7.81780063946628,180.298179840808,2.16350924502586e-38,1.15405076995541e-36,ENSG00000240065
ROMO1,0.928597083690189,8.65521613739003,179.418718053006,3.17744347382974e-38,1.68443731810184e-36,ENSG00000125995
PSMB6,0.794623626135875,9.06862395533476,178.183137504533,5.45475226699015e-38,2.87395168520929e-36,ENSG00000142507
EEF1A2,1.41663976579345,7.84702639342082,177.949420060267,6.04218664656972e-38,3.16404261711834e-36,ENSG00000101210
NRP2,1.64794761348771,7.93750011926985,177.881772256784,6.22375360846104e-38,3.23936945390687e-36,ENSG00000118257
SCYL1,1.41735910020824,7.73025398098591,186.592959404001,2.49252781598932e-37,1.28950776407929e-35,ENSG00000142186
SPINT2,1.2217160643269,8.11013146824841,174.182950135729,3.1486044101957e-37,1.6191745314228e-35,ENSG00000167642
EEF1E1,-0.964195844889971,8.61816702752601,174.073943026155,3.30291595111964e-37,1.68841917786997e-35,ENSG00000124802
NDUFB11,0.533886460388625,10.1846376856432,173.88991484434,3.58081360124655e-37,1.81964658032576e-35,ENSG00000147123
MAGOH,-0.995674123840209,8.50299196555286,172.331820970209,7.09942343146847e-37,3.58646167232066e-35,ENSG00000162385
PRDX5,0.782391689613702,9.04934164561719,172.261543952656,7.32214506266026e-37,3.67734396480271e-35,ENSG00000126432
VEGFB,1.12554939009982,8.12713004189498,171.866242437401,8.71186707217333e-37,4.34985548929213e-35,ENSG00000173511
PPFIA1,1.31853370121396,7.89719816681029,171.766228070593,9.10353545809971e-37,4.51914234185898e-35,ENSG00000131626
CALU,1.02649196419731,8.42012094564664,171.287059292489,1.12391355586243e-36,5.54722391824512e-35,ENSG00000128595
MZT2B,0.766156957575517,9.19664245385714,171.214851243271,1.16018645829409e-36,5.69353217361693e-35,ENSG00000152082
MTCH1,0.83230512150202,8.80526612490742,170.644872084989,1.490889236132e-36,7.27486179539862e-35,ENSG00000137409
TCOF1,-1.23414812882677,8.08592529839858,170.627207496804,1.50252488109938e-36,7.29021676772965e-35,ENSG00000070814
UBE2E3,0.906598552532979,8.80839092812292,170.563631112735,1.54516058722166e-36,7.43979473608666e-35,ENSG00000170035
GLG1,1.25426407505687,7.97492670055499,170.555530822416,1.55067915435435e-36,7.43979473608666e-35,ENSG00000090863
DDIT3,1.66266426950681,8.19252926725339,170.066459920781,1.92319357169068e-36,9.17577021871085e-35,ENSG00000175197
UPP1,1.46754062267734,7.65252915988133,172.683090262079,4.15818497600087e-36,1.97295539082295e-34,ENSG00000183696
EIF2A,-1.27541050623662,8.0137155183409,167.93817810422,4.9126764571841e-36,2.31813546232401e-34,ENSG00000144895
CDK14,1.4068613710468,7.79294335992873,167.788495758704,5.24793342684789e-36,2.46280067047922e-34,ENSG00000058091
SLC39A10,1.30224220030328,7.88216396620091,167.691072650196,5.47835924516654e-36,2.55696463029838e-34,ENSG00000196950
CYHR1,1.48204404167084,7.65463847059452,197.091254430458,8.24389176914188e-36,3.82694824396705e-34,ENSG00000187954
KAT6A,1.26213137554561,7.98445587416114,166.625938496859,8.7655014081109e-36,4.0472110802611e-34,ENSG00000083168
HEBP2,0.916689143519089,8.52005940178248,166.49869399222,9.2720026515483e-36,4.25817961344903e-34,ENSG00000051620
CUX1,1.2270287826706,7.98094071787321,166.258723196135,1.03083703040915e-35,4.7089512857201e-34,ENSG00000257923
PSMC3,1.06043338767348,8.20210517342758,166.089227002429,1.11095759559184e-35,5.04809726504905e-34,ENSG00000165916
APLP2,1.15470660146812,8.13560501146403,165.736234844123,1.29840755438268e-35,5.86880214580972e-34,ENSG00000084234
MUC20-OT1,1.20712071568,8.07953468284072,164.307570127117,2.44149629361656e-35,1.0977785429099e-33,ENSG00000242086
SHC2,1.47435541887431,7.66484749054273,190.349358417032,3.75198083086107e-35,1.67822975913723e-33,ENSG00000129946
KDELR1,0.966978265363157,8.4884745943882,163.293663822314,3.82355924310338e-35,1.70138480724206e-33,ENSG00000105438
PDRG1,1.21991123612043,8.11957767937309,162.815666805925,4.72457739722751e-35,2.09147787048401e-33,ENSG00000088356
VDAC3,0.890098042104569,8.58889689476312,162.740489779908,4.88448604558308e-35,2.15117775176756e-33,ENSG00000078668
HSPB1,1.01172675439231,8.42395366771807,162.677411117395,5.0228361757287e-35,2.19035030527997e-33,ENSG00000106211
DEF8,1.35236540994982,7.80976445494655,162.676689589531,5.02444119865107e-35,2.19035030527997e-33,ENSG00000140995
ZNF292,0.938522809841081,8.73419195867082,162.216397273801,6.16056805800692e-35,2.67206861021028e-33,ENSG00000188994
TSPAN3,1.15340537003438,8.09615088647772,162.119609161984,6.43044563616032e-35,2.7751089006706e-33,ENSG00000140391
STIP1,1.06408061021624,8.26369116425274,160.921939128665,1.0933693106035e-34,4.69492781973141e-33,ENSG00000168439
GAGE2A,0.93133905238162,8.53925340222131,160.577667269388,1.27371243842001e-34,5.44211065728907e-33,ENSG00000189064
KMT5A,1.32357045946293,7.8005668250336,159.359738575689,2.18664633467208e-34,9.2964944169128e-33,ENSG00000183955
COPS7A,-1.43438518361952,7.7099125022758,168.514777266238,3.42473584380359e-34,1.44884883874804e-32,ENSG00000111652
SMG5,1.29183213981517,7.79863046845145,157.471877228813,5.05856443505849e-34,2.12955643962168e-32,ENSG00000198952
GAL,1.31832357387117,7.90797664533624,156.727154886917,7.04470830232818e-34,2.95121731221436e-32,ENSG00000069482
C8orf33,1.32531266328803,7.80005059731385,155.848929673426,1.04133560378002e-33,4.34125736177806e-32,ENSG00000182307
CYTH3,1.44183398272635,7.64198797098446,179.507873583126,1.17788537804423e-33,4.88680175200186e-32,ENSG00000008256
ADNP,1.03835288704846,8.2261683408975,155.238089811008,1.36682048812498e-33,5.64339151539295e-32,ENSG00000101126
NDUFS8,0.862078314043523,8.58033634377781,154.914983144278,1.57839169727663e-33,6.48575497426398e-32,ENSG00000110717
OPTN,1.40667663139576,7.6875322951243,154.86846776214,1.73544044421798e-33,7.09712501664e-32,ENSG00000123240
GDE1,1.18121116524936,7.96250545571205,154.551192896456,1.85612402466728e-33,7.55468868428558e-32,ENSG00000006007
TFB2M,-1.35755294115618,7.78340546727668,154.517337053729,1.88433885011288e-33,7.63335002111764e-32,ENSG00000162851
C4orf48,0.931279567505652,8.59043618250264,154.016511423714,2.35560456434169e-33,9.49762065660396e-32,ENSG00000243449
COL1A2,-1.47761336962587,7.74940248938548,153.254360862866,3.30904389399683e-33,1.32794714774041e-31,ENSG00000164692
PPP1CA,0.918530652161097,8.36269616661251,153.000520276693,3.70579609399848e-33,1.48025008629111e-31,ENSG00000172531
CYBA,1.35643279718427,7.80529410343137,152.964896180065,3.7651657689543e-33,1.49700201961942e-31,ENSG00000051523
CRTC3,1.30577734327367,7.75595860447025,152.438221922339,4.76272843053435e-33,1.88489915951286e-31,ENSG00000140577
CENPV,-0.873114052620041,8.69255373374874,152.193316165769,5.31292812580441e-33,2.09300122680772e-31,ENSG00000166582
DSP,1.36907556345419,7.84810874947567,151.954030793296,5.91195716766808e-33,2.31835105734856e-31,ENSG00000096696
MRPS11,1.0695341452254,8.14291263354459,151.829396317431,6.25030629705869e-33,2.43989229450637e-31,ENSG00000181991
TCEA1,0.775087356969419,8.98004075115146,151.312402708349,7.87382346182364e-33,3.05974642036839e-31,ENSG00000187735
MLEC,0.952776703265481,8.43143685445937,151.301118261631,7.91361720820863e-33,3.06135786414846e-31,ENSG00000110917
HM13,0.8741400904299,8.52836337628801,151.061542202066,8.80767450284419e-33,3.39194209105049e-31,ENSG00000101294
SERBP1,-0.52749048060656,10.3538216607504,149.857831339891,1.50853729439706e-32,5.78362423405446e-31,ENSG00000142864
BAZ1B,1.01219344937829,8.28863342689144,149.27802293994,1.955248814418e-32,7.46296747476524e-31,ENSG00000009954
GCHFR,1.37726576220316,7.67655884607401,164.393425978193,2.00784440861391e-32,7.62980875273285e-31,ENSG00000137880
SNU13,-0.805709919858469,8.82264242612229,149.03887531684,2.17610040726978e-32,8.23275343508056e-31,ENSG00000100138
ATP5ME,0.73912536684075,9.0270664323495,148.622139260674,2.62234590864883e-32,9.87750292257727e-31,ENSG00000169020
NAA20,-0.919057136825977,8.46204286599521,148.536165699188,2.72524808101164e-32,1.02202753361257e-30,ENSG00000173418
TERF2IP,1.10764933802491,8.18356978112423,148.347072492356,2.96603254504257e-32,1.10749076073155e-30,ENSG00000166848
SPATS2L,1.32410748410878,7.88266819613762,148.334839333242,2.98232441190012e-32,1.10875333547178e-30,ENSG00000196141
