gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
RACK1,-1.10448317160908,11.1841883728643,3069.25069395342,0,0,ENSG00000204628
EEF1A1,-1.05669040117835,12.6584109464623,2794.50296740361,0,0,ENSG00000156508
PRRX1,-4.05862806777157,7.26491664822043,2266.85260172181,3.4578598240078e-316,1.29946372186213e-312,ENSG00000116132
SPRR2F,4.1813643464618,8.163876698374,1399.57399929081,1.42888627325894e-224,4.02731596118033e-221,ENSG00000244094
TUBA1A,2.26136594826492,9.49633598656235,1356.78056178511,2.06523626758572e-219,4.65669473615227e-216,ENSG00000167552
TUBB2B,1.91852405481194,9.23729357109144,1230.10516662346,1.05175821342797e-203,1.97625368303115e-200,ENSG00000137285
NEFL,-2.16335055276864,8.03718401130425,1094.88085963491,3.57505152859514e-186,5.75787584762594e-183,ENSG00000277586
EIF3K,-0.873445127623692,9.16326502023824,1093.65070377725,5.20733495484943e-186,7.33843678512156e-183,ENSG00000178982
PDGFC,2.2630238724128,7.45341983977883,1067.44772423373,1.63237038570941e-182,2.04481596983199e-179,ENSG00000145431
HGF,3.07001346091715,8.34580381848511,1019.9731148363,4.28611263529291e-176,4.83216338502923e-173,ENSG00000019991
FBL,-0.9563099551271,8.39917152464914,989.710202593968,6.06105162509559e-172,6.21202691102979e-169,ENSG00000105202
CRABP2,-2.00056819641775,6.93429328351958,831.262226279947,2.00613230509399e-149,1.88476130063581e-146,ENSG00000143320
ID3,-2.81084689994183,6.7264641852537,826.826809239301,8.96977704891173e-149,7.77886664995622e-146,ENSG00000117318
CYCS,-0.735358442210325,9.70109076985243,817.255878899768,2.29179224176028e-147,1.84554755240039e-144,ENSG00000172115
XRCC5,0.760002232683383,9.3932451973739,806.415637671416,9.13429210078248e-146,6.86533394294811e-143,ENSG00000079246
HSPD1,0.714137665606756,10.1424805711258,787.748124339959,5.40836613430152e-143,3.81086998738221e-140,ENSG00000144381
NPM1,-0.569999091716501,11.2190892752302,772.473417463008,1.04003312960107e-140,6.89725500183673e-138,ENSG00000181163
TIMP1,2.26390352089657,7.37927212160309,767.030320846188,6.82869713264587e-140,4.27704063741386e-137,ENSG00000102265
TMSB10,0.801902157546123,10.0019445882802,765.551967569155,1.13926740878343e-139,6.76005303506546e-137,ENSG00000034510
IFI16,2.43528006897495,7.64614100254799,747.852683829058,5.34919785691275e-137,3.01534283194172e-134,ENSG00000163565
ID2,-2.19041331988542,7.11427662963902,741.678904109731,4.62102557422452e-136,2.48083058684796e-133,ENSG00000115738
PPIA,-0.511814090030556,10.571444344039,728.263610968297,5.10221771261173e-134,2.61465465872658e-131,ENSG00000196262
PRELID1,-0.686865125771656,9.17694746029066,703.934736197044,2.76499864318493e-130,1.35533020448987e-127,ENSG00000169230
TCF4,-1.36626410880529,7.77655182479214,638.247277369979,5.18445075298995e-120,2.43539574121703e-117,ENSG00000196628
PSMD2,0.891668793121508,8.4087630340094,636.784963021902,8.84423388566835e-120,3.988395713081e-117,ENSG00000175166
ID1,-2.06950632331048,7.56440316981426,603.800008663268,1.65084989165711e-114,7.15833910713163e-112,ENSG00000125968
SPINT2,-1.74222236253282,6.78421855324829,594.039712858262,6.19257449250293e-113,2.58574388253622e-110,ENSG00000167642
HIGD2A,-0.850964616069176,8.06815650299281,593.723956769511,6.96480155774558e-113,2.8043275986437e-110,ENSG00000146066
TSPAN13,-1.64949137399351,7.05226819079833,584.808121916144,1.93611507674937e-111,7.5268142673353e-109,ENSG00000106537
PSMB5,-0.555857864231102,9.52427231163333,583.387437078757,3.29266237315023e-111,1.23738251982986e-108,ENSG00000100804
MLLT11,1.15473288395243,8.5008405622471,577.14831786619,3.40429137139939e-110,1.23806390068247e-107,ENSG00000213190
MRPL3,-0.843390596752086,8.08691291403343,571.597165206323,2.73514262998084e-109,9.63624937825124e-107,ENSG00000114686
EFEMP1,1.33657023345449,7.76893840995069,552.412807906033,3.81531760664965e-106,1.30345123325358e-103,ENSG00000115380
AKR1C3,-2.03297986064347,6.36379816025657,541.828905382561,2.12734407752293e-104,7.0540226852922e-102,ENSG00000196139
UQCRB,-0.419672701155014,10.4411902173202,537.73826564878,1.01155157902368e-103,3.25835214340371e-101,ENSG00000156467
