gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
RACK1,-0.542497144628544,10.7053270040806,432.856268143243,7.71177793382414e-86,8.18142520999403e-82,ENSG00000204628
ID3,-2.05022925100361,6.65070905606683,402.933098409155,1.30717546024138e-80,6.93391222885041e-77,ENSG00000117318
EEF1A1,-0.421721071641833,12.1250263136465,352.067230099942,1.51578399444308e-71,5.36031746568223e-68,ENSG00000156508
PRRX1,-1.93591818584898,6.84673318198792,341.513811500767,1.22967989971183e-69,3.26141851401071e-66,ENSG00000116132
CENPF,1.35792825715585,9.93928341364448,327.78884230578,3.87039590291401e-67,8.21220602680294e-64,ENSG00000117724
SMC2,0.772783820870567,8.79065225631652,324.407151942064,1.60645639026192e-66,2.84048264071479e-63,ENSG00000136824
HMGB2,1.13583209022323,9.040378528675,317.204213633321,3.35700046360846e-65,5.08777398834602e-62,ENSG00000164104
SMC4,1.10636945978009,8.28087669035317,309.980507998226,7.15602940027652e-64,9.48978948844169e-61,ENSG00000113810
SPC25,1.53086606062031,7.21143901568007,293.535267016037,7.90406333887453e-61,9.31713421801332e-58,ENSG00000152253
MKI67,1.37602008975111,8.02788875534919,278.517181535898,5.00527814729277e-58,5.3100995864629e-55,ENSG00000148773
NUSAP1,1.1943346960104,8.03696135144979,276.626323069869,1.13162831003731e-57,1.09140406738053e-54,ENSG00000137804
ARL6IP1,1.26897977210733,8.45240960605329,274.620126449417,2.69134408627464e-57,2.37937245094064e-54,ENSG00000170540
PLK1,1.56921099964001,7.90184517947741,270.132135647019,1.87551180765891e-56,1.53056190518872e-53,ENSG00000166851
SGO2,1.385979449744,7.69110224341752,267.421065568363,6.07293137389469e-56,4.60198063897491e-53,ENSG00000163535
NUF2,1.28913090068066,8.53227461491349,260.225592598726,1.38433253698872e-54,9.7909225899422e-52,ENSG00000143228
GTSE1,1.43597887207499,7.36423925586717,253.480914501894,2.6222374414137e-53,1.73870731349737e-50,ENSG00000075218
ID2,-1.54818867859025,6.9252582102433,250.236346620108,1.0834409935024e-52,6.76130911768647e-50,ENSG00000115738
KIF22,1.20404859325774,7.36794140457865,240.748394651928,6.9600837044298e-51,4.10219600112754e-48,ENSG00000079616
TPX2,1.12157822620412,8.45686172866897,238.132724523361,2.20089987872503e-50,1.22891299017862e-47,ENSG00000088325
SPINT2,-1.31796011731644,6.72623396399595,236.820996220674,3.92283227808657e-50,2.08086638191102e-47,ENSG00000167642
CHCHD10,-1.42195759915968,6.76896730956206,235.50863802681,6.99673611791767e-50,3.53468445118993e-47,ENSG00000250479
AURKB,1.28144004172384,7.51020691820602,233.31172239619,1.84486369277218e-49,8.89643587119096e-47,ENSG00000178999
ASPM,1.41294260177261,8.02737931774349,228.369485915169,1.64067511598698e-48,7.56779230674167e-46,ENSG00000066279
EIF3K,-0.533865995922803,8.87291791888901,228.112289094843,1.83857355338424e-48,8.11699678006473e-46,ENSG00000178982
CDCA3,1.36480902655809,7.77665699084348,228.022957267652,1.91276198983522e-48,8.11699678006473e-46,ENSG00000111665
MAD2L1,0.947800826928121,8.02916556067289,226.509500111466,3.73979707750538e-48,1.52598104597133e-45,ENSG00000164109
AC092159.2,1.44755525625887,6.86366232171845,222.367018402885,2.35000979059012e-47,9.23379772902614e-45,ENSG00000233296
KIF2C,1.35475013242259,7.36843340089351,220.645459974063,5.05038328074578e-47,1.91355415090829e-44,ENSG00000142945
CKS2,0.836898732978136,8.86035817876178,217.864625955131,1.74047902048482e-46,6.36715238907706e-44,ENSG00000123975
TOP2A,1.1991301374148,9.24759056497471,216.914821698957,2.6569670574302e-46,9.39592117075898e-44,ENSG00000131747
MIS18BP1,1.09408952442179,7.47538984888308,216.667850830185,2.96600847885747e-46,1.01504464361932e-43,ENSG00000129534
ANP32E,0.739348778783851,8.32280756015173,210.835057815511,4.00516185736694e-45,1.32783631702518e-42,ENSG00000143401
TACC3,1.20291441018638,7.29686896006882,208.157933245822,1.32639770578808e-44,4.26416765475932e-42,ENSG00000013810
CENPE,1.3061994625996,7.50907560016681,206.927497075716,2.30118350267696e-44,7.18036934702938e-42,ENSG00000138778
PBK,1.17059664739553,7.28710671007054,205.267617600083,4.84167746398874e-44,1.4675816061559e-41,ENSG00000168078
ECT2,1.29204371912516,7.06711276132411,205.03463914407,5.37478940743774e-44,1.58392057843075e-41,ENSG00000114346
NEFL,-1.16400146891673,7.70355545207587,204.54786859338,6.68596604521415e-44,1.9170652371264e-41,ENSG00000277586
FTL,-0.510836173957973,10.3967798349004,202.937526122721,1.37712191783166e-43,3.84470695428317e-41,ENSG00000087086
CRABP2,-1.24791738629255,6.80419240566169,202.118007513116,1.989659910994e-43,5.41238512711164e-41,ENSG00000143320
FTH1,-0.495717033618381,9.28975576854772,198.467057023685,1.02704843417555e-42,2.72398920954211e-40,ENSG00000167996
HIST1H1D,1.51125880347965,7.63577428705551,196.597911899136,2.38274808508726e-42,6.16550595968067e-40,ENSG00000124575
BIRC5,0.922745246812248,8.4813283997408,193.187373287028,1.10901638080999e-41,2.8013225676222e-39,ENSG00000089685
SOX2,-1.30444572362978,6.59083344012883,189.287734918801,6.45835850763998e-41,1.59341221878029e-38,ENSG00000181449
CKS1B,0.619262965977615,8.94536027027165,188.177317589078,1.06735963574353e-40,2.57354963081888e-38,ENSG00000173207
DLGAP5,1.20776293689635,7.32084165113308,183.00037000704,1.11513196564133e-39,2.6289855607753e-37,ENSG00000126787
TUBA1B,0.486076940278991,11.1004692516569,180.758120628741,3.08745278794458e-39,7.12060578854435e-37,ENSG00000123416
CCNF,1.2708926802553,6.89318031242444,180.636420318637,3.26303022647648e-39,7.36542290908276e-37,ENSG00000162063
CDK1,1.13729733710556,7.67208248793025,175.657615229765,3.14578977455171e-38,6.95285077462898e-36,ENSG00000170312
NCAPG,1.15376488371481,7.12849018296744,174.954977040889,4.33346432732619e-38,9.38239245889868e-36,ENSG00000109805
NEK2,1.25420482311641,7.49598918437506,173.784098998986,7.39202939206673e-38,1.56844079640872e-35,ENSG00000117650
KIFC1,1.15165677321563,7.16965040940163,172.855823062313,1.12913651545915e-37,2.3488253514718e-35,ENSG00000237649
LBR,0.792500546250247,7.87680901231564,172.449810746535,1.35908872506253e-37,2.77280236234393e-35,ENSG00000143815
UBE2T,0.60308495435598,8.61481404295117,171.102463381472,2.5149153150681e-37,5.03410124104857e-35,ENSG00000077152
CCNB1,1.12600675324336,8.18969641319447,167.386153892447,1.37655730985797e-36,2.70442527783023e-34,ENSG00000134057
DEPDC1,1.22217285413458,7.16784811502555,167.138771807324,1.54167882723973e-36,2.97375830512478e-34,ENSG00000024526
CENPA,1.20433739763047,7.46969324182679,166.602998405905,1.97048380806766e-36,3.73301119996247e-34,ENSG00000115163
PIMREG,1.10942487679463,7.25293183166035,164.933458255317,4.23541402283483e-36,7.74896265138781e-34,ENSG00000129195
HMGB1,0.326828283808038,10.6810967117925,164.932949875045,4.23640148723247e-36,7.74896265138781e-34,ENSG00000189403
SGO1,1.09060181000745,7.10277285100753,164.634826670959,4.85704450784105e-36,8.73362460740435e-34,ENSG00000129810
NPM1,-0.305972621249454,10.8423582941239,164.098449309506,6.21189116673487e-36,1.09836588979817e-33,ENSG00000181163
TUBB2B,0.730792479661236,9.02691545184949,164.007143842264,6.47762896970176e-36,1.12657648753387e-33,ENSG00000137285
