gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
RACK1,-1.01508729029004,11.4044834981021,593.980759921674,7.81303555260753e-112,8.62871646429975e-108,ENSG00000204628
SYT1,2.42451840507643,6.37059500261346,351.300936887256,5.10039060809722e-71,2.81643569379129e-67,ENSG00000067715
NPM1,-0.72391327106995,11.0860497681478,346.909002169897,3.1096251972581e-70,1.14475668928395e-66,ENSG00000181163
TUBB2B,1.50084300370592,7.89268124287717,285.792463011516,4.06420697233857e-59,1.12212754506268e-55,ENSG00000137285
TUBA1A,1.48722246973864,7.78971063800646,238.554252674087,2.85982383837942e-50,6.31677889421246e-47,ENSG00000167552
NEDD8,-0.715068688026033,9.45259171217897,236.166875515443,8.1220042073673e-50,1.49499024110274e-46,ENSG00000129559
PSMB5,-0.724763415187843,9.40388179006137,230.924697738137,8.07618036313277e-49,1.27419051329198e-45,ENSG00000100804
PRELID1,-0.805824148527141,9.06476700051209,205.613316395447,5.8310098715977e-44,8.04970912774062e-41,ENSG00000169230
HLA-A,1.49024765574559,6.88541365757669,196.757198267535,3.03686076589804e-42,3.72656558873088e-39,ENSG00000206503
DPYSL2,1.87905148207807,6.2830749489255,248.745876419236,6.41651852620231e-41,7.08640306033783e-38,ENSG00000092964
LDHB,-0.513906576917525,10.7973385253959,186.665804938839,2.81429291287548e-40,2.82555008452698e-37,ENSG00000111716
COPS9,-0.724568961842155,9.01203514512787,182.491193806913,1.84699439319704e-39,1.69985050653901e-36,ENSG00000172428
TNIK,1.8252384617541,6.26249344751318,222.783006458978,1.49916748935719e-38,1.27360044249699e-35,ENSG00000154310
PATJ,1.72252089020203,6.29745201850833,178.71718014954,1.40010561471642e-37,1.10448331492344e-34,ENSG00000132849
HIGD2A,-0.850222170978869,8.45891235242873,169.800184400951,5.79314426095915e-37,4.26529901453552e-34,ENSG00000146066
CADM1,1.28130350792019,7.67907180559393,152.829367270722,1.35233182295184e-33,9.33447040792505e-31,ENSG00000182985
RCN2,0.906115797193873,7.44916631970575,148.688362602378,9.08309004720656e-33,5.90080273419702e-30,ENSG00000117906
GPX7,1.52762732317903,6.38168061409825,145.254128084503,4.42394782507732e-32,2.71433776556411e-29,ENSG00000116157
CFL1,0.402196323014103,10.1180920686044,144.541227385072,6.147868105054e-32,3.57352922906402e-29,ENSG00000172757
PSMB8,1.50290671574609,6.56362796969571,137.304655742069,1.74994050528433e-30,9.66317147018005e-28,ENSG00000204264
PTMA,-0.426635013389857,11.9699846167136,135.881935829221,3.38621575767163e-30,1.78082699179645e-27,ENSG00000187514
TIMP1,1.54140122714672,6.51046638939553,132.146418207772,1.92167025400634e-29,9.64678467511181e-27,ENSG00000102265
HLA-DPB1,1.58805241575104,6.28627459921328,172.833068119328,2.25636360898582e-29,1.08344694337562e-26,ENSG00000223865
RPRM,1.56483447611779,6.30652225829322,130.002570184726,5.21423194102708e-29,2.39941573152929e-26,ENSG00000177519
TCHH,1.62431700976345,6.2746289552357,155.004166070246,2.30030035328536e-28,1.01618068406734e-25,ENSG00000159450
COX7C,-0.429249944853372,10.1014934297441,126.39018842074,2.81186410757636e-28,1.19439335400282e-25,ENSG00000127184
RDX,0.562830942938575,8.86404954473412,125.159793032501,4.9961564256275e-28,2.04361302091222e-25,ENSG00000137710
PPIB,0.69102624459165,8.10619863494525,121.747193194911,2.46643702020479e-27,9.72833230397918e-25,ENSG00000166794
MALAT1,0.659865279871637,12.8263910832187,119.227440251603,8.0363705293333e-27,3.06047159055024e-24,ENSG00000251562
UQCRB,-0.331632617893962,11.6749674857278,115.170542546446,5.40456023748036e-26,1.98959877542444e-23,ENSG00000156467
MORF4L1,0.527864682610304,8.66725835736724,110.766768748022,4.3025549900635e-25,1.49680319351388e-22,ENSG00000185787
NDUFB4,-0.593246833166989,8.80492916608299,110.74987244906,4.33698860851539e-25,1.49680319351388e-22,ENSG00000065518
RBBP6,0.856452277965153,7.41470579604513,109.799449305143,6.7917423738647e-25,2.27296978112005e-22,ENSG00000122257
COX6C,-0.43048768756,10.7031668570962,109.127378696719,9.32822279999242e-25,3.03002625303283e-22,ENSG00000164919
MLLT11,0.856345051843201,7.56371728211011,108.829046505367,1.07397938983674e-24,3.38886525181627e-22,ENSG00000213190
GAPDH,-0.37117548114599,12.3824986669075,106.676969321,2.97039098843595e-24,9.11249946563519e-22,ENSG00000111640
DAD1,-0.570251589734162,8.85821311806188,106.528042850493,3.1872159321365e-24,9.51340885257177e-22,ENSG00000129562
CD99,0.587997559450079,8.26108511544343,105.970351241842,4.14972998191521e-24,1.20604257684925e-21,ENSG00000002586
NHP2,-0.57036207643659,8.78341614394623,103.695623939377,1.21880090048086e-23,3.45139413972068e-21,ENSG00000145912
MRPL52,-0.621918978160897,8.47084601103576,102.460868328406,2.18888939787186e-23,6.04352362752421e-21,ENSG00000172590
XRCC5,0.518365385866336,8.71583552189817,102.314780533787,2.34597760053348e-23,6.31926259031506e-21,ENSG00000079246
EIF3K,-0.497167487687626,9.42283447488166,102.134943911321,2.55494547853398e-23,6.7182899678403e-21,ENSG00000178982
PHB2,-0.425248259848201,9.43956432556607,101.52024319792,3.42044995864173e-23,8.78498821935797e-21,ENSG00000215021
NCL,-0.621108887063467,9.88183101916641,101.079429673088,4.21673178059997e-23,1.05839967693059e-20,ENSG00000115053
FAM162A,-0.761450495115144,7.9381804461317,100.336785785545,6.00020130816533e-23,1.47258273883062e-20,ENSG00000114023
HLA-C,1.06641110983515,7.09626306055923,99.3099590114694,9.77471010480604e-23,2.34678039994517e-20,ENSG00000204525
HSPD1,0.469317903057963,9.42314966129836,99.0429996277597,1.10975974841029e-22,2.60769928966878e-20,ENSG00000144381
C7,1.42368163876102,6.28776027026672,99.1319418210069,1.43220280586446e-22,3.29525995582648e-20,ENSG00000112936
METTL9,0.615848276053024,7.75077630192959,95.9213342173179,4.9043436179528e-22,1.1053789982994e-19,ENSG00000197006
SBK1,1.06570117593354,6.75116956517208,95.702208149202,5.444196716521e-22,1.20251417074516e-19,ENSG00000188322
SSB,0.473712311724642,8.7790988717202,95.0578242674621,7.40189749778039e-22,1.60287364638209e-19,ENSG00000138385
SOX4,0.724314987010746,9.43824181031635,94.8632724167923,8.12145082477153e-22,1.72487120978417e-19,ENSG00000124766
KNOP1,0.614149975722991,7.94536640130957,94.3978726364541,1.01399853764851e-21,2.11294336788494e-19,ENSG00000103550
DEK,0.414274831893476,10.0750783488578,94.1483888081061,1.1421646277223e-21,2.3359381756602e-19,ENSG00000124795
SLTM,0.683038088606228,7.75609986826417,93.8705396250402,1.30409065356133e-21,2.61767124251915e-19,ENSG00000137776
EEF1A1,-0.319000501233376,12.9355854830591,93.8335369992051,1.32732333919841e-21,2.61767124251915e-19,ENSG00000156508
SPCS2,0.584064322673511,7.94043562523774,93.2168748213172,1.78160626635117e-21,3.45194028168111e-19,ENSG00000118363
HSPA1A,1.1663089078153,7.19806040309472,92.3148956213625,2.74089758165457e-21,5.21904705030916e-19,ENSG00000204389
NME3,1.13165888849446,6.67954236853375,91.6010215712511,3.8551623943598e-21,7.21634126835756e-19,ENSG00000103024
COX17,-0.868423974318416,7.74200777490845,90.5624691864792,6.33440665828958e-21,1.1659531189025e-18,ENSG00000138495
SUPT16H,-0.60957124397786,8.72695720898516,90.4809711208417,6.58622139214598e-21,1.1924299845059e-18,ENSG00000092201
PSMB9,1.32883616687904,6.58386853619644,90.1948004838305,7.55254049265677e-21,1.3453267290468e-18,ENSG00000240065
PDGFC,1.22172698361676,6.59256808279908,90.0460601528374,8.10963135604557e-21,1.42163124914551e-18,ENSG00000145431
NPW,1.16986687333002,6.66249978598353,89.4917087576659,1.05736111981983e-20,1.82460878238909e-18,ENSG00000183971
UBE2E3,0.618043274340991,7.96971879488637,89.1417375603506,1.25022559838213e-20,2.12422946285112e-18,ENSG00000170035
PPIG,0.560742311805777,8.12456197557303,88.8562495832748,1.43337450743635e-20,2.39851334244349e-18,ENSG00000138398
TSPAN3,0.833273301039602,7.11745408557683,88.0705718885,2.08840588792828e-20,3.44244098899701e-18,ENSG00000140391
GAL,1.17308184870525,6.61502047509317,86.5935638780034,4.23980349364013e-20,6.88593967408259e-18,ENSG00000069482
MRPL3,-0.724682921974329,8.02569651198166,86.5265657199037,4.37827744960931e-20,7.00778205122974e-18,ENSG00000114686
MAZ,0.56053804694071,8.10511606082422,86.3201891391439,4.83394160331626e-20,7.62657872386069e-18,ENSG00000103495
MESD,0.771737994380526,7.19637187884255,84.4149366950574,1.20658890041772e-19,1.87684053749482e-17,ENSG00000117899
DYNC1I2,0.623199428637367,7.75785520925268,84.3630767528547,1.23702972683572e-19,1.89746615321857e-17,ENSG00000077380
SLIRP,-0.50602352618313,9.18518418241276,84.2291802953908,1.31922878807958e-19,1.99583051171929e-17,ENSG00000119705
BIRC2,0.960037096752345,6.8443016091773,82.7545542931351,2.68045527529745e-19,4.00039838653852e-17,ENSG00000110330
RARS,-0.697970295631812,7.84056046378181,82.6546629736357,2.81239913610369e-19,4.14135147455056e-17,ENSG00000113643
HLA-B,0.838791386595328,7.37614655037168,82.2586985807797,3.40261869303743e-19,4.9445422165665e-17,ENSG00000234745
FAU,0.310755868036625,9.89762939784094,82.0677718573738,3.73005987015069e-19,5.34997158518756e-17,ENSG00000149806
KLHL23,0.68685230624389,7.47049385823784,81.9191879052125,4.00657072135692e-19,5.67289321111101e-17,ENSG00000213160
FZD3,0.997346122005621,6.79825576947507,81.8231605155144,4.19610413675117e-19,5.86604735269367e-17,ENSG00000104290
SMC2,0.70121581827791,8.06822173805838,81.6087871252943,4.65225721065399e-19,6.42244107930783e-17,ENSG00000136824
GADD45B,1.28589262582321,6.4902641761004,81.4846705247269,4.93872780226492e-19,6.7337419565696e-17,ENSG00000099860
GMNN,0.709443710039277,7.68444422498837,79.3816957711765,1.36045876381555e-18,1.83230568141207e-16,ENSG00000112312
NME4,0.4783666975983,8.70314440206378,78.8190461679069,1.7846067540437e-18,2.37460204718779e-16,ENSG00000103202
U2SURP,-0.568859450243794,8.55996290963866,78.5010621692288,2.08052023989074e-18,2.73538875349444e-16,ENSG00000163714
EGR1,1.1062515577425,7.49804585760384,78.431782196096,2.15124941701742e-18,2.7951057131224e-16,ENSG00000120738
SNHG8,-0.52445711820135,9.60253778331857,77.2847294939589,3.74270219893766e-18,4.80632594012413e-16,ENSG00000269893
SPATS2L,1.01068257029576,6.64792279703727,75.4845282199514,8.93389374344966e-18,1.13409106324894e-15,ENSG00000196141
ELOB,0.401473728638947,8.9251565100521,75.3214326969097,9.6671718516463e-18,1.21323006738161e-15,ENSG00000103363
RUVBL1,-0.596442023258793,8.3199420819262,74.6726901423161,1.3231582403551e-17,1.641905573762e-15,ENSG00000175792
HDGFL3,0.732905276988651,7.25128777761728,73.7960371690192,2.02264549749302e-17,2.48201076381255e-15,ENSG00000166503
ANKRD11,0.612272462658036,7.84224413135335,72.813152082816,3.25619195328093e-17,3.95180043209171e-15,ENSG00000167522
TCEA1,0.504163769791547,8.17857681801185,71.9285278523369,4.9999035989945e-17,5.95373931112652e-15,ENSG00000187735
PPIA,-0.299599882570188,10.8520726415266,71.922902762448,5.01356171617861e-17,5.95373931112652e-15,ENSG00000196262
NOP16,-0.720932182790069,7.87522747051757,71.7833509667319,5.36463133012732e-17,6.30287110743895e-15,ENSG00000048162
TUBB,0.432269276341023,11.0047377336727,71.5274255979861,6.07369872404914e-17,7.06083460088408e-15,ENSG00000196230
ZFAND5,0.676801748975089,7.4190613767091,71.1804870373232,7.18714997616634e-17,8.26821711841469e-15,ENSG00000107372
NUDT3,0.792484996786596,7.22018505997281,71.0395032901356,7.69607126140801e-17,8.76241350628763e-15,ENSG00000272325
TCOF1,-0.720030815837815,7.78809673953835,70.8409747504873,8.47451017714968e-17,9.55025412208582e-15,ENSG00000070814
FAM227A,1.1348942062029,6.38157522462048,70.8110327207205,8.59857144021053e-17,9.59218413996819e-15,ENSG00000184949
TTC1,-0.710753632337739,7.71191206121664,70.6713087371965,9.2019888138001e-17,1.01626764459608e-14,ENSG00000113312
SEC62,0.570371874975602,7.90438152369245,69.481384745778,1.64007062933106e-16,1.7933603990428e-14,ENSG00000008952
IRF1,1.22481646210244,6.28385302932174,79.7988922502782,4.85493072939559e-16,5.25665244857303e-14,ENSG00000125347
HSPE1,0.375339299287593,9.28423547486077,66.5375545385763,6.86756492050804e-16,7.36362980408649e-14,ENSG00000115541
PRPF40A,0.504253195225798,8.11123196441163,66.153842286611,8.27900092642924e-16,8.79166213764274e-14,ENSG00000196504
PDIA3,0.535045251088266,8.03619666012315,65.9611512710094,9.09393150705988e-16,9.56508376799708e-14,ENSG00000167004
CUTA,0.443949948117472,8.32723770325781,65.4226432008405,1.18231952391797e-15,1.23184309642925e-13,ENSG00000112514
GSTP1,0.333415920197034,9.50439225029789,64.1826668090729,2.1646390300466e-15,2.23423116334904e-13,ENSG00000084207
PPP1R14B,0.438152884957251,8.5634938790988,63.2023313226083,3.4932500802747e-15,3.57217165616239e-13,ENSG00000173457
TFDP2,-0.74234013895221,7.59958591706409,63.0791171009023,3.70992151614774e-15,3.75893332333355e-13,ENSG00000114126
TPM1,0.850630161118806,7.03055283513181,62.9834958104351,3.88730721889916e-15,3.90285644777475e-13,ENSG00000140416
