gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
RACK1,-0.926062948794453,11.1626238190121,2383.23455152756,0,0,ENSG00000204628
NPM1,-0.639684579918355,10.9135235959912,1241.30347358018,9.76963461204406e-221,5.3664602923958e-217,ENSG00000181163
TUBA1A,1.72709174217734,8.36385728478974,1113.77937780174,5.89063499890825e-202,2.1571505366002e-198,ENSG00000167552
TUBB2B,1.44355981944122,8.32527983642473,926.288550685622,4.30584898410994e-173,1.1826014234858e-169,ENSG00000137285
CFL1,0.539352926827401,10.3191880727454,904.672555129868,1.15878174683495e-169,2.54607525414576e-166,ENSG00000172757
TIMP1,1.98561184247205,6.87430211746031,888.31732445986,4.71910537202405e-167,8.64068193617603e-164,ENSG00000102265
PDGFC,1.8063624340942,6.96368252497725,859.923019745651,1.71892507382803e-162,2.69773012301067e-159,ENSG00000145431
SYT1,2.47454523135726,6.70700832699731,826.264792358928,4.93273409121713e-157,6.77387709076393e-154,ENSG00000067715
COPS9,-0.695663743908813,8.85453493589844,748.068469533314,3.90839775454527e-144,4.77085085904826e-141,ENSG00000172428
UQCRB,-0.407944994957683,11.5485906835657,743.373546796453,2.37923030379044e-143,2.61382241174418e-140,ENSG00000156467
HGF,2.54291799337554,7.16162457496975,741.788143760814,4.38115917346029e-143,4.37558315269407e-140,ENSG00000019991
NEDD8,-0.564959367197141,9.32150857124506,701.520521163546,2.63417868500335e-136,2.41159058612057e-133,ENSG00000129559
EEF1A1,-0.460708398650198,12.7863796434213,694.951821320359,3.42519573443887e-135,2.8945538721958e-132,ENSG00000156508
PRELID1,-0.660901582213966,8.91887558409807,686.45167662882,9.54442557951527e-134,7.48964710118248e-131,ENSG00000169230
XRCC5,0.642702606296203,8.93581610218975,666.044690449415,2.91787061133789e-130,2.13704843574387e-127,ENSG00000079246
PSMB5,-0.576542793298399,9.26985421212003,663.738512053786,7.25057426807082e-130,4.97842555681413e-127,ENSG00000100804
EIF3K,-0.611796460698166,9.26548040489547,627.214215508691,1.4467370606652e-123,9.34932549909877e-121,ENSG00000178982
HIGD2A,-0.74658332242464,8.31340418181427,617.25269689149,7.79136112878969e-122,4.75532740893798e-119,ENSG00000146066
PPIA,-0.422278401997827,10.7219776218165,603.234238204305,2.17493386922301e-119,1.25756965722547e-116,ENSG00000196262
RPRM,1.99840800740503,6.56908377343528,593.931651244736,9.26186593578798e-118,5.08754295852834e-115,ENSG00000177519
NEFL,-1.46845050049026,8.30160270675168,593.140135027689,1.27512956747863e-117,6.67074925158108e-115,ENSG00000277586
HSPA1A,1.76371818504672,7.74243849787619,588.274393708017,9.11899378783041e-117,4.5536938978684e-114,ENSG00000204389
HSPD1,0.554300384711984,9.6176741537889,580.294015090025,2.31322964655951e-115,1.10491916943925e-112,ENSG00000144381
CD99,0.67530497572293,8.47716954209784,572.429177415655,5.64658315043234e-114,2.58472343711041e-111,ENSG00000002586
ELOB,0.532279272721775,9.11175129234525,556.691073811123,3.46174165373311e-111,1.52122775231648e-108,ENSG00000103363
MALAT1,0.753475103856516,13.115129115021,545.427446391596,3.49363617608126e-109,1.47619565501649e-106,ENSG00000251562
