gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MGST1,-4.3563485820335,8.03334198011573,10148.2290209981,0,0,ENSG00000008394
PABPC1,-2.51164481437294,9.60976013479841,7791.48561697852,0,0,ENSG00000070756
DCAF13,-2.3781929305748,8.35104199035917,3795.18280159088,0,0,ENSG00000164934
GTSF1,-2.1327681681175,8.36393308485973,3225.11684280936,0,0,ENSG00000170627
POLR2K,-1.84088521128702,8.27043399001138,2302.66906060913,0,0,ENSG00000147669
PHB2,-1.68264043938008,8.9227845027058,2782.09308530605,0,0,ENSG00000215021
STRAP,-1.61251136238103,9.05468778423748,2682.2960424183,0,0,ENSG00000023734
PRELID1,-1.52235206986941,8.88319831078665,2428.23909641162,0,0,ENSG00000169230
TPT1,-1.42892204439685,10.5116444443016,3405.56985509472,0,0,ENSG00000133112
FAU,1.37144989348887,10.1665499185082,2994.23318002657,0,0,ENSG00000149806
RACK1,-1.36382776878365,10.9773285739288,3443.67409914754,0,0,ENSG00000204628
ATP5F1B,-1.29855621960837,9.38647886674108,2118.818768223,0,0,ENSG00000110955
PSMB5,-1.28857508740148,9.21161608423505,2182.9173553164,0,0,ENSG00000100804
PFN1,-1.24740795319328,9.55068587288777,2072.50796229792,0,0,ENSG00000108518
NPM1,-0.995093167673348,10.9363576098872,2025.79427283608,1.77863632502849e-322,1.17118261346667e-319,ENSG00000181163
FKBP4,-1.73039116680389,8.39852549801765,1938.70663171476,4.73634056415603e-312,2.92380223451057e-309,ENSG00000004478
COX6C,-1.25128709184157,9.15124591974277,1858.81625516206,2.69305197498067e-302,1.56466319746377e-299,ENSG00000164919
ATP5MC3,-1.71902077981899,8.84560780876133,1848.22581017782,5.45733459374964e-301,2.99456076569251e-298,ENSG00000154518
RANBP1,-1.38013037965189,8.7678545314398,1818.23934216825,2.8482263370763e-297,1.48062797533172e-294,ENSG00000099901
YBX3,-1.36414148041818,9.00465496424776,1751.67948512453,6.32426061348716e-289,3.12323610397063e-286,ENSG00000060138
LDHB,-0.910612784774903,10.6619936216138,1741.61640168251,1.18697641082526e-287,5.58274571891479e-285,ENSG00000111716
SSR2,-1.11496000824803,9.63101843049547,1715.87631239158,2.21691310679866e-284,9.95293216175017e-282,ENSG00000163479
CDC123,-1.4258904653888,8.49572173058088,1706.14621747201,3.8693506385566e-283,1.66163375030537e-280,ENSG00000151465
M6PR,-1.93895520905573,7.68491801253346,1626.04213832229,8.39579591472578e-273,3.45521984373944e-270,ENSG00000003056
PRRX1,-2.63602098040018,7.73097249716659,1613.23007214334,3.94649570388987e-271,1.55918152269281e-268,ENSG00000116132
SERF2,1.21174438716118,9.49607719109024,1562.20919094489,2.03290962958043e-264,7.72271092744841e-262,ENSG00000140264
PTDSS1,-1.65802814676998,8.00501594913267,1556.78837783391,1.06236282467607e-263,3.8862805997502e-261,ENSG00000156471
TUBB2B,2.07970213093875,9.53653404737588,1549.038187464,1.13428943266468e-262,4.00120597372465e-260,ENSG00000137285
NACA,-0.832716418592514,11.1398837625435,1538.7738830938,2.62957747027626e-261,8.95597816342021e-259,ENSG00000196531
NOP16,-1.9215573243459,7.60848006845924,1516.92389387154,2.17646710664057e-258,7.16565520409631e-256,ENSG00000048162
BTF3,-0.848151289717579,10.1431553263865,1490.96088054741,6.69809552963494e-255,2.13409966278079e-252,ENSG00000145741
LAPTM4B,-1.41322178662083,8.5563402631976,1477.99201775914,3.77583956554752e-253,1.16543648090353e-250,ENSG00000104341
ATP5F1E,1.04537063896333,9.65457963371806,1422.94693593794,1.18711699580091e-245,3.55307714167441e-243,ENSG00000124172
RIDA,-1.9303396953975,7.45696151119096,1415.99124364164,1.07032973526724e-244,3.10930788095135e-242,ENSG00000132541
DYRK4,-2.10682088124629,7.21313480071614,1408.7018227875,1.07700766709278e-243,3.03931563653583e-241,ENSG00000010219
SOD1,1.07514942660794,9.61248211898618,1360.08693708053,5.86924905720785e-237,1.61029369272339e-234,ENSG00000142168
EIF3M,-1.2753407815163,8.50186918259243,1354.99646869921,3.01259612225833e-236,8.04200321609338e-234,ENSG00000149100
RPF2,-1.71585684167706,7.82906746867925,1353.48388228495,4.90006279666685e-236,1.27362948007049e-233,ENSG00000197498
GAPDH,-1.18622563475594,11.8353108992332,1347.6203667323,3.23556172335951e-235,8.19426747221073e-233,ENSG00000111640
C1QBP,-1.0185955234962,9.4908566456318,1341.65592442807,2.21367984466135e-234,5.46612895643005e-232,ENSG00000108561
CCT5,-1.3264855122013,8.79630521134709,1334.37880890714,2.32207919017959e-233,5.59394540522045e-231,ENSG00000150753
MALAT1,1.56667800462494,13.2772562073469,1332.52431611107,4.22982790311618e-233,9.94714528549487e-231,ENSG00000251562
UBE2N,-1.37657478941257,8.27172953242656,1329.3185048226,1.19357880011774e-232,2.74162274622394e-230,ENSG00000177889
ATP5MG,1.11661842230223,9.27722985972832,1311.05962820834,4.46902259768962e-230,1.00319400448592e-227,ENSG00000167283
ACTB,-1.11030178277528,10.9512784258292,1301.32311043396,1.06560275089778e-228,2.33887963791496e-226,ENSG00000075624
ATP5MC2,-0.95511741996009,9.33278424821441,1292.29362524546,2.03317573721328e-227,4.36558190357729e-225,ENSG00000135390
PFDN5,-1.0112767377999,9.18518524862542,1283.45919367191,3.66524744307125e-226,7.70247850962016e-224,ENSG00000123349
SPINT2,1.72907518403744,8.52145179576652,1280.48191247479,9.72827505287679e-226,2.00179526452634e-223,ENSG00000167642
KCNMA1,4.37399178818135,8.29120861356858,1258.63260455291,1.28704642536464e-222,2.59431786598501e-220,ENSG00000156113
ZNF706,-1.35626904898462,8.24085849520643,1252.51568146201,9.70107195430513e-222,1.91634975385344e-219,ENSG00000120963
SDHC,-0.988314241086613,9.07257485458623,1240.19945697381,5.72159023350774e-220,1.108081308556e-217,ENSG00000143252
BARX1,2.44499912246593,7.73167192666151,1226.41402896209,5.57835924247556e-218,1.05956642765252e-215,ENSG00000131668
CTHRC1,-2.05294498414283,7.19701194588214,1224.25709050084,1.14391233110451e-217,2.13177775364514e-215,ENSG00000164932
MTDH,-1.24839475229992,8.65749534415361,1215.22562036776,2.32443616283981e-216,4.25156592229053e-214,ENSG00000147649
EMG1_ENSG00000126749,-1.61246133931492,7.8491359080053,1192.01777242315,5.5230233660173e-213,9.91834577930052e-211,ENSG00000126749
MRPS22,-1.79978922330071,7.48879048411681,1186.67873745915,3.32557019352552e-212,5.86547442883064e-210,ENSG00000175110
TSTD1,1.68510840341227,8.3257143712824,1183.6266264282,9.2918176363761e-212,1.61009268060503e-209,ENSG00000215845
SDHD,-1.46984771807767,7.99440772217543,1179.17103082913,4.170707674071e-211,7.10242753393091e-209,ENSG00000204370
PPIF,-1.18064546435382,8.99831585258542,1173.67117837118,2.66848950655111e-210,4.46723234850937e-208,ENSG00000108179
NUDT5,-1.1897686519618,8.52035948240561,1154.60224566354,1.70045792026576e-207,2.79923714641082e-205,ENSG00000165609
GAGE12F,-1.97643075411709,7.15319024346925,1121.46811684141,1.37725774341624e-202,2.23002864454463e-200,ENSG00000236362
EIF3E,-1.05548570600343,9.0661563467304,1118.68422637616,3.57686690380075e-202,5.69817974336129e-200,ENSG00000104408
TMBIM6,-1.14186825387516,8.57804909007395,1115.64475708093,1.0148802423023e-201,1.59110669098727e-199,ENSG00000139644
C12orf10,-1.50727611070535,7.71384225026941,1112.53391887638,2.95368489945025e-201,4.55836652372971e-199,ENSG00000139637
RUVBL1,-1.28115304176648,8.30114554274454,1100.04608494146,2.17224854052152e-199,3.30081520534323e-197,ENSG00000175792
MID1IP1,-1.93911932918163,7.15016865006143,1099.61869741848,2.51714176967694e-199,3.7669407968332e-197,ENSG00000165175
CNBP,-0.964177264211771,9.11531061136536,1095.46895702096,1.05367018344809e-198,1.54446755287444e-196,ENSG00000169714
CD24,-1.23900892538704,10.5594796683894,1095.44255811174,1.06331673175521e-198,1.54446755287444e-196,ENSG00000272398
TCF4,1.51620367803129,9.57445567035695,1094.25081159055,1.60461445427562e-198,2.29692419780874e-196,ENSG00000196628
NEDD8,-0.987025349071418,8.9457926384224,1074.80125637508,1.35053619854369e-195,1.90560657614515e-193,ENSG00000129559
MT-ND5,0.917841781827513,12.231465927715,1072.74276606125,2.76086741878909e-195,3.84071654864505e-193,ENSG00000198786
POLR2I,1.2667285140403,8.71936688618258,1058.28441048178,4.23998247690733e-193,5.81643151727968e-191,ENSG00000105258
MRPL51,-1.02495096601638,9.28423874849812,1054.80542618326,1.42821163474951e-192,1.93238990635903e-190,ENSG00000111639
OXA1L,-1.70805572921529,7.46905670740641,1052.89768098297,2.78124060173905e-192,3.71220451667251e-190,ENSG00000155463
SON,1.26981919326826,8.84419052623457,1040.22662456937,2.34827481145481e-190,3.09252137503188e-188,ENSG00000159140
SEC61B,1.00947425160035,9.29099859875161,1038.42876349063,4.41231620339725e-190,5.73426936065193e-188,ENSG00000106803
EEF2,-0.945594357601665,9.31658519215941,1033.96070209101,2.11848679297348e-189,2.71744078625962e-187,ENSG00000167658
TCOF1,-1.65371088779929,7.55274808669782,1027.84808048695,1.81802527350869e-188,2.30213277262119e-186,ENSG00000070814
YWHAZ,-1.11057018110914,8.6568850893476,1019.61197766625,3.31213609959668e-187,4.1410086399641e-185,ENSG00000164924
PREP,-1.15428520409057,8.39684932661579,1005.57446827521,4.73658177822215e-185,5.84790227793752e-183,ENSG00000085377
