gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
HSPA1A,4.41994555768778,10.4063947611559,1961.99276947398,0,0,ENSG00000204389
MGST1,-3.60717507890337,8.10578773834505,7018.04449546657,0,0,ENSG00000008394
SPINT2,3.16269810162211,8.97891458976943,3518.75849628238,0,0,ENSG00000167642
COX6C,-2.96645102355245,9.40045391638009,9839.04657251268,0,0,ENSG00000164919
COPS9,-2.60840557788847,8.10932725475769,3553.87378827752,0,0,ENSG00000172428
SLIRP,-2.26530333536863,8.38040489951768,3273.19181990689,0,0,ENSG00000119705
COX7C,-2.14227083123034,9.06627116935052,4677.33693190213,0,0,ENSG00000127184
NOP10,-2.07352261822844,8.12814974806825,2221.2207454745,0,0,ENSG00000182117
ATP5MD,-1.99200354769141,8.55465563265282,2810.87950377787,0,0,ENSG00000173915
C12orf57,-1.86729372447257,8.34126470540134,1942.98393961475,0,0,ENSG00000111678
UQCRB,-1.86537471014355,10.3517031310373,6624.64093841072,0,0,ENSG00000156467
OST4,-1.85932957263582,8.59605161872254,2576.72856234614,0,0,ENSG00000228474
PABPC1,-1.83009194034017,9.60127936230994,3869.03206519733,0,0,ENSG00000070756
UQCRH,-1.82381259463265,9.88732891063131,5522.72043368211,0,0,ENSG00000173660
COX5B,-1.80339578675948,8.76666071768719,2685.99249073037,0,0,ENSG00000135940
DCAF13,-1.79744287818764,8.48230991689034,2126.7302819278,0,0,ENSG00000164934
UBL5,-1.7909349531575,8.73868952504677,2764.20918700219,0,0,ENSG00000198258
SNRPG,-1.77147932729368,8.96875745186171,3124.11489060517,0,0,ENSG00000143977
PFDN5,-1.72901508037897,9.11799821246927,3309.69224307317,0,0,ENSG00000123349
SNRPD2,-1.68648099784861,8.76196587773194,2471.34016181105,0,0,ENSG00000125743
SNRPF,-1.67668562901287,8.51571339179499,2104.04546690343,0,0,ENSG00000139343
ATP5ME,-1.66703335244164,8.7042814938757,2314.016338687,0,0,ENSG00000169020
SEC61G,-1.66466502471809,8.80567152901185,2359.90608870787,0,0,ENSG00000132432
GAGE1,-1.6389188196268,9.34321328268939,3057.28917688165,0,0,ENSG00000205777
PFDN2,-1.61264968600815,9.7940367875604,3815.07942361382,0,0,ENSG00000143256
TMSB10,-1.59212690695549,10.2083645563574,3123.38161265778,0,0,ENSG00000034510
TOMM7,-1.55801744198877,8.92817959892882,2216.46750313993,0,0,ENSG00000196683
UBA52,-1.46674530574969,8.84131335799008,2187.69193643317,0,0,ENSG00000221983
MT-ND3,-1.43844129411833,12.3537947789668,4011.19512612535,0,0,ENSG00000198840
SNRPE,-1.41890660823816,9.13674876056707,2239.27630469165,0,0,ENSG00000182004
ATP5MC2,-1.37388672807495,9.26709006680453,2358.52247878892,0,0,ENSG00000135390
ATP5F1E,-1.20002718290437,9.54177638035817,1950.32887382072,0,0,ENSG00000124172
ID1,3.86317179961675,10.4006361133967,1907.61064649079,1.48219693752374e-323,4.05627895235663e-321,ENSG00000125968
MRPL52,-2.02046948040569,7.9210350016643,1881.94495581165,3.72624310093468e-320,9.89755779526019e-318,ENSG00000172590
BARX1,3.03943119733221,8.05759074684148,1861.41436192765,2.12553809540252e-317,5.48449558174906e-315,ENSG00000131668
H3F3B,1.64523004278372,10.3281749653731,1819.86473002942,8.73417812092188e-312,2.19106562805682e-309,ENSG00000132475
ATP5PF,-1.20322463594034,9.37029448467134,1807.9316903106,3.65090125083765e-310,8.91115924224726e-308,ENSG00000154723
DDT,-1.78580527339856,8.15342946540968,1742.85569565302,2.98197947358324e-301,7.08690963840271e-299,ENSG00000099977
DPM3,-2.03183593720105,7.88662595579595,1739.03047444561,1.00495935553833e-300,2.32712511278631e-298,ENSG00000179085
ARF5,2.22950055478619,8.36848875138481,1736.6923717591,2.11286088934289e-300,4.7703116729139e-298,ENSG00000004059
UQCRQ,-1.53704722703472,8.53698067475267,1736.47769575161,2.26209084707166e-300,4.9826688877815e-298,ENSG00000164405
YWHAZ,-1.45791418406252,8.78723958518898,1735.40346593564,3.18304778698903e-300,6.84431061054713e-298,ENSG00000164924
