gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
ATP5F1E,0.351680724195279,10.1011238019332,416.789478133521,4.8077025487616e-89,4.48222108621044e-85,ENSG00000124172
TMA7,0.441780620473573,9.25652460742688,384.234220079999,1.74877375026892e-82,8.15190883687855e-79,ENSG00000232112
UQCRB,0.273725173385862,10.5720616368596,361.639436274632,6.61349701802694e-78,2.05525442330217e-74,ENSG00000156467
NDUFC1,0.535788499534686,8.69004569649405,351.344814466973,8.18049678943444e-76,1.90666928919743e-72,ENSG00000109390
TOMM7,0.399717110938419,9.50964224931465,344.014480369649,2.54219042489062e-74,4.74016826625106e-71,ENSG00000196683
SNHG25,0.911781593674189,7.6589035992204,316.296730872582,1.16918182640011e-68,1.81671369458804e-65,ENSG00000266402
COX6C,0.414825346753673,9.12576823769347,306.779515582532,1.04565928310725e-66,1.39266878520127e-63,ENSG00000164919
COX7C,0.375472039773813,9.22699878216784,296.484024477086,1.36349065077799e-64,1.58897791715041e-61,ENSG00000127184
SEM1,0.358814283475638,9.3486677059067,292.933529302908,7.33043985385762e-64,7.5935211952794e-61,ENSG00000127922
OST4,0.430742383527302,8.85702254422438,285.530368730821,2.45431099271452e-62,2.28815413850774e-59,ENSG00000228474
GAGE1,0.334286296115023,9.89691737619571,274.181298968391,5.39355646376006e-60,4.57128426469409e-57,ENSG00000205777
SNRPF,0.417465209640816,8.85197267375136,269.379244121889,5.3018689586889e-59,4.11911035848805e-56,ENSG00000139343
NDUFB3,0.513230503131268,8.36121859819659,261.743553196864,2.01686544766505e-57,1.44640281296779e-54,ENSG00000119013
ATP5MD,0.454275018681843,8.60873466462682,259.862595498089,4.94686359644793e-57,3.29425780783457e-54,ENSG00000173915
MRPL33,0.467647360101917,8.50058734655516,251.379946964309,2.84077498046239e-55,1.76563634285673e-52,ENSG00000243147
SNRPG,0.341933297629775,9.30612153150944,249.470951145431,7.0752580185218e-55,4.12266440666742e-52,ENSG00000143977
MT-ND3,0.329082674857351,12.6064699785489,244.097079115407,9.25107058762585e-54,5.07339594637858e-51,ENSG00000198840
SEC61G,0.362871482509811,9.2314934872314,240.574151258977,4.99773745248696e-53,2.58855034830755e-50,ENSG00000132432
ACTB,-0.336037019850294,10.485533347293,227.74153663661,2.35411995352638e-50,1.15512949088034e-47,ENSG00000075624
UBL5,0.362839428560715,8.9653302286345,226.387842416906,4.51050126425587e-50,2.10257016433287e-47,ENSG00000198258
PABPC1,0.37818766203387,9.00068327596742,221.242970097357,5.34860082723618e-49,2.37452407201538e-46,ENSG00000070756
APOE,-0.723142425713713,8.14443932988098,215.362208510529,9.06378703377334e-48,3.84098575072131e-45,ENSG00000130203
TKTL1,-0.909734048707997,7.65859391147873,210.089479823627,1.14976963094479e-46,4.66056620404275e-44,ENSG00000007350
NDUFA1,0.474650595061997,8.25535805116985,201.946039891179,5.84860904966812e-45,2.27194092375233e-42,ENSG00000125356
TMSB10,0.282465621792494,10.7111085164077,188.68321632823,3.57034162239633e-42,1.33145179782404e-39,ENSG00000034510
UQCRQ,0.368197357410269,8.69602079587431,187.737491267664,5.64487550893428e-42,2.02412209114593e-39,ENSG00000164405
SLIRP,0.463711448744046,8.30744408147921,186.40286073119,1.07765692954874e-41,3.72110946451217e-39,ENSG00000119705
FTL,-0.367148993091838,10.7405690113208,184.872816551436,2.26217697407557e-41,7.53224140332375e-39,ENSG00000087086
ZFAS1,0.433440723205364,8.8351621050984,175.565918239323,2.06928321975244e-39,6.65238877853519e-37,ENSG00000177410
ACTG1,-0.271882724176752,11.7393241448511,174.313962347191,3.80157420636838e-39,1.18140254419908e-36,ENSG00000184009
ATP5MF,0.324373674418119,8.93166470823964,171.814972326641,1.28066422742014e-38,3.8514943845929e-36,ENSG00000241468
DHRS2,0.995706802115125,7.77302597627808,170.234741678289,2.76143539548218e-38,8.04526943502513e-36,ENSG00000100867
PFDN4,0.363532791948525,8.66577384002784,170.140915869953,2.89036030029761e-38,8.16570578171959e-36,ENSG00000101132
HES1,0.821573556413575,8.01454219091183,166.528511041402,1.67592923816308e-37,4.595496555116e-35,ENSG00000114315
CACNA2D1,-0.686153811290049,7.51891851574455,165.702736888855,2.50513290978019e-37,6.67295831939448e-35,ENSG00000153956
NDUFB4,0.379212347815318,8.56642487104377,162.985161756381,9.40981146437948e-37,2.4368797856225e-34,ENSG00000065518
ROMO1,0.377408380679938,8.51784250663019,160.48096449189,3.18802443211693e-36,8.03295994070977e-34,ENSG00000125995
COX7A2,0.238627142663039,9.62429645994123,156.260660489593,2.4964525332914e-35,6.12484920207256e-33,ENSG00000112695
SNHG8,0.393841459263722,8.66347910908586,156.097692477919,2.7030576383493e-35,6.4616939390591e-33,ENSG00000269893
MT-ND5,-0.204151909764608,12.2825983073344,152.559093618686,1.52051182164713e-34,3.48771126276361e-32,ENSG00000198786
MT-CYB,-0.236805398701435,13.5926566412125,152.541274943334,1.53379986885453e-34,3.48771126276361e-32,ENSG00000198727
VCX,-0.456115122536612,8.61093305200177,152.179898567268,1.82983113756625e-34,4.0617894513167e-32,ENSG00000182583
GSTP1,-0.246239477575949,9.85254367677333,150.024666811687,5.24370460509627e-34,1.1369083263561e-31,ENSG00000084207
HES6,-0.606832326216664,7.6086895342687,148.144334314841,1.31442943219885e-33,2.78509672645224e-31,ENSG00000144485
RABGGTB,0.569045386136151,7.7082525623696,147.837695543913,1.52699656749301e-33,3.16359755527496e-31,ENSG00000137955
COX6A1,0.215735768885804,9.87686559769802,147.021786492761,2.27552929571339e-33,4.61190426607304e-31,ENSG00000111775
ATP5MG,0.232906113577223,9.67810266369439,146.443440645566,3.01928969313338e-33,5.98911442746437e-31,ENSG00000167283
HSPA8,-0.299389817340463,9.84504204072041,144.964030308229,6.2253280544947e-33,1.20914028025113e-30,ENSG00000109971
