gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
GAGE2A,0.588956471183119,10.1988812912543,825.581177539062,2.57531300318093e-166,2.32473504797143e-162,ENSG00000189064
UQCRB,0.494499144199558,9.99741690727159,640.473978920329,6.79660911359052e-132,3.06764952341908e-128,ENSG00000156467
FAU,0.497568064987732,9.82468639627981,606.97358809067,1.58558560206269e-125,4.77102707660664e-122,ENSG00000149806
TMSB10,0.519554812522089,9.98744828096069,508.219505185631,1.69924579189172e-106,3.83477294085164e-103,ENSG00000034510
UQCRH,0.49237131994451,9.56951181376291,506.739276055529,3.29986324540489e-106,5.95757310325399e-103,ENSG00000173660
PFDN2,0.491045932856948,9.56561484595932,463.235555165222,1.07218815001904e-97,1.61310707170365e-94,ENSG00000143256
HSPE1,0.58754550097013,9.39765701053563,459.518693372701,5.76973072344916e-97,7.4404798915108e-94,ENSG00000115541
ATP5F1E,0.489559777439928,9.47235910666186,452.81814977376,1.20287290588121e-95,1.35729171517371e-92,ENSG00000124172
SEC61B,0.46638947246055,9.23320576008879,371.980752319141,1.39650276350557e-79,1.40069227179609e-76,ENSG00000106803
GAGE12H,0.57935411989981,8.81981014372529,352.171948741414,1.33386592906134e-75,1.20408077416367e-72,ENSG00000224902
COX6B1,0.525806508793703,8.8411820098888,332.386285104606,1.31227186747171e-71,1.07689801342428e-68,ENSG00000126267
MT-CYB,-0.283737582351567,13.8518079372148,290.834998330589,3.64207456853923e-63,2.73975059418364e-60,ENSG00000198727
ZFAS1,0.654753568036567,8.54887420355845,289.482086585487,6.88022854548877e-63,4.77752485231747e-60,ENSG00000177410
SERF2,0.420490308436868,9.22836557381933,276.151903737657,3.66523767167306e-60,2.36329289015662e-57,ENSG00000140264
NDUFB11,0.374736093721059,9.68368396117665,275.988152763266,3.95956051833164e-60,2.38286351993198e-57,ENSG00000147123
GNG5,0.449256983039729,8.98492720116976,262.54178787709,2.27250135418401e-57,1.28211685776369e-54,ENSG00000174021
PDCD5,0.434708278711825,9.12203174536402,261.667388281434,3.4372149075972e-57,1.82516111593412e-54,ENSG00000105185
COX6A1,0.399066617156517,9.22250604044381,259.620376406101,9.05819945105515e-57,4.54268702470416e-54,ENSG00000111775
ATP5MG,0.419126606616384,9.05928446563269,256.28899257373,4.38887910699855e-56,2.08517956309873e-53,ENSG00000167283
HINT1,0.339109305870234,9.50307464497682,244.00538077539,1.49237520288002e-53,6.73583547819898e-51,ENSG00000169567
MZT2B,0.48697562083655,8.75359476537584,238.82842862646,1.749781218893e-52,7.52155955378433e-50,ENSG00000152082
NDUFA4,0.358861584240912,9.67499748364501,238.47083653211,2.07433668274078e-52,8.51138056140956e-50,ENSG00000189043
ATP5MC1,0.424426836742312,9.03087855791462,235.548651060571,8.3363453548791e-52,3.27183432689103e-49,ENSG00000159199
