gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
KCNMA1,4.55366600258532,8.10294266045141,2966.69282246256,0,0,ENSG00000156113
BARX1,3.72151046988305,7.64692057090526,5802.41240590503,0,0,ENSG00000131668
MGST1,-3.60211711083905,7.65966496461405,8852.78475412198,0,0,ENSG00000008394
GAGE13,3.53857326420519,7.73780755539182,6529.88843602188,0,0,ENSG00000274274
VCX,3.34844535520293,8.11426265169895,4266.37696523234,0,0,ENSG00000182583
TNFRSF19,3.25824931151401,7.17249724422348,2330.85170470878,0,0,ENSG00000127863
SYCP2,2.87613192019616,7.09915117428938,2573.19606016085,0,0,ENSG00000196074
SFRP1,2.73509229855831,7.97800602114051,1966.10410176792,0,0,ENSG00000104332
RGS16,-2.56430357435617,7.37452099100378,1983.74894822998,0,0,ENSG00000143333
CDK14,2.51297561864126,7.29131200052303,1999.10547333644,0,0,ENSG00000058091
RARRES2,2.44126581635836,7.2504876261467,1896.9616276453,0,0,ENSG00000106538
TUBB2B,2.33497979715575,9.21465400597289,3786.49701326886,0,0,ENSG00000137285
ARF5,2.29519568628084,7.4941874894554,2914.5049070919,0,0,ENSG00000004059
DDX25,2.27632718119322,7.20012105022455,2017.65158246357,0,0,ENSG00000109832
PRRX1,-2.27050647040201,8.02265357190032,1961.66874426897,0,0,ENSG00000116132
SNHG25,-2.22284792398049,7.87697076515068,3032.21541491571,0,0,ENSG00000266402
HLA-A,2.19919626012136,7.8231372070064,2115.07609120098,0,0,ENSG00000206503
PABPC1,-2.12274863809476,9.75328371279956,9625.25324971369,0,0,ENSG00000070756
SPINT2,2.11111040747696,8.06275095942702,2931.83518323691,0,0,ENSG00000167642
COX6C,-2.08100390377511,9.89874376736725,12430.3082303248,0,0,ENSG00000164919
SNHG9,-2.06283726871624,7.41902151582332,2438.94502941248,0,0,ENSG00000255198
FOXP1,1.99012755376109,8.18284759789613,2099.24819492308,0,0,ENSG00000114861
RAC3,1.98406964836955,7.55394176948895,2104.01967566385,0,0,ENSG00000169750
AL121899.1,-1.97152927725053,7.06201258710855,1855.9186098045,0,0,ENSG00000226644
MIR4458HG,-1.85954144942053,7.17074824243526,1818.12782930711,0,0,ENSG00000247516
CRABP2,1.8547951644046,8.18927751538165,2002.07949311963,0,0,ENSG00000143320
COPS9,-1.84384158397756,8.45393087244475,4832.53266965142,0,0,ENSG00000172428
DCAF13,-1.83155867592665,8.20825231982577,3902.3236352946,0,0,ENSG00000164934
NOP16,-1.80395779224271,7.54020013100839,2259.21408925258,0,0,ENSG00000048162
VPS28,1.77675511278667,7.54986434944297,1946.32866354585,0,0,ENSG00000160948
SLIRP,-1.76046607989771,8.61044845240271,4355.2960081351,0,0,ENSG00000119705
POLR2K,-1.74432930702015,8.1961675035285,3698.12948817678,0,0,ENSG00000147669
ATP5ME,-1.72308583596259,9.32732877315611,6330.32199750144,0,0,ENSG00000169020
RPF2,-1.67422533830909,7.77161063509584,2419.04675673091,0,0,ENSG00000197498
FIS1,1.66162359883888,8.24882630731589,2958.30347169399,0,0,ENSG00000214253
PCSK1N,1.64081158173266,9.17519641050882,3200.64048780865,0,0,ENSG00000102109
MT-ND4L,-1.62468544995375,9.78715338619685,5475.40862657792,0,0,ENSG00000212907
M6PR,-1.58780162550644,7.4871841631247,1853.56848005097,0,0,ENSG00000003056
PHB2,-1.58638273823074,8.87471030153667,4974.19322115259,0,0,ENSG00000215021
TPT1,-1.57474483284877,10.3265864671764,6817.74255504796,0,0,ENSG00000133112
ARGLU1,1.56659056610662,8.24412052268265,2110.53356932325,0,0,ENSG00000134884
AKAP9,1.56291578468619,8.39630720876636,2200.70965789161,0,0,ENSG00000127914
SNHG8,-1.55308893373065,9.0374588000896,3418.2780755963,0,0,ENSG00000269893
RCN2,1.55154761402237,8.23578433712939,2656.59560847075,0,0,ENSG00000117906
NDUFB1,-1.54164402399789,8.24105212923345,3065.03681636247,0,0,ENSG00000183648
ZNF428,1.53315054573927,7.99246737110858,2153.72601724541,0,0,ENSG00000131116
MT-ATP8,-1.52745511469017,8.04681570761599,2299.32031302768,0,0,ENSG00000228253
TCF4,1.51056472066727,9.56920775367991,2401.81705256321,0,0,ENSG00000196628
MRPL52,-1.49634672543188,8.06915036864931,2686.72215154078,0,0,ENSG00000172590
GTSF1,-1.4867969032021,8.10345866394895,2653.01933303032,0,0,ENSG00000170627
GAGE12H,1.48253021790029,8.60541229421108,2314.45457703714,0,0,ENSG00000224902
GAGE2A,1.47715047655979,9.30594848864765,3269.94352189657,0,0,ENSG00000189064
FKBP4,-1.45850350211437,8.18388268731387,2315.42556917835,0,0,ENSG00000004478
DPM3,-1.45411977767191,7.84438531703857,1942.41792954829,0,0,ENSG00000179085
ATP5MD,-1.42570537917418,8.84636406273356,4010.15289516319,0,0,ENSG00000173915
COX7C,-1.42329671018103,9.52584651948105,6172.56415037054,0,0,ENSG00000127184
UQCRB,-1.41886266815557,11.0176194194172,10297.91836578,0,0,ENSG00000156467
MT-ND3,-1.39648077455719,12.9970547032388,4895.32204047149,0,0,ENSG00000198840
TTC3,1.30825418560201,9.33015945586791,2851.89234645008,0,0,ENSG00000182670
GAPDH,-1.27827060188244,11.7653848721207,3929.32757528655,0,0,ENSG00000111640
ATP5MC2,-1.21314991743583,9.38812434366489,4212.96925209341,0,0,ENSG00000135390
ATP5MC3,-1.2057879276114,8.70863366978507,2002.67262620151,0,0,ENSG00000154518
RACK1,-1.1998358226856,10.8824324774186,4426.16162031438,0,0,ENSG00000204628
METAP2,-1.19449719004484,8.10138225050093,1889.71657844277,0,0,ENSG00000111142
DDT,-1.19078935445603,8.26215849445083,1846.11522529621,0,0,ENSG00000099977
SOD1,1.17199571530482,9.38822342445775,3336.669755674,0,0,ENSG00000142168
PFDN5,-1.17061717783932,9.21954640822438,3732.66037874261,0,0,ENSG00000123349
PA2G4,-1.1515648991715,8.89036008126543,2677.32916082438,0,0,ENSG00000170515
MRPL33,-1.1456108782732,8.35459842822372,2062.61485581891,0,0,ENSG00000243147
EIF4B,-1.13837785918156,8.48830527602715,1949.22985423253,0,0,ENSG00000063046
PSMB5,-1.12668976082805,8.99609091755055,2870.22284395813,0,0,ENSG00000100804
YWHAZ,-1.10352909400523,8.76122377015371,2183.06718945184,0,0,ENSG00000164924
TMEM258,-1.06709350416345,8.46301013553815,1843.32591878734,0,0,ENSG00000134825
NEDD8,-1.04917205291685,9.0696129981079,2625.19878969373,0,0,ENSG00000129559
YBX3,-1.01424974942171,8.9328865898708,1836.65357162797,0,0,ENSG00000060138
UBL5,-1.01274516897967,8.98273934630125,2394.88979851552,0,0,ENSG00000198258
UQCRH,-1.00351600078367,10.2977739486917,4258.94721781436,0,0,ENSG00000173660
SEC61B,0.954529637873639,9.23442221351798,2210.55442380672,0,0,ENSG00000106803
SSR2,-0.933051246319968,9.55073265990785,2506.55526293074,0,0,ENSG00000163479
TOMM7,-0.92913968101025,9.53244432789937,2495.92556303863,0,0,ENSG00000196683
SNRPG,-0.876563911083406,9.40964372308354,2121.82458148934,0,0,ENSG00000143977
SNRPB2,-0.863088339659383,9.29334239346872,2162.34187746322,0,0,ENSG00000125870
GNAS,0.813834347531117,10.8479766634431,2640.62689993476,0,0,ENSG00000087460
PPIA,-0.805937150551704,10.4676388908092,2606.33738666068,0,0,ENSG00000196262
SERBP1,-0.738710986583396,10.2885431352817,2135.883733065,0,0,ENSG00000142864
EEF1A1,-0.733251944779758,12.5536941404447,2354.10998172356,0,0,ENSG00000156508
NACA,-0.691896365342545,10.9287557303583,2369.4519525535,0,0,ENSG00000196531
MID1IP1,-1.98922972946602,6.99885021297802,1802.47256079686,5.92878775009496e-323,7.12442661303078e-321,ENSG00000165175
EEF1D,1.30859952048104,8.12615105975674,1764.0378478539,2.83479353922428e-317,3.36926360184632e-315,ENSG00000104529
H3F3B,1.20036176751678,9.52729358485365,1756.52414981755,3.71459367529108e-316,4.36588576639173e-314,ENSG00000132475
SNHG19,-1.90993857869801,7.41530914926444,1754.20052637303,8.23704466110201e-316,9.57488554120757e-314,ENSG00000260260
MZT2A,1.02168922666368,8.59824605587519,1754.03713434379,8.71158078128132e-316,1.00164240766719e-313,ENSG00000173272
MRPL51,-0.90666124636934,9.23265174154977,1739.43793261011,1.30765298545439e-313,1.48734981506862e-311,ENSG00000111639
RANBP1,-0.993166355429657,8.6364510216162,1735.61034818435,4.87576124783367e-313,5.48678749782816e-311,ENSG00000099901
SLC38A2,-1.84777519077833,7.32450823308654,1724.18526398832,2.49132673276314e-311,2.77402675570195e-309,ENSG00000134294
PPIB,1.15002642698272,8.7423278091429,1708.76108126374,5.1098441327678e-309,5.63040950379352e-307,ENSG00000166794
BRI3,1.13931543428851,8.68063708154507,1705.87186418096,1.38739390816014e-308,1.5129745113936e-306,ENSG00000164713
NPM1,-0.704243568336753,10.7722395925187,1700.90488148493,7.73540122879751e-308,8.34949736716532e-306,ENSG00000181163
EIF3E,-0.964776583683689,8.92611486825859,1679.27299404982,1.40124294877089e-304,1.49720685980792e-302,ENSG00000104408
PET100,-1.365638150327,7.6285363572601,1645.79028017878,1.63998287230896e-299,1.73477388232842e-297,ENSG00000229833
WFDC2,2.27312402406064,7.00522200572427,1645.01037419095,2.1540972582751e-299,2.2560436433697e-297,ENSG00000101443
DDX21,-1.19789873601938,8.21198398014133,1643.66690485368,3.44592764769446e-299,3.57362967228549e-297,ENSG00000165732
FARP1,1.70781187907479,7.53229850967329,1630.35961935076,3.6398603183675e-297,3.73810120851373e-295,ENSG00000152767
SCAND1,1.13479297351664,8.41837890247968,1614.58486077124,9.25854953517254e-295,9.41701317144761e-293,ENSG00000171222
LRIF1,1.68944607679451,7.54693584919933,1612.40122523798,1.99559345234403e-294,2.01041786084716e-292,ENSG00000121931
PSMD2,1.15638633693986,8.29596360413873,1611.77746927765,2.48524615502678e-294,2.48008809696917e-292,ENSG00000175166
PRELID1,-0.93940553632334,8.75757043599814,1609.41684244586,5.70328346003041e-294,5.63825536824315e-292,ENSG00000169230
POLR2I,0.913952050322684,8.94384927331402,1604.49574176097,3.22613725529576e-293,3.15982221171468e-291,ENSG00000105258
PFDN2,-0.725339538579787,9.96726942241289,1603.75638666855,4.18608103331841e-293,4.06241882297635e-291,ENSG00000143256
DRAP1,1.06174645618658,8.31455973597223,1594.56196693906,1.07124722694123e-291,1.0301502878713e-289,ENSG00000175550
P4HB,1.13577039788562,8.39520461221136,1593.67161381797,1.4667981815912e-291,1.39781902386231e-289,ENSG00000185624
HSPA1B,2.53577848881403,7.13927634933854,1589.41149897066,6.60248409434496e-291,6.23581042410544e-289,ENSG00000204388
MRPS21,-0.814632384961931,8.96590747207623,1588.84364385854,8.06925332972632e-291,7.55367802848186e-289,ENSG00000266472
MDK,0.877249852774189,9.99263202051436,1587.60862104173,1.24840215985928e-290,1.15838579359574e-288,ENSG00000110492
UQCRQ,-0.876480084257452,8.78610579963577,1586.63194694389,1.76303665897355e-290,1.62168711118454e-288,ENSG00000164405
N4BP2L2,1.4126073696083,7.81291040354979,1584.31036632918,4.00592575583324e-290,3.65298988320724e-288,ENSG00000244754
NPW,2.04383706657904,7.45822457873379,1579.04926708369,2.57649250262792e-289,2.32941347801693e-287,ENSG00000183971
PTDSS1,-1.20651611912514,7.91704590932717,1549.03687014922,1.08980457731086e-284,9.76945154135105e-283,ENSG00000156471
GTF2I,1.09922527314972,8.41429686602541,1541.25244516675,1.74392782069359e-283,1.55019062918461e-281,ENSG00000263001
DEK,0.838058208980099,10.5933738380477,1539.29306967636,3.50672928054347e-283,3.09118186079907e-281,ENSG00000124795
PSMD8,0.805357964155024,9.0598316709487,1530.88257978035,7.05307121108279e-282,6.16589977444907e-280,ENSG00000099341
AMD1,-1.50350054993002,7.49538403615235,1529.23518029917,1.27038800425954e-281,1.10148887779159e-279,ENSG00000123505
OST4,-0.8487347757331,8.81406699337167,1527.33112787075,2.5084585650469e-281,2.15727436594034e-279,ENSG00000228474
SKA2,1.56469660571246,7.85012512944998,1518.3941880469,6.13268617715902e-280,5.23157696628936e-278,ENSG00000182628
BAD,1.6621420338305,7.4039170662329,1506.61902868184,4.17194860295027e-278,3.53046978576063e-276,ENSG00000002330
C12orf57,-1.06661927186738,8.52253300241515,1494.69927943447,3.01767882394738e-276,2.53341322219963e-274,ENSG00000111678
NUDT3,1.39004492531419,7.89176003296029,1477.19200058741,1.65267478966688e-273,1.37653495473199e-271,ENSG00000272325
TNIK,2.68373195338216,6.96182467336419,1474.91592473445,3.7573443002475e-273,3.10509281312641e-271,ENSG00000154310
DDAH2,1.5990018998101,7.7326115773105,1469.78877618756,2.39299594207487e-272,1.96225667250139e-270,ENSG00000213722
ATP5MC1,0.866215873667568,9.16296556543403,1464.54622622852,1.59187560092208e-271,1.29529693127337e-269,ENSG00000159199
HOXA10,2.40081882684064,7.5546051091336,1458.38598271985,1.4790443201318e-270,1.19430006246979e-268,ENSG00000253293
LAPTM4B,-1.11904223035721,8.17527025571073,1448.26172370301,5.80036667188768e-269,4.64820292842635e-267,ENSG00000104341
TPI1,-0.838930613357491,9.76942084984325,1447.40507429662,7.91454271298044e-269,6.29473930961708e-267,ENSG00000111669
SNRPF,-0.813758630556404,8.85388237738646,1440.29607728992,1.0455433202899e-267,8.25355018061687e-266,ENSG00000139343
ATP5MPL,-0.82480099256178,8.92053975068564,1436.96458298608,3.50881651765176e-267,2.74935267583114e-265,ENSG00000156411
PFN1,-0.741980640855827,9.48652245127088,1426.31199936573,1.69329156527544e-265,1.31703221893262e-263,ENSG00000108518
TCAF1,1.81198697490661,7.37530606179409,1423.71588469457,4.36063985450015e-265,3.36692323948194e-263,ENSG00000198420
HLA-C,1.6750339085393,7.86565403947858,1402.56940379135,9.85059772026082e-262,7.55069729600862e-260,ENSG00000204525
PAK1IP1,-1.10176127352785,8.16728734508711,1402.38906378793,1.05226161474125e-261,8.00778659045539e-260,ENSG00000111845
PRDX2,1.07638946906505,8.29294100288665,1398.34691925503,4.62163681313332e-261,3.49197672923745e-259,ENSG00000167815
APOE,2.30472906254053,7.64764541681531,1395.45791425959,1.33178151063e-260,9.99119490740717e-259,ENSG00000130203
ATP5F1B,-0.755250855737716,9.18784033992618,1391.46601543146,5.75386395732622e-260,4.2862234465209e-258,ENSG00000110955
TMA7,-0.747077168603219,9.10997816830808,1390.7871668916,7.38046329578229e-260,5.45947837362133e-258,ENSG00000232112
BEX3,-0.942647931144492,8.55827190836467,1381.63473882541,2.12433673565293e-258,1.56050236039838e-256,ENSG00000166681
TCOF1,-1.36200256332147,7.54892475435946,1379.25602116663,5.0918505529251e-258,3.71459276888563e-256,ENSG00000070814
KMT2E,1.35201248391941,7.76480058467667,1372.50547789582,6.09870009762944e-257,4.41863353648796e-255,ENSG00000005483
EMG1_ENSG00000126749,-1.28609875510902,7.72824517362508,1369.53797066754,1.81854907740195e-256,1.30861307079985e-254,ENSG00000126749
HIGD2A,-0.99147032716201,8.20259099409345,1367.18609686845,4.32483760674027e-256,3.09109001379044e-254,ENSG00000146066
ID3,2.06945951536105,8.54623649526137,1362.46192193993,2.46742861148784e-255,1.75170871492069e-253,ENSG00000117318
ID1,1.77941715321388,9.41251964311705,1339.42776051968,1.2292153524052e-251,8.6684266651615e-250,ENSG00000125968
PPDPF,1.21992626400675,7.89051901009505,1339.25383368223,1.31101964699981e-251,9.184083328453e-250,ENSG00000125534
TCHH,2.62177048013716,6.98561748074484,1333.39511098965,1.15003089791462e-250,8.00330713035586e-249,ENSG00000159450
ATP6V1F,0.93626932258759,8.43100009171279,1324.57965076403,3.0324634952272e-249,2.09656201650414e-247,ENSG00000128524
OSR2,-2.00437669712605,6.96350342295352,1322.07821058269,7.68214180610903e-249,5.27673350811827e-247,ENSG00000164920
SNRNP200,1.14300377058999,8.25486109806783,1311.34464275411,4.16795909874398e-247,2.8444304094525e-245,ENSG00000144028
BEX1,-1.31941888080963,7.79788118077458,1307.60543168281,1.67879985587165e-246,1.13835544073143e-244,ENSG00000133169
PTMA,-0.591586248013943,11.6777805968635,1301.71412018991,1.51085911883345e-245,1.01795336044715e-243,ENSG00000187514
RIDA,-1.49327061201288,7.24312508407205,1283.00980078513,1.64477784866873e-242,1.10116835969733e-240,ENSG00000132541
RNF212,1.41772505528581,7.64073317740005,1282.82174589169,1.76480619964126e-242,1.17409559621417e-240,ENSG00000178222
SAP18,0.765482186842719,8.93573214665179,1278.78937677893,7.9963328400337e-242,5.28657554886728e-240,ENSG00000150459
TUBA1A,1.49932962731185,8.50446906724571,1261.88623340085,4.56293843846463e-239,2.99793557776887e-237,ENSG00000167552
RARS,-1.18189907194417,7.62741546006871,1254.66935440986,6.90059943962319e-238,4.50583585631692e-236,ENSG00000113643
FAU,0.570604117960774,10.2434158282012,1250.86957272166,2.88842221690769e-237,1.8744619761012e-235,ENSG00000149806
LDHB,-0.585837680251648,10.5338410261472,1244.86275314315,2.78314374651508e-236,1.79512771650223e-234,ENSG00000111716
MAN1A2,1.1201740736732,7.92131420547046,1244.06431285949,3.76186083512616e-236,2.41169478266451e-234,ENSG00000198162
COX17,-1.33317284941002,7.52300107054943,1237.27486096337,4.88713668651716e-235,3.11422481144449e-233,ENSG00000138495
