gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
VCX,4.25804571079908,7.41381261762858,3193.89389264501,0,0,ENSG00000182583
BARX1,3.89912001350494,6.77381676087761,2572.57641167643,0,0,ENSG00000131668
GAGE13,3.85395265714205,6.88889898149964,3146.28992029736,0,0,ENSG00000274274
COX6C,-2.28979402060414,10.5404252078498,3091.10061897963,0,0,ENSG00000164919
PABPC1,-2.2896963875525,10.3974395903948,2398.84911655892,0,0,ENSG00000070756
MT-ND3,-1.53941699771072,13.5135872089554,2050.85728705556,5.39045991010106e-299,8.94367140084268e-296,ENSG00000198840
UQCRB,-1.11112933953958,11.5595383462744,1887.68266667593,4.041422682562e-282,5.74748040070067e-279,ENSG00000156467
COX7C,-1.4270557442749,9.99764565855532,1628.26904696722,1.10278610600103e-253,1.37227946065503e-250,ENSG00000127184
HLA-A,2.77970754581759,7.24112446556557,1478.32785154525,3.03122291220794e-236,3.35286934344779e-233,ENSG00000206503
HSPA1B,3.51619171643121,6.72278460288435,1477.79231846388,3.51018358782773e-236,3.4943877616825e-233,ENSG00000204388
GAGE2A,1.52743199088454,8.67306049062112,1424.58974698868,8.46289014870034e-230,7.65891558457381e-227,ENSG00000189064
ATP5ME,-1.75204034273384,9.86424717162848,1419.28113901875,3.71653450984149e-229,3.08317508712267e-226,ENSG00000169020
COPS9,-2.17981319718148,8.92769437461366,1393.07418650639,5.73115350543886e-226,4.3887410112803e-223,ENSG00000172428
SNRPG,-1.50185343737425,9.66712427177961,1361.91752493447,3.8272541797777e-222,2.7214510971205e-219,ENSG00000143977
HSPA1A,3.06882580674807,7.7527839860534,1336.59272691646,5.24396910706795e-219,3.48024749739077e-216,ENSG00000204389
GAPDH,-1.05996941749701,12.268481798418,1334.70072738673,9.01628707801658e-219,5.60982111635344e-216,ENSG00000111640
ATP5F1E,-1.10605185636936,10.2690190135372,1297.39364360195,4.22176848760167e-214,2.47221795847498e-211,ENSG00000124172
RACK1,-1.1531303127357,11.332614676109,1233.49520956891,5.72697453077988e-206,3.16733508077298e-203,ENSG00000204628
ATP5MD,-1.66875675329685,9.26333840722734,1145.3975669966,1.80871166937262e-194,9.47669719400235e-192,ENSG00000173915
SNRPB2,-1.25288513159165,9.55615082549557,1025.92747625699,2.61491642461916e-178,1.30157465035419e-175,ENSG00000125870
RARRES2,2.84326958252788,6.71850210290621,1012.4618829598,1.91356151536998e-176,9.07119280262295e-174,ENSG00000106538
PTMA,-0.906611864356645,11.8792822381405,1011.58116919108,2.53568318516485e-176,1.1473966412871e-173,ENSG00000187514
PHB2,-1.30591457998337,9.36121721681114,995.498762456651,4.39858486170213e-174,1.90382227383673e-171,ENSG00000215021
SLIRP,-1.7492737549133,9.09815749905704,977.073322526267,1.67787954691286e-171,6.95970453729895e-169,ENSG00000119705
MT-CYB,0.881434494243399,13.0987053216296,974.622303579721,3.71068004678092e-171,1.47759279462816e-168,ENSG00000198727
MT-ND4L,-1.3966274529392,10.3378185808825,969.57396338192,1.90713362532293e-170,7.30212124618839e-168,ENSG00000212907
PPIA,-0.917152946289458,10.7635790107115,916.930906207161,5.92296860262311e-163,2.18382046070789e-160,ENSG00000196262
EEF1A1,-0.799610434539225,12.8425353184495,906.441597385306,1.91796081387431e-161,6.81903567932813e-159,ENSG00000156508
POLR2K,-1.93672511541896,8.62016057312652,905.041633491952,3.05393027881557e-161,1.04834054915893e-158,ENSG00000147669
MRPL33,-1.81116237790318,8.63352385831397,898.599757597999,2.60496971652638e-160,8.64415784267336e-158,ENSG00000243147
HLA-C,2.19867960615713,7.38499714068698,893.25208828113,1.54995923528008e-159,4.9773690926494e-157,ENSG00000204525
UQCRH,-0.799054424867205,10.6888336947398,887.975426658718,9.03803620293604e-159,2.81167657500713e-156,ENSG00000173660
OST4,-1.46321719505358,9.03615553072691,879.654243027412,1.46803032729925e-157,4.4285581540194e-155,ENSG00000228474
KCNMA1,3.02765774477523,6.58595265203958,863.301755958143,3.60545696654314e-155,1.05565659123344e-152,ENSG00000156113
GAGE12H,1.54632668439801,8.01155059997777,856.124347973109,4.08083413744304e-154,1.16070582394987e-151,ENSG00000224902
UBL5,-1.20999924367423,9.29078992779503,845.041548177395,1.75218229478927e-152,4.84527076239643e-150,ENSG00000198258
H3F3B,1.21677091115364,8.9925218896741,828.191971877306,5.48644285756446e-150,1.47614969316363e-147,ENSG00000132475
TOMM7,-1.01285896311907,9.84787861508545,823.617692227152,2.62787453291183e-149,6.88433973029928e-147,ENSG00000196683
FN1,2.88848872125479,6.49176976904249,795.238724395996,4.64736631366275e-145,1.18627004237212e-142,ENSG00000115414
GAL,2.47727179543733,6.88848942650695,794.064476958748,6.98182958425628e-145,1.73760283778178e-142,ENSG00000069482
ARF5,2.26121912816049,6.84633732540686,790.201607052986,2.66702098185933e-144,6.47565704253894e-142,ENSG00000004059
DCAF13,-1.76461963709527,8.66192932753399,766.705213863339,9.67016413301184e-141,2.29205914152697e-138,ENSG00000164934
NEDD8,-1.16728805476964,9.40087579481769,765.08726305163,1.7050665638636e-140,3.94742735889817e-138,ENSG00000129559
S100A11,2.41955394575577,6.95655854804382,756.536956683237,3.43557251715074e-139,7.77298282005354e-137,ENSG00000163191
HLA-B,1.78604574525841,7.61746247917442,733.225869472948,1.3011863923534e-135,2.87851345241736e-133,ENSG00000234745
TUBB2B,1.85930850706413,8.09175644004821,715.118037594618,8.25980880335397e-133,1.78753036168236e-130,ENSG00000137285
TMSB4X,1.42663605678659,9.95692026756889,709.868657448394,5.4106472219661e-132,1.14602112967388e-129,ENSG00000205542
ATP5MC2,-0.825231110624101,9.82453546089802,697.668933135592,4.33495902473492e-130,8.99052439400754e-128,ENSG00000135390
CBX3,-1.07179287911428,9.51692870890001,694.717183691862,1.25605481928787e-129,2.55184198490016e-127,ENSG00000122565
NEAT1,2.84825128204882,6.54644973435238,694.288138026614,1.46626024911594e-129,2.91932415598984e-127,ENSG00000245532
