gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
TPT1,-1.17836169826491,9.78316452176978,925.83173403418,9.39881151899235e-176,9.49655915878987e-172,ENSG00000133112
PFDN5,-1.04553957375619,8.92115055149667,673.32791597235,4.1531066974334e-133,2.09814950354335e-129,ENSG00000123349
TMSB4X,-1.15075846267631,10.1217002494071,483.272087561004,6.99581414297881e-99,2.35619020335526e-95,ENSG00000205542
RGS16,-2.13191520728661,7.12402288183197,463.749614068594,2.98019747008337e-95,7.52797880943058e-92,ENSG00000143333
MIF,-1.34930979221944,7.73529803616022,427.831797387306,1.62201460578366e-88,3.27776711536761e-85,ENSG00000240972
COX4I1,-0.703322988040515,9.55720410268752,399.516847466528,3.75328991936036e-83,6.32054022420284e-80,ENSG00000131143
PCP4,-2.25795071347689,7.04583541653781,371.796988619636,7.47245638390303e-78,1.07859570432795e-74,ENSG00000183036
S100A11,-1.68011739174491,7.44303596481458,361.03489140517,8.78313867371143e-76,1.10931041448975e-72,ENSG00000163191
TMSB10,0.787147083344078,10.9779299952531,357.792461669305,3.70497003968422e-75,4.15944636455215e-72,ENSG00000034510
CHCHD10,-1.71212655301042,7.09361071250254,344.764252422191,1.22263521143675e-72,1.2353506176357e-69,ENSG00000250479
RANBP1,-0.906730289644574,8.44177026819466,317.260000181029,2.75311687426736e-67,2.52886299069067e-64,ENSG00000099901
TCF4,1.10816775917331,9.90308812614501,307.688793283987,2.06035863965379e-65,1.73482197458849e-62,ENSG00000196628
HLA-DPB1,-1.83331607857155,6.91767828125629,415.325457583635,3.31619674450869e-64,2.57745014665506e-61,ENSG00000223865
GNAS,0.520661165208824,11.05926879816,277.091507881706,2.21665765986162e-59,1.59979349966013e-56,ENSG00000087460
COL2A1,-1.65738030165014,6.95893857082785,312.603532300309,1.91083856357324e-57,1.28714085642294e-54,ENSG00000139219
ATP5F1E,0.583448636121939,9.90535495034032,255.206001999098,4.99673731823232e-55,3.15543961646371e-52,ENSG00000124172
HMGB1,0.794353022376959,10.9974689213028,254.607185008156,6.58037073807105e-55,3.91106270220411e-52,ENSG00000189403
HSPA1A,-1.26955706861877,8.63571000373786,249.9531091941,5.60218787917066e-54,3.14469479617447e-51,ENSG00000204389
SNRPD3,-0.842235171344781,8.12171944081185,244.017184776599,8.64601234765896e-53,4.59785835582874e-50,ENSG00000100028
MGST1,-1.52431408870196,7.00139820979,251.656074666068,1.46797119328571e-52,7.41619046847942e-50,ENSG00000008394
TIMP1,-1.47180929141336,7.31793143809773,240.877290992029,3.68518513398911e-52,1.7731005044679e-49,ENSG00000102265
GAL,-1.27581435912529,7.50673368463224,233.746468258587,9.97622851048196e-51,4.58180967590499e-48,ENSG00000069482
SAP25,2.17237585766561,7.40940610961808,229.831495228096,6.12299110097362e-50,2.68985661235815e-47,ENSG00000205307
VCX,-0.933084591874165,8.781040353831,220.291050379537,5.14981559571679e-48,2.16807236579677e-45,ENSG00000182583
NEAT1,-1.61948832782275,7.12201069628789,219.045782643136,9.19408743182588e-48,3.71588237644675e-45,ENSG00000245532
HORMAD1,-1.39793414499648,7.0376096510104,212.940044820122,1.58243197561282e-46,6.14957410830459e-44,ENSG00000143452
PRAME,-1.01819924017708,7.74288437654944,211.241168131966,3.49670647192441e-46,1.30854526638238e-43,ENSG00000185686
VCX3B,-1.32681246886625,7.17258565546251,204.712544633394,7.39346331909672e-45,2.63464780716393e-42,ENSG00000205642
SNHG19,-1.39506432470818,7.23517424289526,204.664422941428,7.56183555104453e-45,2.63464780716393e-42,ENSG00000260260
PLA2G16,-1.58012529729908,6.89164613211921,295.181320973899,1.64976524593626e-43,5.55640934831333e-41,ENSG00000176485
TMEM176B,-1.400505477522,7.01584332235511,203.164877343583,1.81970652226334e-43,5.93106925837056e-41,ENSG00000106565
MYL9,-1.50668037958775,6.92558824304322,229.157552677787,2.68267335821142e-43,8.47054112855256e-41,ENSG00000101335
ID2,1.33483416974526,9.3801878609169,196.092265231985,4.20113667797582e-43,1.28631166649296e-40,ENSG00000115738
TMBIM6,-0.720275456556141,8.28861118163481,195.08310544808,6.74717527875243e-43,2.00510173577984e-40,ENSG00000139644
POPDC3,-1.12044819298559,7.5068488262326,192.929517171796,1.85551098797863e-42,5.35659514929603e-40,ENSG00000132429
SDF2L1,-1.202644204228,7.3071920216322,191.757733791455,3.21852384655169e-42,9.03332359598841e-40,ENSG00000128228
HES4,-1.42623890065608,7.02401856005139,188.171646529027,1.73903865719434e-41,4.74898556548422e-39,ENSG00000188290
HAPLN2,-1.51010173619254,6.90461983652415,260.465364478874,8.30676782685076e-41,2.20872584532895e-38,ENSG00000132702
SPRR2F,-1.5912129771183,6.94746714415411,180.352304662878,6.93689298852393e-40,1.79718889118066e-37,ENSG00000244094
NDUFB3,1.04048984551904,8.00902024776735,179.702698590147,9.42683230380169e-40,2.38121783994031e-37,ENSG00000119013
TAGLN2,-0.947372196818473,7.82915425869783,179.218011888672,1.18514325305557e-39,2.92065547045694e-37,ENSG00000158710
HSBP1,-0.569321617029702,8.78511281424773,175.89930500361,5.68704654897881e-39,1.36814091264005e-36,ENSG00000230989
SAP18,0.591076962613762,9.16433603665131,172.765554167636,2.50502110208988e-38,5.88621702686423e-36,ENSG00000150459
DNAJC21,-0.777910771175622,8.25443911164877,171.914907412707,3.74741651623379e-38,8.60543101818778e-36,ENSG00000168724
VCX3A,-0.78827845139694,9.34602798257757,171.777157360922,4.00002819634251e-38,8.98139664352106e-36,ENSG00000169059
GAGE1,0.517273063149588,10.2666312959735,171.552715654719,4.44863876730631e-38,9.77153176192674e-36,ENSG00000205777
PLBD1,-1.31009809091672,7.0131115835119,181.390313044946,4.94067283850061e-38,1.06213953957894e-35,ENSG00000121316
HSP90AA1,-0.552421777552006,10.3056003942928,170.57149839677,7.08097759921979e-38,1.49054578463577e-35,ENSG00000080824
CEBPD,-1.35996688545398,6.96806884583355,175.462695058933,2.37438095517513e-37,4.8960704430795e-35,ENSG00000221869
CD63,-0.757320130166256,8.30685496100092,167.71109300968,2.74781097596981e-37,5.55277642023979e-35,ENSG00000135404
SQLE,-0.799301661189757,8.52904345439331,166.754479579741,4.32586267017014e-37,8.57029733713707e-35,ENSG00000104549
ATF3,-1.46332524621641,6.9722452962994,164.057817374672,1.55608026827363e-36,3.02358365973783e-34,ENSG00000162772
SERPINB1,-1.48455244008043,6.86869771745496,288.203257891488,3.62428737028105e-36,6.90939614892824e-34,ENSG00000021355
UBE2L3,-0.862989962575486,7.68877171374392,159.350413918937,1.45844649309675e-35,2.72891543819436e-33,ENSG00000185651
DGUOK,0.823979577650637,8.39114956774012,158.371109839977,2.32427941545886e-35,4.26991258432661e-33,ENSG00000114956
KRT18,-0.958045250319193,7.59760005868667,156.440023467538,5.82929973282919e-35,1.05177222322332e-32,ENSG00000111057
ITM2B,-1.01805196180281,7.42060922153111,154.961214105414,1.17927948632408e-34,2.0904280578629e-32,ENSG00000136156
SMIM10,-1.37295097917514,6.92674533937222,202.841999650104,2.53386445683497e-34,4.4141666330794e-32,ENSG00000184785
MAP1B,-1.07699251925889,7.75226117609683,153.285837953405,2.62119887225382e-34,4.4889141364835e-32,ENSG00000131711
CYBA,-1.09297398515857,7.35291533901161,153.124000390284,2.83152156726106e-34,4.76828231926763e-32,ENSG00000051523
NCAM1,-1.16192725152857,7.4746371944116,151.084933809873,7.4908429733186e-34,1.24077831807231e-31,ENSG00000149294
SNRPG,0.606495526150285,9.0711025486729,150.296097045244,1.09162286140952e-33,1.77899312769062e-31,ENSG00000143977
SOD1,0.47966941875823,9.69899178046884,149.299970241771,1.75655143179764e-33,2.81717391537831e-31,ENSG00000142168
RRAGD,-1.16392661331068,7.11221752219422,147.334962139157,4.4917899288133e-33,7.09141335011399e-31,ENSG00000025039
POMP,0.593239498582933,9.09119915871555,146.616827845592,6.33164573051783e-33,9.84229976325418e-31,ENSG00000132963
