gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MGST1,-4.24458289274137,7.99870301335713,12981.0084254824,0,0,ENSG00000008394
PRRX1,-2.4065968490501,7.83506019261739,1833.48892326628,0,0,ENSG00000116132
DCAF13,-2.33147942906656,8.33914950163317,4125.98119290011,0,0,ENSG00000164934
PABPC1,-2.12441629453372,9.59947597732832,6447.32687875414,0,0,ENSG00000070756
GTSF1,-2.03689658450143,8.37843549744633,3190.64248714375,0,0,ENSG00000170627
M6PR,-1.98509212740135,7.77533537626265,1972.49048592986,0,0,ENSG00000003056
ATP5MC3,-1.94486759509997,8.72876194807296,2181.51000571652,0,0,ENSG00000154518
FKBP4,-1.86901006960405,8.36435867765613,2467.66154671995,0,0,ENSG00000004478
POLR2K,-1.7718699184377,8.30686434232036,2365.7888514918,0,0,ENSG00000147669
PHB2,-1.69129264313231,8.88195681547656,2947.91629842456,0,0,ENSG00000215021
PRELID1,-1.65044595057767,8.80899658666715,2759.25204260616,0,0,ENSG00000169230
LAPTM4B,-1.55808414760658,8.51499572926791,1926.33470260177,0,0,ENSG00000104341
STRAP,-1.52809678166187,9.04900088282922,2511.73348213917,0,0,ENSG00000023734
FAU,1.50890260273482,10.3910206790397,3223.53849982403,0,0,ENSG00000149806
PSMB5,-1.46213723257742,9.102958941796,2743.27167666577,0,0,ENSG00000100804
ACTB,-1.44561322075031,10.6692370214132,2518.45321538902,0,0,ENSG00000075624
RANBP1,-1.4258475099969,8.74473603988426,1973.35066216213,0,0,ENSG00000099901
ATP5F1E,1.39463073976283,10.042743952882,2372.60411644619,0,0,ENSG00000124172
RACK1,-1.38797440983371,10.8623393639314,3285.21810874674,0,0,ENSG00000204628
TPT1,-1.38435785008569,10.4424776695527,3024.02006696748,0,0,ENSG00000133112
YBX3,-1.38290373010142,8.97617865040611,1943.18308374536,0,0,ENSG00000060138
SERF2,1.36345318547852,9.73479059713436,1872.50341077584,0,0,ENSG00000140264
GAPDH,-1.34683133521422,11.6340834544629,2107.15659992136,0,0,ENSG00000111640
