gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
ID1,4.0219629738762,10.4731007821382,2106.89897627279,0,0,ENSG00000125968
MGST1,-3.55053084096252,8.12472280757271,5876.26530309783,0,0,ENSG00000008394
SPINT2,2.92095447318062,8.73282932262601,2681.17980032763,0,0,ENSG00000167642
COX6C,-2.58570118291335,9.54854827992014,6849.91435918431,0,0,ENSG00000164919
COPS9,-2.14593862190487,8.18023466757594,2232.54025324464,0,0,ENSG00000172428
SLIRP,-1.94563938283004,8.45573737857011,2246.70344859567,0,0,ENSG00000119705
GAGE2A,1.91188329727515,10.1235451718041,3096.26240688785,0,0,ENSG00000189064
DCAF13,-1.87422148654744,8.47000428320953,2076.22152533589,0,0,ENSG00000164934
PABPC1,-1.7535943045344,9.66936177450474,3336.96000067851,0,0,ENSG00000070756
COX7C,-1.67480093676403,9.23697180020659,2807.35287209931,0,0,ENSG00000127184
ATP5MD,-1.67426363173218,8.64864013771284,2057.82734198483,0,0,ENSG00000173915
GAGE1,-1.37293435814074,9.46898775658411,2040.98082906844,0,0,ENSG00000205777
UQCRB,-1.37010836877883,10.6153471082051,3782.58005934958,0,0,ENSG00000156467
PFDN5,-1.33776926802811,9.27961518836602,2041.9857439152,0,0,ENSG00000123349
UQCRH,-1.32983638498716,10.129941619924,3153.34667516336,0,0,ENSG00000173660
MT-ND3,-1.2631998565868,12.5035456219171,2618.01464328202,0,0,ENSG00000198840
SNRPG,-1.36894964535438,9.12444159743253,1897.14248922703,2.85711971178343e-311,1.51393731551442e-308,ENSG00000143977
PFDN2,-1.12078446699805,10.0413983058917,1835.55782791256,1.68092507935594e-303,8.41209617491015e-301,ENSG00000143256
HSPA1A,4.43629019571775,10.3468583601799,1759.09765649432,1.05713143445592e-293,5.01191576925208e-291,ENSG00000204389
ID2,3.1729372292063,9.42849120970045,1747.69876165148,3.16013574944286e-292,1.42332514154906e-289,ENSG00000115738
UBL5,-1.40385228974627,8.87271850250573,1747.08252533407,3.7982864842648e-292,1.62928403096463e-289,ENSG00000198258
BARX1,2.99851340648772,7.94445512656181,1730.80551903398,4.93954789838328e-290,2.02252033948348e-287,ENSG00000131668
ATP5ME,-1.47074308526622,8.77338931842977,1707.37602362711,5.63420783909475e-287,2.20664974845937e-284,ENSG00000169020
H3F3B,1.58964664948919,10.2364503987964,1697.99487422795,9.54112658020042e-286,3.58110284310189e-283,ENSG00000132475
ID3,3.96083918726909,9.50414847037706,1671.52983289242,2.88829999709268e-282,1.04071225495243e-279,ENSG00000117318
ID4,3.020453821,9.14357239048778,1662.03580791378,5.18455632354177e-281,1.79624936009478e-278,ENSG00000172201
COX5B,-1.36356354423619,8.91758639844825,1606.83658782849,1.15368888426854e-273,3.84904795166332e-271,ENSG00000135940
CRABP2,2.57257413544842,8.65487845672315,1597.56011605945,2.02466601853665e-272,6.51363981963504e-270,ENSG00000143320
YWHAZ,-1.45873266863121,8.79661886057209,1591.44656957075,1.34240386603742e-271,4.16978414664314e-269,ENSG00000164924
OST4,-1.42068581885492,8.73160571610092,1557.49290670501,5.1590305364569e-267,1.54908490241346e-264,ENSG00000228474
ATP5MC2,-1.09976902606525,9.39472684216788,1510.27599641465,1.41622019367451e-260,4.11526177568386e-258,ENSG00000135390
ARF5,2.16556924458338,8.26164215977692,1502.68006385787,1.56265354570714e-259,4.39886973116559e-257,ENSG00000004059
SNRPD2,-1.35727084845838,8.87635695387931,1476.18780178591,7.01202438472981e-256,1.91407017144382e-253,ENSG00000125743
PHB2,-1.28507756315595,8.94641973492105,1425.04841413843,9.19312018461613e-249,2.43563607714771e-246,ENSG00000215021
LAPTM4B,-1.47443935278156,8.67480377028942,1350.21861689347,3.49928131495444e-238,9.00615031003132e-236,ENSG00000104341
TOMM7,-1.21639898904546,9.06274113659206,1345.71994669639,1.53629988413034e-237,3.84416371006837e-235,ENSG00000196683
GAPDH,-1.04179100740253,11.7469214306302,1320.48888399008,6.36318962887855e-234,1.54917870748481e-231,ENSG00000111640
NOP10,-1.61339153768504,8.21304883383999,1315.34986822477,3.49373435801195e-233,8.28198923604517e-231,ENSG00000182117
POLR2K,-1.48253396098092,8.42416231801954,1298.94660455974,8.14000537488793e-231,1.88013252351258e-228,ENSG00000147669
MRPL52,-1.75129853294777,7.94375643550042,1279.49970058645,5.37327815247725e-228,1.21006223993788e-225,ENSG00000172590
HSPA1B,3.60791192874122,8.05681483017579,1244.15351902137,7.79313574513445e-223,1.71220894615052e-220,ENSG00000204388
TMSB10,-1.07303111011492,10.4928252480646,1235.43580474238,1.48617964761588e-221,3.18750149183902e-219,ENSG00000034510
SEC61G,-1.21063965326937,8.96952466410296,1221.56117223153,1.64389269511723e-219,3.44376404595721e-217,ENSG00000132432
GTSF1,-1.40975968906355,8.4487401472511,1203.09094252206,8.87668372929969e-217,1.81729925076208e-214,ENSG00000170627
DPM3,-1.78176961983161,7.90503555928373,1183.2969080372,7.78634303264854e-214,1.55865284529107e-211,ENSG00000179085
SNRPE,-1.01288576640711,9.31299250795733,1172.12945045331,3.61925180539073e-212,7.08743918759994e-210,ENSG00000182004
RCN2,1.46009256182157,8.73564142431243,1169.91622560556,7.75604075588338e-212,1.48651947082973e-209,ENSG00000117906
C12orf57,-1.50174865022381,8.42969567135225,1155.97148065838,9.54550464024804e-210,1.79137303748655e-207,ENSG00000111678
SNRPF,-1.23560781435577,8.64945125021005,1147.7442836355,1.64676013061778e-208,3.02735005236837e-206,ENSG00000139343
UQCRQ,-1.26802621498342,8.61691185617492,1147.0441026998,2.09902639452908e-208,3.78160595238359e-206,ENSG00000164405
SOD1,1.06232997303965,9.82271312939998,1142.18169974264,1.13351883229174e-207,2.0021054198596e-205,ENSG00000142168
TCF4,1.88702545373018,9.35057197002884,1137.33386093082,6.10380251406937e-207,1.05736640474494e-204,ENSG00000196628
MTDH,-1.27535570788493,8.74457383648865,1082.18480606385,1.48358910137882e-198,2.52154162740008e-196,ENSG00000147649
DDT,-1.46680254085393,8.21325560613274,1069.69659484128,1.22398924502937e-196,2.041795392449e-194,ENSG00000099977
M6PR,-1.71394280810013,7.844451991939,1062.61211292199,1.50625420115493e-195,2.46697051709156e-193,ENSG00000003056
KCNMA1,3.68797634626512,8.50097447856605,1059.60586675559,4.37647889878486e-195,7.03987891433107e-193,ENSG00000156113
SSR2,-0.886879637478298,9.81814401198081,1053.32168050193,4.08020834641308e-194,6.44816083938405e-192,ENSG00000163479
NEDD8,-1.07378567751009,8.89948065518366,1039.70930121744,5.20771442111309e-192,8.08811922506667e-190,ENSG00000129559
PA2G4,-1.11258896846661,8.89461793825373,1028.59284237339,2.76926564387034e-190,4.22805846101425e-188,ENSG00000170515
STAT3,2.369422381167,8.19090236281474,1021.47959827339,3.54340695758439e-189,5.3198349789867e-187,ENSG00000168610
NDUFB4,-1.32228229696199,8.39650389918859,1021.409202868,3.63402438626059e-189,5.36644125761236e-187,ENSG00000065518
UBA52,-1.02818242592731,9.00714839585629,999.544172764346,9.48745810224708e-186,1.37843584814583e-183,ENSG00000221983
ELOB,-1.11996378916199,8.82199329650089,998.068314960535,1.61632769475884e-185,2.31109204355359e-183,ENSG00000103363
BLOC1S1,-1.6526452643333,7.82314122925513,982.069693815516,5.28312998916334e-183,7.4360054597474e-181,ENSG00000135441
HDAC2,-1.13413716619555,8.71796365836654,981.996310321178,5.42563273713984e-183,7.51909226094703e-181,ENSG00000196591
DDX25,2.26371284623936,7.75291942806976,979.878608814724,1.1698381485856e-182,1.59665182461501e-180,ENSG00000109832
SNHG8,-1.27700140818077,8.62978867538958,975.471340979916,5.79688707796828e-182,7.79378489527436e-180,ENSG00000269893
ATP5MC3,-1.45721761474911,8.79740356695762,968.880552029962,6.37147057770989e-181,8.44032455353099e-179,ENSG00000154518
FKBP4,-1.28962145441716,8.53625290227345,962.261673325056,7.10679606213405e-180,9.27797375763819e-178,ENSG00000004478
EPCAM,2.02213133079027,8.14433777558155,943.512558261226,6.75145912815118e-177,8.6881634037694e-175,ENSG00000119888
SYCP2,2.455119678962,7.57344466565725,941.405593852093,1.46223439419211e-176,1.85518414406797e-174,ENSG00000196074
