v1,label,datasetname,sample_id,sample_label,treatment,drug,timepoint,material,initial_counts,qc_mouse,qc_filter,qc_doublets,mean_library_counts,sd_library_counts,median_library_counts
1,p53-/- a,SA906a,SA906_p11a,SA906a-X11,U11,Untreated,X11,cell_line,6764,6764,4014,4005,179.128442083209,116.715105433519,140
2,p53-/- a,SA906a,SA906_p57a,SA906a-X57,U57,Untreated,X57,cell_line,6767,6767,5546,5544,197.879417062387,152.26093292421,148
3,p53-/- b,SA906b,SA906_p15b,SA906b-X15,U15,Untreated,X15,cell_line,2011,2011,1802,1797,231.482503536791,295.647692667735,148
4,p53-/- b,SA906b,SA906_p50b,SA906b-X50,U50,Untreated,X50,cell_line,2811,2811,2391,2391,225.911011771718,294.778314346736,151
5,TNBC-SA609 UnRx Line 1,SA609,SA609X3XB01584,SA609-X3-U,U,Untreated,X3,pdx,4196,4157,281,274,165.84767196781,75.7758919380446,140
6,TNBC-SA609 UnRx Line 2,SA609,SA609X4XB03080,SA609-X4-UU,UU,Untreated,X4,pdx,8963,8963,4871,4869,172.203645751839,89.3153663603492,143
7,TNBC-SA609 UnRx Line 2,SA609,SA609X5XB03223,SA609-X5-UUU,UUU,Untreated,X5,pdx,3856,3838,2783,2773,215.755697291944,159.299714759218,158
8,TNBC-SA609 UnRx Line 2,SA609,SA609X6XB03447,SA609-X6-UUUU,UUUU,Untreated,X6,pdx,3238,3236,2464,2450,235.436208183264,202.188749892522,154
9,TNBC-SA609 UnRx Line 2,SA609,SA609X7XB03554,SA609-X7-UUUUU,UUUUU,Untreated,X7,pdx,2375,2334,1748,1743,215.318239422889,156.561724417006,156
10,TNBC-SA609 Rx Line 1,SA609,SA609X4XB003083,SA609-X4-UT,UT,Cisplatin,X4,pdx,1385,1078,604,600,193.938363924768,117.787692239499,152
11,TNBC-SA609 Rx Line 3,SA609,SA609X4XB03084,SA609-X4-UT,UT,Cisplatin,X4,pdx,5336,5305,2634,2628,164.369416367786,67.9108753354913,142
12,TNBC-SA609 Rx Line 1,SA609,SA609X5XB03230,SA609-X5-UTT,UTT,Cisplatin,X5,pdx,3312,3248,2426,2419,235.231206891071,171.103459833448,174
13,TNBC-SA609 Rx Line 1,SA609,SA609X6XB03404,SA609-X6-UTTT,UTTT,Cisplatin,X6,pdx,3901,3778,3054,3047,188.685504287464,93.1999330508539,159
14,TNBC-SA609 Rx Line 1,SA609,SA609X7XB03505,SA609-X7-UTTTT,UTTTT,Cisplatin,X7,pdx,3683,3554,1939,1934,204.95432166302,121.246445329974,165
15,TNBC-SA609 Rx Line 2,SA609,SA609X7XB03573,SA609-X7-UTTTT,UTTTT,Cisplatin,X7,pdx,2686,2644,1781,1776,213.231797087534,132.766398392121,170
16,TNBC-SA609  Holiday Line 1,SA609,SA609X5XB03231,SA609-X5-UTU,UTU,Cisplatin-holiday,X5,pdx,3549,3362,2703,2612,212.742244089108,136.000778359753,167
17,TNBC-SA609 Holiday Line 3,SA609,SA609X5XB03235,SA609-X5-UTU,UTU,Cisplatin-holiday,X5,pdx,4223,4169,2544,2540,159.352091254753,70.7388948118943,137
18,TNBC-SA609  Holiday Line 1,SA609,SA609X6XB03401,SA609-X6-UTTU,UTTU,Cisplatin-holiday,X6,pdx,2668,2496,1849,1844,217.995703816022,147.116625463642,168
19,TNBC-SA609  Holiday Line 1,SA609,SA609X7XB03510,SA609-X7-UTTTU,UTTTU,Cisplatin-holiday,X7,pdx,3640,3501,2372,2372,214.632788496989,139.164987857107,170
20,TNBC-SA535 UnRx,SA535,SA535X5XB02895,SA535-X5-UU,UU,Untreated,X5,pdx,960,860,616,608,205.084494619862,129.773351937815,161
21,TNBC-SA535 UnRx,SA535,SA535X6XB03099,SA535-X6-UUU,UUU,Untreated,X6,pdx,3237,3167,1326,1319,233.404780564263,191.164371787916,165
22,TNBC-SA535 UnRx,SA535,SA535X7XB03448,SA535-X7-UUUU,UUUU,Untreated,X7,pdx,1474,1444,749,747,249.791559073784,256.500125278572,165
23,TNBC-SA535 UnRx,SA535,SA535X8XB03664,SA535-X8-UUUUU,UUUUU,Untreated,X8,pdx,1892,1829,1115,1108,249.921543350522,241.056779803349,169
24,TNBC-SA535 UnRx,SA535,SA535X9XB03776,SA535-X9-UUUUUU,UUUUUU,Untreated,X9,pdx,1513,1451,592,589,292.004760185155,342.744614054288,180
25,TNBC-SA535 Rx,SA535,SA535X6XB03101,SA535-X6-UUT,UUT,Cisplatin,X6,pdx,2481,2372,1112,1107,260.310717491886,260.903501761125,169
26,TNBC-SA535 Rx,SA535,SA535X7XB03304,SA535-X7-UUTT,UUTT,Cisplatin,X7,pdx,1613,1557,663,655,274.95833988985,311.234973511731,176
27,TNBC-SA535 Rx,SA535,SA535X8XB03431,SA535-X8-UUTTT,UUTTT,Cisplatin,X8,pdx,2181,2028,973,970,233.391875573588,209.95052986019,162
28,TNBC-SA535 Rx,SA535,SA535X9XB03617,SA535-X9-UUTTTT,UUTTTT,Cisplatin,X9,pdx,1930,1150,599,593,278.092471899499,305.530164596393,176
29,TNBC-SA535 Rx,SA535,SA535X10XB03696,SA535-X10-UUTTTTT,UUTTTTT,Cisplatin,X10,pdx,1276,1197,589,586,264.029126610759,282.66962715758,173
30,TNBC-SA535 Holiday,SA535,SA535X7XB03305,SA535-X7-UUTU,UUTU,Cisplatin-holiday,X7,pdx,2635,2506,881,877,295.145778405198,334.745093990944,188
31,TNBC-SA535 Holiday,SA535,SA535X8XB03434,SA535-X8-UUTTU,UUTTU,Cisplatin-holiday,X8,pdx,1351,1303,508,507,329.702458701498,382.356196269898,203
32,TNBC-SA535 Holiday,SA535,SA535X9XB03616,SA535-X9-UUTTTU,UUTTTU,Cisplatin-holiday,X9,pdx,2241,1804,1174,1172,238.545040360521,201.296237624021,168
33,TNBC-SA535 Holiday,SA535,SA535X10XB03693,SA535-X10-UUTTTTU,UUTTTTU,Cisplatin-holiday,X10,pdx,1815,1650,900,899,247.695057665889,239.769099411832,169
34,TNBC-SA1035 UnRx,SA1035,SA1035X4XB02879,SA1035-X4-U,U,Untreated,X4,pdx,965,965,253,253,382.15427769986,676.345510269724,177
35,TNBC-SA1035 UnRx,SA1035,SA1035X5XB03021,SA1035-X5-UU,UU,Untreated,X5,pdx,3311,3311,1080,1078,263.822674813306,226.201067469037,188
36,TNBC-SA1035 UnRx,SA1035,SA1035X6XB03216,SA1035-X6-UUU,UUU,Untreated,X6,pdx,6156,6156,1356,1354,328.745190913485,414.650873090141,176
37,TNBC-SA1035 UnRx,SA1035,SA1035X7XB03502,SA1035-X7-UUUU,UUUU,Untreated,X7,pdx,3580,3580,747,746,328.828808066259,401.934480263176,178
38,TNBC-SA1035 UnRx,SA1035,SA1035X8XB03631,SA1035-X8-UUUUU,UUUUU,Untreated,X8,pdx,2791,2791,679,674,335.120416253717,324.425547098612,205
39,TNBC-SA1035 Rx,SA1035,SA1035X5XB03015,SA1035-X5-UT,UT,Cisplatin,X5,pdx,2689,2689,740,731,243.863942058976,188.602142165385,176
40,TNBC-SA1035 Rx,SA1035,SA1035X6XB03211,SA1035-X6-UTT,UTT,Cisplatin,X6,pdx,3232,3232,810,809,355.683468651331,578.955252262078,175
41,TNBC-SA1035 Rx,SA1035,SA1035X7XB03338,SA1035-X7-UTTT,UTTT,Cisplatin,X7,pdx,3076,3076,844,842,310.360659963908,328.592401621335,183
42,TNBC-SA1035 Rx,SA1035,SA1035X8XB03425,SA1035-X8-UTTTT,UTTTT,Cisplatin,X8,pdx,1973,1973,402,400,339.316537867079,443.234033729111,177
43,TNBC-SA1035 Holiday,SA1035,SA1035X6XB03209,SA1035-X6-UTU,UTU,Cisplatin-holiday,X6,pdx,1594,1594,421,412,362.149535572114,603.154930803277,171
44,TNBC-SA1035 Holiday,SA1035,SA1035X7XB03340,SA1035-X7-UTTU,UTTU,Cisplatin-holiday,X7,pdx,4721,4721,1318,1318,327.679863877822,402.844120617397,176
45,TNBC-SA1035 Holiday,SA1035,SA1035X8XB03420,SA1035-X8-UTTTU,UTTTU,Cisplatin-holiday,X8,pdx,2832,2832,609,603,317.059809949693,324.958227156093,191
