index,Dataset,epsilon,runtime,niter,Delta tau,sigma_p,avg_ESS,min_ESS,rej_rate,Ne,Number_of_SNVs
1,TNBC-SA609 Rx Line 1,0.03,1:6:05:33,100000,0.1,0.05,4362.86,2768.55,0.73,327.98,2568
2,TNBC-SA609 UnRx Line 1,0.02,0:34:23,10000,0.05,0.03,876,602.75,0.72,345.27,33178
3,TNBC-SA609 Mixture a,0.03,0:28:20,10000,0.04,0.06,498.41,406.51,0.76,136.04,
4,TNBC-SA609 UnRx Line 2,0.02,2:39:17,10000,0.02,0.04,663.28,34.17,0.81,937.75,23194
5,TNBC-SA609 Mixture b,0.03,0:31:43,10000,0.02,0.09,826.75,268.84,0.7,1219.88,
6,p53 WT,0.01,0:43:50,10000,0.01,0.1,746.74,120.08,0.71,895.83,
7,HER2+,0.01,2:0:57:27,100000,0.05,0.03,26303.53,25299.69,0.38,1461.7,40309
8,p53-/- a,0.01,1:11:18:46.000,100000,0.05,0.03,3209.54,506.66,0.61,614.93,6645
9,p53-/- b,0.03,1:7:29:55,100000,0.04,0.05,2077.27,906.95,0.89,422.14,7905
10,TNBC-SA1035 UnRx,0.01,3:22:33,10000,0.05,0.03,404.18,168.41,0.71,502.5903,30336
11,TNBC-SA1035 Rx,0.02,0:53:40,10000,0.02,0.03,384.36,37.08,0.79,2177.16,38164
12,TNBC-SA535 Rx,0.02,0:46:30,10000,0.04,0.02,454.65,59.09,0.79,1487.18,41247
13,TNBC-SA535 UnRx,0.02,0:43:32,10000,0.04,0.04,433.95,24.07,0.71,1298.56,31364
14,WGS-bulk-TNBC,0.01,1:11:12:29,100000,0.1,0.03,14560.09,11754.76,0.7,,500
