Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_E2F_TARGETS,-0.689550331349338,-3.8200787270413286,0.0,0.0,200,31,NAA38;JPT1;TUBG1;RANBP1;SLBP;LBR;NUDT21;RAN;RPA3;UBE2T;TRIP13;TCF19;ASF1B;GINS1;DLGAP5;CDKN3;RAD51C;KPNA2;MAD2L1;HMMR;H2AFZ;CDKN2C;HMGB2;STMN1;CDCA3;DEPDC1;CKS2;CDK1;RAD51AP1;MTHFD2;RRM2,TUBG1;RANBP1;SLBP;LBR;NUDT21;RAN;RPA3;UBE2T;TRIP13;TCF19;ASF1B;GINS1;DLGAP5;CDKN3;RAD51C;KPNA2;MAD2L1;HMMR;H2AFZ;CDKN2C;HMGB2;STMN1;CDCA3;DEPDC1;CKS2;CDK1;RAD51AP1;MTHFD2;RRM2
HALLMARK_G2M_CHECKPOINT,-0.428772080514699,-2.3474192690391047,0.0,0.0,200,31,CCND1;BCL3;PURA;SQLE;SLC12A2;TNPO2;PRPF4B;YTHDC1;ATRX;HNRNPU;JPT1;LBR;BUB3;SAP30;H2AFV;CDKN3;PBK;KPNA2;MAD2L1;HMMR;DBF4;NDC80;BUB1;H2AFZ;CDKN2C;STMN1;CENPA;UBE2C;CKS2;CDK1;CCNA2,SAP30;H2AFV;CDKN3;PBK;KPNA2;MAD2L1;HMMR;DBF4;NDC80;BUB1;H2AFZ;CDKN2C;STMN1;CENPA;UBE2C;CKS2;CDK1;CCNA2
HALLMARK_GLYCOLYSIS,-0.5396001851330874,-2.9105559692785654,0.0,0.0,200,28,COG2;B4GALT1;PAM;SOX9;HDLBP;PPIA;TPI1;TXN;MDH1;DLD;LDHA;NSDHL;FAM162A;SAP30;HMMR;SLC16A3;STMN1;CENPA;DEPDC1;CYB5A;CDK1;IRS2;RRAGD;PGK1;TGFBI;MIF;IGFBP3;ERO1A,LDHA;NSDHL;FAM162A;SAP30;HMMR;SLC16A3;STMN1;CENPA;DEPDC1;CYB5A;CDK1;IRS2;RRAGD;PGK1;TGFBI;MIF;IGFBP3;ERO1A
HALLMARK_HYPOXIA,-0.3672527118936302,-2.137631691188547,0.0,0.0,200,35,MT1E;S100A4;BGN;CAVIN1;TNFAIP3;TIPARP;PKP1;PPP1R15A;EFNA1;JUN;PAM;FOS;SELENBP1;PNRC1;HDLBP;TPI1;BNIP3L;LDHA;FAM162A;ZFP36;SAP30;SLC2A1;PLIN2;GAPDH;ADM;IRS2;RRAGD;PGK1;TGFBI;GBE1;MIF;IGFBP3;LALBA;TMEM45A;ERO1A,SLC2A1;PLIN2;GAPDH;ADM;IRS2;RRAGD;PGK1;TGFBI;GBE1;MIF;IGFBP3;LALBA;TMEM45A;ERO1A
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.6477142484547874,2.738036942262427,0.0,0.0,97,22,BST2;MX1;IFI44L;IFI44;PARP14;LGALS3BP;OASL;IRF1;TRIM14;CD74;CMPK2;DDX60;TENT5A;IFI35;PARP9;CNP;PSMB9;ISG15;LY6E;ADAR;HLA-C;PSMB8,BST2;MX1;IFI44L;IFI44;PARP14;LGALS3BP;OASL;IRF1;TRIM14;CD74;CMPK2;DDX60;TENT5A;IFI35
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.5323790662088029,2.765754300317976,0.0,0.0,200,37,BST2;MX1;IFI44L;IFI44;PARP14;TNFAIP2;LGALS3BP;OASL;IRF1;ARID5B;CFB;TNFAIP3;TRIM14;CD74;CMPK2;SSPN;DDX60;HLA-A;C1R;IFI35;ICAM1;SOCS3;ZNFX1;PSMB9;ISG15;HLA-DMA;LY6E;HLA-B;PDE4B;PTPN1;AUTS2;TAPBP;ADAR;PSMB8;BPGM;MTHFD2;UPP1,BST2;MX1;IFI44L;IFI44;PARP14;TNFAIP2;LGALS3BP;OASL;IRF1;ARID5B;CFB;TNFAIP3;TRIM14;CD74;CMPK2;SSPN;DDX60;HLA-A;C1R;IFI35;ICAM1;SOCS3
HALLMARK_KRAS_SIGNALING_DN,0.7651821862348096,2.312304071015873,0.0,0.0,200,9,MX1;BTG2;IFI44L;TFAP2B;PKP1;ATP6V1B1;EDN1;SGK1;KRT5,MX1;BTG2;IFI44L;TFAP2B;PKP1;ATP6V1B1;EDN1;SGK1;KRT5
HALLMARK_MTORC1_SIGNALING,-0.48469551907410413,-2.783869706468182,0.0,0.0,200,35,BTG2;NMT1;PPP1R15A;SQLE;MLLT11;SYTL2;SLC1A5;PPIA;TPI1;HSPE1;COPS5;TUBG1;CACYBP;LDHA;IFRD1;ATP6V1D;SERP1;SLC2A1;BUB1;XBP1;GAPDH;SCD;HPRT1;QDPR;SSR1;MTHFD2;PGK1;EEF1E1;GBE1;PSAT1;RRM2;INSIG1;TRIB3;NUPR1;ERO1A,SLC2A1;BUB1;XBP1;GAPDH;SCD;HPRT1;QDPR;SSR1;MTHFD2;PGK1;EEF1E1;GBE1;PSAT1;RRM2;INSIG1;TRIB3;NUPR1;ERO1A
HALLMARK_MYC_TARGETS_V1,-0.5375053830964261,-3.058401949300123,0.0,0.0,200,34,EIF3J;HNRNPU;SERBP1;PPIA;PSMB3;PSMD8;NDUFAB1;SNRPA1;PRDX3;HSPE1;SSBP1;COPS5;LSM2;HDAC2;ACP1;VDAC3;RANBP1;YWHAQ;SNRPD3;RAN;LDHA;IFRD1;BUB3;ILF2;TOMM70;RFC4;PRPS2;KPNA2;MAD2L1;TYMS;H2AFZ;HPRT1;CCNA2;PGK1,HNRNPU;SERBP1;PPIA;PSMB3;PSMD8;NDUFAB1;SNRPA1;PRDX3;HSPE1;SSBP1;COPS5;LSM2;HDAC2;ACP1;VDAC3;RANBP1;YWHAQ;SNRPD3;RAN;LDHA;IFRD1;BUB3;ILF2;TOMM70;RFC4;PRPS2;KPNA2;MAD2L1;TYMS;H2AFZ;HPRT1;CCNA2;PGK1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.41724819364118115,-2.619698077471824,0.0,0.0,200,41,NDUFA7;CYB5R3;NDUFB1;AFG3L2;NDUFA3;ATP5ME;UQCR11;ATP6V1F;ATP5MG;ATP6V0E1;MDH1;ATP5F1C;NDUFA8;COX7A2L;MRPL34;ATP5PF;NDUFAB1;ATP5MC3;UQCRH;ATP5PO;POLR2F;PRDX3;NDUFB3;ECH1;ETFA;ATP6V1C1;ACAT1;ATP6V1G1;TIMM17A;PDHB;SLC25A5;VDAC3;DLD;LDHA;ATP6V1D;TOMM70;UQCRFS1;DLAT;CYB5A;FH;SDHD,ATP6V1F;ATP5MG;ATP6V0E1;MDH1;ATP5F1C;NDUFA8;COX7A2L;MRPL34;ATP5PF;NDUFAB1;ATP5MC3;UQCRH;ATP5PO;POLR2F;PRDX3;NDUFB3;ECH1;ETFA;ATP6V1C1;ACAT1;ATP6V1G1;TIMM17A;PDHB;SLC25A5;VDAC3;DLD;LDHA;ATP6V1D;TOMM70;UQCRFS1;DLAT;CYB5A;FH;SDHD
