Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_ADIPOGENESIS,-0.43910751710985496,-2.522274267497125,0.0,0.0,200,30,GADD45A;ITSN1;ME1;NKIRAS1;RIOK3;CAT;STAT5A;DHCR7;UCP2;LPCAT3;SLC5A6;BCL2L13;PQLC3;YWHAG;ARAF;ALDH2;RNF11;MGLL;ARL4A;SLC1A5;GPAT4;DLD;PHYH;ECH1;MDH2;DRAM2;REEP6;PGM1;CPT2;C3,STAT5A;DHCR7;UCP2;LPCAT3;SLC5A6;BCL2L13;PQLC3;YWHAG;ARAF;ALDH2;RNF11;MGLL;ARL4A;SLC1A5;GPAT4;DLD;PHYH;ECH1;MDH2;DRAM2;REEP6;PGM1;CPT2;C3
HALLMARK_E2F_TARGETS,0.43821712602980806,2.6589860707335977,0.0,0.0,200,46,BRCA2;SPC25;PNN;MKI67;TFRC;BRCA1;SMC1A;TOP2A;LUC7L3;LMNB1;DLGAP5;HELLS;MMS22L;TMPO;E2F8;ORC6;WEE1;BUB1B;HMGB3;NAP1L1;LBR;ANP32E;EZH2;CDKN3;CENPM;RNASEH2A;CDKN1B;DNMT1;CTCF;RBBP7;TACC3;MAD2L1;PTTG1;RANBP1;ORC2;CCNE1;SMC4;LYAR;RAD51C;MCM4;USP1;NAA38;TBRG4;KIF22;CDC20;RPA3,BRCA2;SPC25;PNN;MKI67;TFRC;BRCA1;SMC1A;TOP2A;LUC7L3;LMNB1;DLGAP5;HELLS;MMS22L;TMPO;E2F8;ORC6;WEE1;BUB1B;HMGB3;NAP1L1;LBR;ANP32E;EZH2;CDKN3;CENPM;RNASEH2A;CDKN1B;DNMT1;CTCF;RBBP7;TACC3;MAD2L1;PTTG1;RANBP1;ORC2;CCNE1;SMC4
HALLMARK_G2M_CHECKPOINT,0.4189815481356484,2.4410971926213,0.0,0.0,200,47,BRCA2;MKI67;SMC1A;TOP2A;PRPF4B;LMNB1;POLQ;TMPO;RBL1;NSD2;ORC6;NUSAP1;KIF11;KNL1;EXO1;FBXO5;HNRNPU;CBX1;TENT4A;BUB1;KMT5A;HMGB3;LBR;KIF15;EZH2;CDKN3;CASP8AP2;MNAT1;RBM14;CDKN1B;CTCF;TACC3;MAD2L1;PTTG1;INCENP;SMC4;CENPF;CCNA2;MAP3K20;SQLE;UPF1;CDC6;PML;UCK2;KIF22;KIF5B;CDC20,BRCA2;MKI67;SMC1A;TOP2A;PRPF4B;LMNB1;POLQ;TMPO;RBL1;NSD2;ORC6;NUSAP1;KIF11;KNL1;EXO1;FBXO5;HNRNPU;CBX1;TENT4A;BUB1;KMT5A;HMGB3;LBR;KIF15;EZH2;CDKN3;CASP8AP2;MNAT1;RBM14;CDKN1B;CTCF;TACC3;MAD2L1;PTTG1;INCENP
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.4488184697754712,-2.386867868489284,0.0,0.0,200,28,IFITM3;ISG15;VAMP5;ISG20;SECTM1;PTPN6;PARP12;IRF5;PML;NAMPT;PSMB2;ARID5B;UPP1;TAPBP;PSME1;SRI;ARL4A;BPGM;LGALS3BP;LY6E;MVP;TNFSF10;ICAM1;RTP4;CCL2;HLA-B;SOCS3;CXCL10,ARID5B;UPP1;TAPBP;PSME1;SRI;ARL4A;BPGM;LGALS3BP;LY6E;MVP;TNFSF10;ICAM1;RTP4;CCL2;HLA-B;SOCS3;CXCL10
HALLMARK_MITOTIC_SPINDLE,0.400992654405543,2.313885573374795,0.0,0.003247596778383996,199,41,FLNA;DST;BRCA2;VCL;SMC1A;TOP2A;LMNB1;DLGAP5;MYH10;NET1;NUSAP1;KIF11;ITSN1;FBXO5;BUB1;CEP250;TLK1;ARHGEF11;CENPJ;ARHGAP10;ARHGEF7;KIF15;EPB41;KNTC1;PDLIM5;STK38L;RICTOR;TUBA4A;INCENP;ALMS1;SMC4;CEP192;CD2AP;CENPF;ABI1;HOOK3;KIF22;ARL8A;CDC42EP1;KIF5B;FSCN1,FLNA;DST;BRCA2;VCL;SMC1A;TOP2A;LMNB1;DLGAP5;MYH10;NET1;NUSAP1;KIF11;ITSN1;FBXO5;BUB1;CEP250;TLK1;ARHGEF11;CENPJ;ARHGAP10;ARHGEF7;KIF15;EPB41;KNTC1;PDLIM5;STK38L;RICTOR;TUBA4A;INCENP;ALMS1;SMC4;CEP192;CD2AP
HALLMARK_INFLAMMATORY_RESPONSE,-0.38577237963945066,-2.0118864767264806,0.018867924528301886,0.030813475760065732,200,25,MXD1;GABBR1;CXCL8;PLAUR;EDN1;BTG2;ABI1;LYN;NAMPT;RNF144B;SLC31A2;GNAI3;TAPBP;RASGRP1;HPN;SRI;LY6E;MARCO;CD14;TNFSF10;ICAM1;CX3CL1;RTP4;CCL2;CXCL10,LY6E;MARCO;CD14;TNFSF10;ICAM1;CX3CL1;RTP4;CCL2;CXCL10
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.48689569928887794,-1.8554883340708,0.04081632653061224,0.03815001760770043,97,13,IFITM3;ISG15;NCOA7;ISG20;PARP12;PSME1;LGALS3BP;LY6E;PARP9;RTP4;CD47;HLA-C;CXCL10,LGALS3BP;LY6E;PARP9;RTP4;CD47;HLA-C;CXCL10
HALLMARK_APICAL_JUNCTION,-0.3337883240398599,-1.8703294941707806,0.0,0.041084634346754315,200,24,MYL9;VCL;CALB2;MYH10;MSN;CDH1;EVL;DSC3;MAP3K20;CLDN7;ITGB1;LIMA1;THBS3;MAPK13;CLDN9;ACTB;EGFR;RRAS;CLDN4;ICAM1;PFN1;CX3CL1;CLDN6;FSCN1,EGFR;RRAS;CLDN4;ICAM1;PFN1;CX3CL1;CLDN6;FSCN1
HALLMARK_BILE_ACID_METABOLISM,-0.505770080458833,-2.028865367491372,0.0392156862745098,0.041084634346754315,112,14,NPC1;PEX1;CAT;PRDX5;ABCA3;ABCD3;CYP27A1;OPTN;PEX6;GSTK1;PHYH;PEX7;DHCR24;SLC35B2,ABCA3;ABCD3;CYP27A1;OPTN;PEX6;GSTK1;PHYH;PEX7;DHCR24;SLC35B2
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.589228503205317,-1.8764668123306198,0.021739130434782608,0.04519309778142974,87,8,IL17RB;BAK1;PLA2G2A;CD9;TNFRSF1A;CD14;SOCS3;CXCL10,BAK1;PLA2G2A;CD9;TNFRSF1A;CD14;SOCS3;CXCL10
