gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
LINC00958,-2.83118001629497,6.76389209425137,444.083275225902,3.17891092966651e-74,2.86292718325766e-70,ENSG00000251381
SCGB3A2,-3.05726718805785,6.73144171673239,341.067426972808,1.19504470645232e-60,5.38128631315478e-57,ENSG00000164265
FKBP10,-2.43727511584138,6.95014219326633,271.525185940958,1.30661374147295e-50,3.92245445190179e-47,ENSG00000141756
TRPM4,3.06539397747648,7.64959635620694,198.981539021926,3.09695826802566e-39,6.97280154045978e-36,ENSG00000130529
SNAI2,-2.33364683257047,6.79633444244473,185.290095800948,5.69038189303364e-37,1.02495158657322e-33,ENSG00000019549
HOXB2,-1.89644061432111,7.00506267831944,147.982205614865,1.36808491910216e-30,2.05349546357234e-27,ENSG00000173917
IFITM3,-2.09103980623327,6.69554515345122,190.611701373196,1.28404799477623e-29,1.65201946299353e-26,ENSG00000142089
UQCRFS1,0.997664914760059,9.27351439626564,141.676541341356,1.76553603144745e-29,1.98755218740196e-26,ENSG00000169021
LBH,3.58892774619309,8.48750463508155,135.517863914944,2.19391757975673e-28,2.19538019147656e-25,ENSG00000213626
ZG16B,3.12810897648117,10.4365234030065,131.609573550729,1.09807089367857e-27,9.88922646846918e-25,ENSG00000162078
PEG10,-1.98986003347212,7.1019812568404,129.627519472486,2.49353408667808e-27,2.04152436223843e-24,ENSG00000242265
DICER1,1.826529860514,8.47968704829959,125.592343595464,1.33376690435542e-26,1.00099206171875e-23,ENSG00000100697
GEM,-2.0722538256129,6.94046170294056,122.686467461273,4.48901072568677e-26,3.10984850734885e-23,ENSG00000164949
S100B,-2.01616763971683,6.86480415856487,121.965936363875,6.06993188207404e-26,3.90470046642563e-23,ENSG00000160307
PNLDC1,2.36111509981348,6.89526297238249,130.233966122472,3.04781190555065e-25,1.82990626809261e-22,ENSG00000146453
ASPH,-1.3996359180856,7.25163135935133,111.84817253831,4.34282917850654e-24,2.44446997385187e-21,ENSG00000198363
TPM2,-1.55912837122668,8.11834738950587,110.319677338654,8.32440738910787e-24,4.40997723213562e-21,ENSG00000198467
RPL24,0.830677388727345,8.97809365933534,103.214288442059,1.74764054239319e-22,8.74402818044058e-20,ENSG00000114391
NTRK2,-1.80853910639569,6.77030373579175,102.11618425863,2.80568274602225e-22,1.32989362161455e-19,ENSG00000148053
PROCR,-1.75438507385846,6.67694802355156,154.873351039148,3.24967257907824e-22,1.46332756235893e-19,ENSG00000101000
