gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
DHRS2,-4.75209175658877,6.84071634527058,190.690296073103,4.88059464141473e-31,3.02401643982057e-27,ENSG00000100867
ZNF90,-5.24586790024367,6.94629199603617,146.188922690883,1.0284439229192e-25,3.18611927320368e-22,ENSG00000213988
MTRNR2L10,-5.70702762723267,7.47785953666059,142.14430603463,3.38599257447774e-25,6.99320333048802e-22,ENSG00000256045
PIP,-3.36207015033585,6.48251434896512,94.6353755524971,1.31116487416308e-18,2.03099439007862e-15,ENSG00000159763
PI3,-2.94847634227529,7.93555650198276,73.5518708040669,2.48832981308418e-15,3.08353830437391e-12,ENSG00000124102
HIST3H2A,-2.2172386283905,8.63223471487959,61.9790098849232,2.03312274690579e-13,2.09953808997138e-10,ENSG00000181218
COL1A2,-4.29595176743295,7.28274530618611,55.2966509280973,2.83839003315738e-12,2.46018755023492e-09,ENSG00000164692
AKR1B15,-2.35125223635138,6.40930918802134,55.0154352050786,3.17648489378299e-12,2.46018755023492e-09,ENSG00000227471
RPS20,-1.47187895603331,9.92776720496472,51.1450571233367,1.51534304022398e-11,1.04322949746975e-08,ENSG00000008988
RPL27A,-1.45845985725562,9.01256607190132,48.9123760175899,3.77632085398054e-11,2.33980840112634e-08,ENSG00000166441
TRPM4,-2.00774311963033,6.35936031902738,43.8811872957672,3.05490275287957e-10,1.72074340516744e-07,ENSG00000130529
ZG16B,-2.22798142109233,8.97168468468455,42.8666382875957,4.68344292507754e-10,2.35195813258734e-07,ENSG00000162078
RHEB,-1.23060926949843,7.96803577506462,42.7428713085152,4.93470879981204e-10,2.35195813258734e-07,ENSG00000106615
SUSD4,-1.88861360633881,6.44476379496856,41.898070355857,7.05542357804801e-10,3.12252889211325e-07,ENSG00000143502
COL3A1,-3.77495876477751,6.91743543622595,40.9606509515725,1.05078020508037e-09,4.34042276711865e-07,ENSG00000168542
LCN2,-2.056444970465,8.84335273546195,38.7983986700628,2.65099254190792e-09,1.02659686185384e-06,ENSG00000148346
SLC34A2,-2.00911103452747,6.66001346520179,37.4599187337626,4.72331718076165e-09,1.72151019129407e-06,ENSG00000157765
CXXC5,-1.79378602484617,6.46483439854924,37.1226266132201,5.46651065174874e-09,1.8816944443464e-06,ENSG00000171604
UBA52,-0.943179138651898,9.95037578015713,36.8427399466802,6.1723444932696e-09,2.01283402527886e-06,ENSG00000221983
RPLP0,-1.17753707790733,9.7918469073844,36.3245925253679,7.73168412857451e-09,2.39527574303238e-06,ENSG00000089157
FAU,-0.869713631588825,10.3300730222198,35.8404657968645,9.54765807736911e-09,2.81701378320853e-06,ENSG00000149806
RPL23,-1.14212587937082,9.85857869393991,34.1711984108828,1.9837096942405e-08,5.58684784796097e-06,ENSG00000125691
ATP6V0E2,-1.53550217163542,6.62397688638225,34.0611380408768,2.08213655962918e-08,5.609094836288e-06,ENSG00000171130
RPS14,-0.883130308359782,11.403089141217,33.1917567597945,3.05521748399273e-08,7.88755313784124e-06,ENSG00000164587
GSTK1,-1.24477253531941,7.51094540941883,32.6290820181661,3.919327725578e-08,9.71366183507252e-06,ENSG00000197448
CA2,2.47146134243196,7.56430387700111,32.2850156255314,4.5656951702733e-08,1.08804027980821e-05,ENSG00000104267
SLC25A4,-1.74814015204815,6.97203631870897,32.019978476875,5.13633908633797e-08,1.17869470292408e-05,ENSG00000151729
CALM2,-1.13666853353514,9.71768113216631,31.8953341889844,5.42914391374874e-08,1.20139198891383e-05,ENSG00000143933
TNC,2.75427461352855,6.65613301879402,31.0601365701774,7.87887282568476e-08,1.68336193199803e-05,ENSG00000041982
OASL,2.66737180747337,6.61712262028985,28.605057145774,2.37666282467349e-07,4.90860095389232e-05,ENSG00000135114
HMGA1,-1.115995224307,7.92786825476681,28.2777616344228,2.75653813946619e-07,5.50951945552662e-05,ENSG00000137309
RPS5,-1.02927196805394,9.42193780338555,27.8984845959818,3.27438710013328e-07,6.34003202263307e-05,ENSG00000083845
PRKAG2,-1.59606064393466,6.49370231895932,26.8629158333206,5.24875288686867e-07,9.85493117789039e-05,ENSG00000106617
DNM1,2.01478424364703,6.46389824805755,26.7232133152283,5.59487942186392e-07,0.000101958449699614,ENSG00000106976
POLR3G,1.9627889539821,6.45407395380126,25.7719341173386,8.65402398233691e-07,0.000148825427938629,ENSG00000113356
ID1,-1.73473873862615,6.94411148459892,25.7242355765609,8.84591661354906e-07,0.000148825427938629,ENSG00000125968
RPL36AL,-1.1065706627214,8.22531929226923,25.7108979922926,8.9003407181287e-07,0.000148825427938629,ENSG00000165502
REPIN1,-1.28405717168363,6.59393235995462,25.6561185133646,9.12744716214961e-07,0.000148825427938629,ENSG00000214022
KRT16,2.64087749493955,8.35157419546063,25.1767670263339,1.1382795964786e-06,0.000180840522558497,ENSG00000186832
DNAJB6,-1.03923491822775,8.07223161173339,25.0990654114724,1.17982784781404e-06,0.000182755333626394,ENSG00000105993
INSIG1,-1.39930762448413,6.98217418674198,24.3553773648554,1.66413562434675e-06,0.000251355710342217,ENSG00000186480
FZD8,2.2463972438646,6.65266306105965,24.3045211474557,1.703831477465e-06,0.000251355710342217,ENSG00000177283
HLA-DPA1,2.43896298738649,6.53352856213236,23.6540227432547,2.30487405941381e-06,0.000332116271444837,ENSG00000231389
GNG12,-1.16298065271843,6.78295092225835,23.0331688626015,3.07862915118862e-06,0.000433526959562834,ENSG00000172380
EEF1A1,-0.620404473046065,12.1661768935225,22.8794068707327,3.30798003055025e-06,0.000455472094873096,ENSG00000156508
HLA-DRA,3.00232760081336,6.95921371998579,22.7770337760731,3.4702049678358e-06,0.000467421521319796,ENSG00000204287
SCGB3A1,3.57827504305173,7.70281546807146,22.4916600154418,3.96627672957591e-06,0.000520842174049192,ENSG00000161055
EZH2,-1.35850011743422,6.55336146589741,22.4069235694028,4.12698226076835e-06,0.000520842174049192,ENSG00000106462
MUCL1,-1.76746081283599,7.20325089271843,22.3419987052732,4.25456535937961e-06,0.000520842174049192,ENSG00000172551
PTX3,3.01572549783499,7.30768386012098,22.2931861369666,4.35311162819789e-06,0.000520842174049192,ENSG00000163661
RERG,1.90159571428504,6.55008310588453,22.2792503496796,4.38166821997917e-06,0.000520842174049192,ENSG00000134533
RAI14,-1.45860111804732,6.47707753352083,22.2533797572507,4.43518521829011e-06,0.000520842174049192,ENSG00000039560
RGS16,2.80933804208921,6.8492593939298,22.2437689213715,4.45523486517224e-06,0.000520842174049192,ENSG00000143333
SCGB3A2,4.83215645726234,7.29024521387043,22.2781110269163,4.8781687715048e-06,0.00055972469830081,ENSG00000164265
ACTR3B,-1.25248064254814,6.52262960463716,21.8371338204199,5.39330432386058e-06,0.000607580247102549,ENSG00000133627
RPL24,-0.604945237803834,10.0218741183031,21.7428642269455,5.63796883715351e-06,0.000623800980625057,ENSG00000114391
NCALD,1.27569295822875,8.0173505078857,21.2599755201793,7.07940743480832e-06,0.000769544008176708,ENSG00000104490
RPL15,-0.73469932784436,10.7078141714367,21.0958742979538,7.65007081708744e-06,0.000817238599701272,ENSG00000174748
RPLP2,-0.648719402717115,9.82972629646447,20.941065347984,8.23112825617627e-06,0.000864407977546918,ENSG00000177600
FN1,-2.30862904144523,7.22084655568104,20.6726250155145,9.34682607659624e-06,0.000965215572843171,ENSG00000115414
RANBP9,-1.1527585532149,6.45719109522175,20.0961007265018,1.22898553241783e-05,0.00124832694407556,ENSG00000010017
CYYR1,1.70765389256179,6.39176479690171,21.1076980790564,1.25681288005259e-05,0.0012560020330332,ENSG00000166265
GALNT11,-1.13406434953649,6.61229876487686,19.9320139672749,1.3288112575453e-05,0.00130687532567471,ENSG00000178234
RPL11,-0.669536779852365,10.4909849282103,19.8653109485963,1.37170613674679e-05,0.00131722254402461,ENSG00000142676
CYP1B1,2.66587804974227,6.82341287048883,19.8498451395143,1.38185063527437e-05,0.00131722254402461,ENSG00000138061
RARRES1,-1.64033105737719,8.98247660824228,19.7922044901952,1.42033353496284e-05,0.00133339190645905,ENSG00000118849
ESYT2,-1.11354707237411,6.58384256003899,19.7064817232171,1.47958439667416e-05,0.001364130586194,ENSG00000117868
MRPS33,-0.885800315120085,7.75605900647625,19.6817934212247,1.49710910040659e-05,0.001364130586194,ENSG00000090263
PDK3,1.65213434667315,7.18514738531888,19.6266976142449,1.53698092669337e-05,0.00138016432199886,ENSG00000067992
TIMP2,-1.27089306458657,6.88543909746287,19.5272149702021,1.61172253546196e-05,0.00142660468996033,ENSG00000035862
NFKBIZ,-1.2619223082865,7.50886403122455,19.1821315259056,1.9007633517683e-05,0.00165875066585301,ENSG00000144802
ARL6IP5,-0.872467193350013,8.0301624455598,19.1029977504645,1.97414507332098e-05,0.001698861510319,ENSG00000144746
OCIAD1,-0.953244057062347,7.10616341059051,19.043816355709,2.03089700473262e-05,0.00172375860840045,ENSG00000109180
PTGES,-1.25319932067909,6.63592882368906,18.9178113425321,2.15730388542686e-05,0.00180571302979813,ENSG00000148344
