gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MYLK,-4.2275214839883,6.39786026701652,185.525564202487,2.2608659122012e-30,1.43112812242336e-26,ENSG00000065534
EDN1,-2.50009595295221,6.60548336988067,54.7039121932163,3.70477939068739e-12,1.17256267715256e-08,ENSG00000078401
GADD45A,-2.12406437878364,7.05095446283437,52.910664401645,7.61210319390778e-12,1.60615377391454e-08,ENSG00000116717
LALBA,-2.34610977539953,6.8517767298477,38.9589200203626,2.51475805240501e-09,3.97960461793093e-06,ENSG00000167531
AGT,-2.03936135200016,6.38206548838424,34.817940754801,1.51332897160549e-08,1.91587447805255e-05,ENSG00000135744
TCHH,-2.19451335124944,6.56858557305815,32.3533364886346,4.48167496525657e-08,4.72816708834568e-05,ENSG00000159450
CASP14,-1.99945828573528,6.47027726870076,28.0454390585947,3.09109099456675e-07,0.000271844608304522,ENSG00000105141
RPL24,-0.630921397241647,10.0221350170883,27.5954442448128,3.79170636082673e-07,0.000271844608304522,ENSG00000114391
BSPRY,-1.41657782539297,6.78301150438907,27.5532782507558,3.86508921759984e-07,0.000271844608304522,ENSG00000119411
MCUR1,-1.15192009830285,6.99417078204971,27.2932528351711,4.35049770883963e-07,0.000275386504969549,ENSG00000050393
TFG,-1.0817481351603,6.93915212948656,27.0817465902323,4.79055257303649e-07,0.000275674525339281,ENSG00000114354
RRAD,-1.98863753302104,6.36167491619641,24.4526405647408,1.60224086804386e-06,0.000845182057893134,ENSG00000166592
TRMT10C,-1.15730623966076,6.75833766819415,23.9053457320491,2.06480099125755e-06,0.00100539925189695,ENSG00000174173
IGFBP5,-2.00124452042933,8.07422218397422,22.5731521554808,3.84148752553555e-06,0.00173690114547429,ENSG00000115461
HOXB2,1.54092244625206,7.10269493047824,22.3851750107347,4.1948705476983e-06,0.00177023537112868,ENSG00000173917
CDYL,-1.14359284401799,6.43425227367927,21.9148455761421,5.23043887482949e-06,0.00206929237985442,ENSG00000153046
TBC1D23,-1.24885427551635,6.35602762955832,21.4305131324876,7.64076816210048e-06,0.00284506249800565,ENSG00000036054
GCNT2,-1.24272282134371,7.63532458316105,20.9633230383823,8.18934761000603e-06,0.00287992057618545,ENSG00000111846
NOL7,-0.951537899456166,7.216051669796,20.8087594498977,8.81025114610545e-06,0.00293520472393934,ENSG00000225921
OCIAD2,-0.955259500774409,7.30908527034199,20.0769331991854,1.24650479677739e-05,0.00394518768180045,ENSG00000145247
SPARC,2.64983303021172,6.92091216303737,19.6751920183823,1.50914270605368e-05,0.0045489872996761,ENSG00000113140
MEX3A,-1.15166596955544,6.81483842526009,19.305163352433,1.80055824480637e-05,0.00495906312028192,ENSG00000254726
BPIFB1,3.35708823752323,6.74253048315514,19.3036374474013,1.80187127593182e-05,0.00495906312028192,ENSG00000125999
SLC29A1,1.49001762235822,6.54427505516841,18.6903136911321,2.41678017389296e-05,0.00637425770864269,ENSG00000112759
KRT81,2.95452960201669,6.92199259796852,18.4429796666579,2.72151041050011e-05,0.00648216987572482,ENSG00000205426
VIM,-1.57431768268172,9.45073970122817,18.4331600874236,2.73438296410259e-05,0.00648216987572482,ENSG00000026025
AC103591.3,1.7732602203911,6.69343116985031,18.4100619044359,2.76490658206272e-05,0.00648216987572482,ENSG00000273338
TMEM14B,-0.889557601737041,7.14404079430592,17.5409295742918,4.2039166097263e-05,0.00950385433555981,ENSG00000137210
EEF1E1,-1.05191914781539,6.55995319810426,17.2460989251997,4.84885106865566e-05,0.0105838714705484,ENSG00000124802
CP,-1.50370419798659,6.78695676628123,17.1056178719821,5.19062593063975e-05,0.0106397661736794,ENSG00000047457
DSP,-0.984053486647723,8.69119021080201,17.0976896349581,5.21062798395039e-05,0.0106397661736794,ENSG00000096696
ANKRD35,1.54690938679574,6.75733758091332,16.9438852892794,5.61452394659961e-05,0.0111062301818673,ENSG00000198483
KLHL21,-1.17250524093498,6.4091328770066,16.1531204336997,8.25264906745223e-05,0.015830081393022,ENSG00000162413
NFKBIZ,-1.11153919120585,7.46018793160783,15.7861727650441,9.87546188397761e-05,0.0182473757020584,ENSG00000144802
ENG,1.19554694248747,6.75654249969738,15.7424355618012,0.000100893862491634,0.0182473757020584,ENSG00000106991
LINC00958,1.31190884455873,6.51723937785503,15.5643349750832,0.000110102542401239,0.0193596970388846,ENSG00000251381
PI15,1.84740466351766,6.43001157917506,15.4896806070478,0.000114212381671739,0.0195395777292462,ENSG00000137558
SNCG,1.85086680656936,6.72564141196849,15.4223013950633,0.000118055437427664,0.0196655504978187,ENSG00000173267
EHF,-0.965079368474116,7.80456709217799,15.272900389953,0.00012705220929436,0.0205183091819833,ENSG00000135373
FN1,-1.6873963341248,7.07942647590627,15.2316393071448,0.000129657561971458,0.0205183091819833,ENSG00000115414
PHLDB2,-1.21116112488995,6.61393799115605,15.0849819693028,0.000139365505957679,0.021165995853074,ENSG00000144824
CALB2,1.3027629956888,7.21393508174275,15.0694224913392,0.000140437887176794,0.021165995853074,ENSG00000172137
SSR1,-0.958510980718893,6.69606030697548,14.3557247321336,0.000199817511157837,0.0288699032875873,ENSG00000124783
CAMP,1.89193026801336,7.0432675054516,14.3470790231746,0.000200675473089075,0.0288699032875873,ENSG00000164047
VMP1,-0.785185262724246,7.73127376852659,14.0256299060489,0.000235381882428336,0.032737075075216,ENSG00000062716
FAM71E1,1.13833390236817,6.8104375450512,13.964844278205,0.000242602175733709,0.032737075075216,ENSG00000142530
PTN,1.96139229624272,11.2199479850967,13.9609571763037,0.000243071489500024,0.032737075075216,ENSG00000105894
OCIAD1,-0.821252619965132,7.06115696895321,13.8892416229632,0.000251897785090578,0.03321902040882,ENSG00000109180
NRG2,1.72772166660253,6.37813903596501,13.6431119362962,0.000284747633591491,0.0367847453190641,ENSG00000158458
HOXB6,1.62457084300913,6.47643516893043,13.5692518663812,0.000295432016220387,0.0374016932535009,ENSG00000108511
TGFBI,-1.39035779909825,7.535722209665,13.4879255245034,0.000307669219391454,0.0378297395174898,ENSG00000120708
CHI3L1,-1.27316676854134,9.27063216949351,13.4678690083874,0.00031076563268712,0.0378297395174898,ENSG00000133048
KLF5,-1.11901594909946,6.48078079024596,13.4192355527341,0.000318406228193947,0.0380285174427865,ENSG00000102554
NUDT14,-0.870372470128435,6.53734142275036,13.2557893020112,0.000345514410798824,0.0402830002455777,ENSG00000183828
MPHOSPH10,-0.850026448289927,7.14563690865997,13.2299494082726,0.000350010270696173,0.0402830002455777,ENSG00000124383
