gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
CRISP3,-4.32560330667239,7.36453152148492,339.122280940902,1.04086434849036e-59,9.18354614673045e-56,ENSG00000096006
AKR1C2,-2.67039225700222,7.39285495224352,197.248934193609,1.15201461562432e-38,5.0821124768267e-35,ENSG00000151632
LINC00958,-2.51495277386551,6.68468642600334,250.203773972245,3.89865334347644e-38,1.14659394831642e-34,ENSG00000251381
LALBA,-2.83801668144648,7.29724625479189,158.323093510751,3.41551142332667e-32,7.5337643220028e-29,ENSG00000167531
DICER1,2.12007315800691,8.51205274852122,129.528545545082,3.58913832025845e-27,6.33339347992806e-24,ENSG00000100697
IGFBP2,-2.17914907049716,7.93510839220324,127.250967543991,9.14784578113553e-27,1.34519072211598e-23,ENSG00000115457
CLU,-2.19899531232056,7.50129825511293,119.647962261366,2.12743104319424e-25,2.68147487058611e-22,ENSG00000120885
S100B,-2.22711452427605,6.84390624787804,114.20072545407,2.07341619530102e-24,2.28671888639261e-21,ENSG00000160307
AKR1C1,-1.93402742890881,6.97171895746779,108.365246414744,2.42801008813001e-23,2.38025922306345e-20,ENSG00000187134
MRGPRX3,-1.94847525329024,6.68743250214725,107.158348608628,4.05009793719966e-23,3.57340140999126e-20,ENSG00000179826
LBH,3.4162105776412,8.54393660807253,91.6457571868017,3.17566090723678e-20,2.54716874405001e-17,ENSG00000213626
IFIT3,-1.88144230658697,6.74079108665105,86.6188199997458,2.85392608177555e-19,2.09834915162547e-16,ENSG00000119917
UQCRFS1,0.835531143859826,9.31694753724341,79.2481299243971,7.38126495739733e-18,5.00960774762436e-15,ENSG00000169021
FKBP10,-1.61789238101155,6.79986948093944,77.6289510184575,1.5164439526553e-17,9.55684642448411e-15,ENSG00000141756
CALML5,2.29449912881955,11.2114997623419,75.7847271146412,3.45173474204352e-17,2.03031037527e-14,ENSG00000178372
S100A1,-1.47990397519945,7.50401070802903,71.2800444993313,2.6022605788688e-16,1.43498406795996e-13,ENSG00000160678
CYB5A,-1.29698339352566,7.62345776155219,68.3336152945965,9.8385583787444e-16,5.10621179856834e-13,ENSG00000166347
LRG1,-1.61338576243163,7.39769081156167,63.4816510800739,8.92631220533752e-15,4.37538069931628e-12,ENSG00000171236
SDCBP,-1.02906474548833,8.07547645005411,62.365937068049,1.48625755318503e-14,6.64354430091807e-12,ENSG00000137575
LINC01285,-1.45923789673473,6.70060061369771,62.3371474882736,1.50596039916538e-14,6.64354430091807e-12,ENSG00000203650
LY6E,-0.881086754976573,10.5732416665889,61.0848311253816,2.67237167062598e-14,1.12277786904443e-11,ENSG00000160932
CASP14,-1.63082359913437,6.69647867170799,60.0601789866532,4.27686339311235e-14,1.71521662351956e-11,ENSG00000105141
PDIA6,-0.71136578493956,9.7408840433787,59.2801060906201,6.12160565081205e-14,2.34830115900499e-11,ENSG00000143870
RPS25,0.922188177768522,8.30522052410891,59.1304242549069,6.55805162166203e-14,2.4109037274135e-11,ENSG00000118181
QSOX1,-0.896498489001125,7.93372580055952,58.90905844949,7.26145261734311e-14,2.56271185771273e-11,ENSG00000116260
RB1CC1,-1.09985229648142,7.29237849122751,56.4690513543405,2.23857654825063e-13,7.59652341739051e-11,ENSG00000023287
ATP5MG,0.934842592093873,7.93128423275153,53.3677902611622,9.43409546028675e-13,3.08285274985592e-10,ENSG00000167283
LAPTM4A,-0.562445958122286,9.80711340646224,52.5555806555832,1.3769907606452e-12,4.33899624327594e-10,ENSG00000068697
ACE2,-1.3713859771891,6.78821697646686,51.9931209906973,1.78983826877708e-12,5.44542863635178e-10,ENSG00000130234
ATRAID,-0.602220816027378,8.88148329341198,51.4700459583957,2.28472837888005e-12,6.71938616228622e-10,ENSG00000138085
IFIT2,-1.6104360222653,6.71850879300981,51.1966639876417,2.59590599130013e-12,7.38828340685194e-10,ENSG00000119922
CAMP,-1.63012859743555,6.81837745915539,51.1069957965989,2.70697512294635e-12,7.46363797179863e-10,ENSG00000164047
PCMTD1,-1.09575374482215,7.27012185036412,49.9325981625449,4.68908652595633e-12,1.25369122480341e-09,ENSG00000168300
VTCN1,-1.09674461947934,8.16616959849823,47.7391059426863,1.31292743586556e-11,3.40704669607112e-09,ENSG00000134258
GPX3,-1.12697070123428,7.74064676707511,46.7221656577074,2.11943731608762e-11,5.34279869709745e-09,ENSG00000211445
TNNT1,-1.30083211816548,6.75513567902572,51.1242053472729,2.6326121599661e-11,6.45209363538359e-09,ENSG00000105048
RAB2A,-0.79868200365466,7.70594877225165,45.5734978308251,3.64469762492438e-11,8.69112625532644e-09,ENSG00000104388
GRN,-0.76724715074304,8.06424499522554,45.0801626963942,4.60204784622386e-11,1.06852284597982e-08,ENSG00000030582
