gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
ANKRD35,-3.52924249728355,6.48003482851119,185.98099585889,2.49580819522426e-30,1.63001233230096e-26,ENSG00000198483
CSDE1,-3.34995092571301,6.61663611097337,182.977591393456,5.46192613112034e-30,1.78359197811735e-26,ENSG00000009307
ACTA2,-5.44488197631491,7.06168344396877,162.967992758076,1.18832069978319e-27,2.586974163428e-24,ENSG00000107796
LSM14A,-2.75041089146751,6.74583020866951,141.381689682036,5.60226774743341e-25,9.14710266462191e-22,ENSG00000257103
PTN,-3.32312776904383,7.19086136784871,125.932340883814,5.88535961920193e-23,7.68745673460156e-20,ENSG00000105894
ALDH1A1,-3.04271665737114,6.59229530295606,121.683051521191,2.20267191665806e-22,2.39760838128229e-19,ENSG00000165092
HLA-DRA,-3.62675279207444,7.40184797202035,120.411341002684,3.28092253186709e-22,3.061100722232e-19,ENSG00000204287
IFI27L2,-2.85652267172032,6.41961734265792,114.826642467711,1.92465824110474e-21,1.57124287158188e-18,ENSG00000119632
GBP2,-2.93019625669423,6.49937278036746,104.227601608194,6.05161715175813e-20,4.01050625925766e-17,ENSG00000162645
MAGEA3,3.38847077608124,6.85190332782744,104.183461666889,6.14072310405399e-20,4.01050625925766e-17,ENSG00000221867
CDA,-2.91171104339284,6.39562103761905,103.575660276672,7.51152763236308e-20,4.45979881517848e-17,ENSG00000158825
HLA-DPA1,-2.84430373821747,6.82670730213179,99.0164766228692,3.45110406884466e-19,1.87826338946871e-16,ENSG00000231389
CCDC107,2.46993094833989,7.81939649330967,97.747288235031,5.29864827260455e-19,2.66195937449079e-16,ENSG00000159884
GBP1,-2.65441389268001,7.54863471692483,92.7696237076276,2.90042197970866e-18,1.35304685353409e-15,ENSG00000117228
SCGB2A2,7.94770081820401,12.2759454290172,91.3189094640688,4.787191877177e-18,2.08434334332287e-15,ENSG00000110484
TMEM147,-1.39132706265389,7.74285568300836,84.5950592801149,5.05389397829914e-17,2.06293634826698e-14,ENSG00000105677
SBSN,-2.8867321965851,7.8423232095338,82.5306698442042,1.0542242529994e-16,4.05008152725829e-14,ENSG00000189001
