gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SERPINB3,-5.89245740061448,6.70569231723355,365.288090087913,1.3711365763904e-44,8.12124194196033e-41,ENSG00000057149
BPIFB1,-7.12284343090877,8.27778654530016,299.467773601896,1.16781385914798e-39,3.45848074386673e-36,ENSG00000125999
SERPINB4,-5.43175257402037,6.90625272454391,264.577657293087,9.29633865261515e-37,1.83540712798132e-33,ENSG00000206073
CSDE1,-3.54929846037045,6.46956318053175,133.671485108621,2.67360421935797e-23,3.95893944781432e-20,ENSG00000009307
PIP,-4.51177186964654,6.5995786830319,106.914958550499,7.79045605379575e-20,9.22857424132645e-17,ENSG00000159763
RHCG,-3.37951384997574,6.92634869595899,102.260365716757,3.37706136092542e-19,3.33372240679354e-16,ENSG00000140519
DEFB1,-2.9943737823103,9.65110500690857,74.2844575981978,4.03943200811515e-15,3.41793654058086e-12,ENSG00000164825
CASP14,-3.30068344228319,6.45901903412082,72.3740815304875,7.97871388009185e-15,5.907240288973e-12,ENSG00000105141
GSTM3,-3.17193661109363,6.69922324267872,70.268110343051,1.70058592841295e-14,1.11917449488776e-11,ENSG00000134202
S100A7,-3.81904803997541,9.93885138592019,65.0105092542702,1.15944700719055e-13,6.86740462358964e-11,ENSG00000143556
RARRES1,-2.8883738037426,8.29227648150147,54.6112466043272,5.91194798574362e-12,3.1833152654145e-09,ENSG00000118849
CTSV,-2.59113247422233,6.87763497714736,49.1154567905928,5.10408070369834e-11,2.51928916733377e-08,ENSG00000136943
PPP2R5C,2.36253487751873,7.22989249260302,47.4851760230715,9.78202782261794e-11,4.45684236872047e-08,ENSG00000078304
TPM2,2.82007209536614,9.19211251173632,47.1666721127584,1.11144124077858e-10,4.70219033509395e-08,ENSG00000198467
KRT6A,-2.94582866646239,6.66859657492498,45.5972483759372,2.09137611689756e-10,8.25814716025618e-08,ENSG00000205420
ATP6V0B,-1.28143058557822,8.68997674017228,44.2006104641888,3.68608026744618e-10,1.36454083900523e-07,ENSG00000117410
RAD51B,3.00314755271751,8.49164348276577,38.2375876550077,4.33937904303781e-09,1.51189071011253e-06,ENSG00000182185
MAGEA3,2.93982861663581,6.96938909737517,37.3342462420525,6.34729955650418e-09,2.08861418184302e-06,ENSG00000221867
PON2,-1.29441788694225,7.92355231158273,37.1359843417901,6.90152381822179e-09,2.15145924080672e-06,ENSG00000105854
