gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SERPINB4,-5.27929570022826,7.74310023734633,77.3594520635053,2.96653655866662e-13,7.9265856847572e-10,ENSG00000206073
SCGB2A2,-5.25439050818657,8.97190538574067,69.7450333234646,2.13391575840152e-12,2.85091145322443e-09,ENSG00000110484
BPIFB1,-6.39381650534721,9.59310191282735,68.0074384957154,3.39719448300025e-12,3.02576788619222e-09,ENSG00000125999
KRT6A,-3.64826869083747,7.18631005181704,43.6128541112938,4.6204616985171e-09,3.08646841460942e-06,ENSG00000205420
ANKRD35,3.4400619391995,7.30403988863207,34.8081867136625,9.17393103699221e-08,4.25978156919294e-05,ENSG00000198483
IFITM3,3.67509594900062,7.54423411910916,34.690071273825,9.56537777513384e-08,4.25978156919294e-05,ENSG00000142089
COX6B1,1.19772140403201,9.39190327691073,33.6821371835012,1.36900487757845e-07,5.2256871898423e-05,ENSG00000126267
CCL28,4.18628311478827,7.68854023466212,32.1850478531409,2.34710281394155e-07,7.83932339856478e-05,ENSG00000151882
SERPINB3,-5.78128392085832,7.49470271744276,35.970221194275,1.08996573582513e-06,0.000323598716236083,ENSG00000057149
RHCG,-2.68051249001685,7.70630041087278,25.7000822732443,2.6737750015578e-06,0.000714432680416243,ENSG00000140519
ELOC,-1.03732812076191,8.60516270196864,25.1191142043701,3.35271076875264e-06,0.000814403924918823,ENSG00000154582
NIT2,-1.35916225740218,7.59913776523198,24.4393538351033,4.37709841360134e-06,0.000974633913428566,ENSG00000114021
OASL,3.39154347331273,7.50897218274111,21.5872808396141,1.37057184075235e-05,0.00281705227576176,ENSG00000135114
SCGB3A2,6.26520703433661,8.8723348624695,20.5323692882931,2.11106086555487e-05,0.00398518354332314,ENSG00000164265
CTSA,-1.54975535791253,7.32810558377656,20.3613876591358,2.26533689626132e-05,0.00398518354332314,ENSG00000064601
RNMT,-1.24533222748772,7.58644885231148,20.2354726997009,2.3863374510917e-05,0.00398518354332314,ENSG00000101654
DEFB1,-2.07445292560539,10.7010906684217,19.7515582502388,2.91682237680752e-05,0.00458455846519393,ENSG00000164825
OCIAD2,-1.32749834170714,7.88304280965503,18.971686714508,4.04121334607016e-05,0.00583374021804516,ENSG00000145247
