gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
BPIFB1,-4.69157493120079,8.66616256799744,102.114338529121,2.35031392009963e-19,1.12721055607978e-15,ENSG00000125999
DEFB1,-2.15302238500045,10.0814745016162,35.9088721663428,1.07640728390147e-08,2.58122466679572e-05,ENSG00000164825
RHCG,-2.00082128681663,7.53310338581062,29.5376537612474,1.73507704297306e-07,0.00027738098326996,ENSG00000140519
CASP14,-2.09446967460845,7.05257414497598,26.2049920695665,7.73184642670095e-07,0.000927048386561444,ENSG00000105141
PIP,-2.53875372074164,7.3984939367425,23.676314868662,2.45133247989373e-06,0.00235131811471406,ENSG00000159763
AGTRAP,-1.36555932911349,7.26061765630813,21.3074441717746,7.34810744033462e-06,0.00587358721397414,ENSG00000177674
CST6,-1.66729689805672,7.00696864430804,19.5598137373576,1.67021487576509e-05,0.011443357920242,ENSG00000175315
AKR1C3,2.75982955871948,7.07007446761767,19.0564693428989,2.11974944131378e-05,0.0114579711464107,ENSG00000196139
MPC2,1.23592776825926,8.10687609075567,19.02644342738,2.15016139111126e-05,0.0114579711464107,ENSG00000143158
ZNF599,1.93406228640785,7.00222311196394,18.0864989306236,3.36370938563545e-05,0.0148970481156873,ENSG00000153896
HRASLS2,-2.16175124205089,7.14566958852183,18.0331800886785,3.45050836674471e-05,0.0148970481156873,ENSG00000133328
TCIM,4.45542500353675,7.67014276252334,17.8459353291646,3.98746632257478e-05,0.0148970481156873,ENSG00000176907
ZC3H15,1.01198511565301,8.21629163797733,17.7046093196919,4.03798218315128e-05,0.0148970481156873,ENSG00000065548
TNFSF10,2.45430336359363,8.02170453504364,17.1418759443825,5.2905516479111e-05,0.0171821416216363,ENSG00000121858
CD63,-0.864665393721025,9.05097622082574,17.1093931460595,5.37389750468191e-05,0.0171821416216363,ENSG00000135404
DSG1,2.07848768296165,7.89908616418389,16.6225512897258,6.79573737273361e-05,0.0196873931856212,ENSG00000134760
NPW,2.93488753443144,7.84365715428679,16.5134632298845,7.1636329121655e-05,0.0196873931856212,ENSG00000183971
