gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MAGEA3,-3.65013032030477,6.75399468322574,376.793146896387,5.02767671058652e-55,3.75567450280813e-51,ENSG00000221867
CSDE1,3.34408377911647,7.07576198168845,295.785841137271,1.13140443565965e-46,4.22579556718878e-43,ENSG00000009307
TPM2,-2.9295137028515,8.62658798488786,223.907437074005,3.02856841228159e-38,7.54113534658116e-35,ENSG00000198467
SYNPO2,-3.1866321117379,6.56665891552938,198.944356561866,4.82269505879384e-35,9.0063830222975e-32,ENSG00000172403
LSM14A,2.58169003599461,7.0985766449403,195.471126467941,1.38537093000894e-34,2.06974416943336e-31,ENSG00000257103
CSNK1G2,2.5762081571902,6.51367639490372,173.810125089047,1.18845822443232e-31,1.47963048941824e-28,ENSG00000133275
CCDC107,-2.20277654183936,7.61514014860662,169.925368684031,4.12464081683039e-31,4.40158098596043e-28,ENSG00000159884
SCGB1D2,-4.16101311903256,7.73467994560133,158.235427821088,1.85897810592342e-29,1.72393927205301e-26,ENSG00000124935
SPRR2A,5.43083061420785,7.43448874923614,157.899410522732,2.07703526753374e-29,1.72393927205301e-26,ENSG00000241794
LINC00958,2.69000389907377,6.5722753476436,154.264896880502,6.93061068731932e-29,5.17716618342753e-26,ENSG00000251381
SPRR2D,5.14500485914952,7.26575118004398,150.655525328883,2.31580358596278e-28,1.57264116246745e-25,ENSG00000163216
CYP27A1,2.69384368712745,6.54728493197753,149.928559288314,2.9562578056387e-28,1.84027048401009e-25,ENSG00000135929
FRZB,-3.05242988227426,7.73531667443321,144.951987188418,1.58990224370936e-27,9.13582289269919e-25,ENSG00000162998
MAGEA6,-2.59575625901413,6.59316401467781,144.445932075846,1.88856077300291e-27,9.98905483861474e-25,ENSG00000197172
SERPINB4,5.31329608569241,7.93145856721695,144.268965298208,2.00583430494272e-27,9.98905483861474e-25,ENSG00000206073
SCGB2A2,-4.62242883059665,11.6982005913469,143.709010124902,2.42746454048666e-27,1.13332250733971e-24,ENSG00000110484
KREMEN2,-2.3706307519443,6.48920253823447,138.830367900686,3.7735117726952e-26,1.65812546717842e-23,ENSG00000131650
FGF2,-3.06983214923401,6.84131696588548,133.586984630004,7.97198623819217e-26,3.30837428884975e-23,ENSG00000138685
MLF2,-1.25518208981665,8.90180730492466,132.837237186399,1.03590435938257e-25,4.0727397708357e-23,ENSG00000089693
SERPINB3,4.36195536315133,6.92035033840753,127.873896842187,5.9357561129299e-25,2.21700490817932e-22,ENSG00000057149
TCN1,3.95127519601486,7.58082968415382,125.142911641391,1.56486552568652e-24,5.56645022708491e-22,ENSG00000134827
PON2,1.38788106855585,8.41321872145109,118.694602180426,1.58346174808843e-23,5.37657239010025e-21,ENSG00000105854
CDA,2.62414283391633,6.67768896378688,118.373931832925,1.77829973086059e-23,5.77560825631678e-21,ENSG00000158825
ATP5MPL,-1.17428321730495,8.47166776681319,117.108939695269,2.81320442561951e-23,8.75609877474072e-21,ENSG00000156411
AREG,3.17090434016997,8.01999620835948,113.742274856471,9.60237085355023e-23,2.86918841104081e-20,ENSG00000109321
CLMN,-1.69617281725152,7.39834555155059,112.722612709245,1.39553515718655e-22,4.0094798554552e-20,ENSG00000165959
CLDN3,-2.1948644778845,7.97474453376848,107.257722773251,1.05198723151696e-21,2.88888496921632e-19,ENSG00000165215
LMO4,2.12251688163931,8.52131774792157,107.180041304851,1.08284844896997e-21,2.88888496921632e-19,ENSG00000143013
GPI,1.70713664556484,7.59141432384489,104.792655977729,2.64056497545852e-21,6.80173116092245e-19,ENSG00000105220
PABPC1,0.915758344508539,10.160079833598,104.197288373059,3.30069993333276e-21,8.21874283399856e-19,ENSG00000070756
ABCD1,-2.01702070279544,6.75743183741541,102.986341027235,5.20199049223275e-21,1.25351190248318e-18,ENSG00000101986
GNG5,1.06665665609784,8.30117056231953,97.7944799524632,3.71723320014501e-20,8.67741625158851e-18,ENSG00000174021
KLK6,-2.26352345788494,8.13585328285394,93.947550710053,1.62370708789646e-19,3.67548240805654e-17,ENSG00000167755
TNFSF13B,-2.46290974547993,6.46579784891864,92.4815917138091,2.85899041582577e-19,6.28137011947602e-17,ENSG00000102524
PRDX1,1.04109003887178,9.8907144732469,92.2032745368606,3.18396513805793e-19,6.79549130894079e-17,ENSG00000117450
SCGB2A1,-2.83612329382511,7.75000668935191,91.2933947195006,4.52964028708974e-19,9.39900359571121e-17,ENSG00000124939
CFTR,2.78358188984812,6.549079724087,90.774195949809,5.54101823934333e-19,1.11868665534851e-16,ENSG00000001626
CCL5,-2.72684122021129,8.19556588391416,90.028432856567,7.40493733098331e-19,1.45565478585382e-16,ENSG00000271503
PLA2G2A,2.91212789161858,6.5060505461864,89.6030574694653,8.73904357202147e-19,1.67386296110257e-16,ENSG00000188257
DSG1,1.99956153809705,7.38623515554983,88.1121852862944,1.56407863422872e-18,2.92091684942214e-16,ENSG00000134760
GLRX5,-1.24276482130044,7.65636026317138,86.1044097115523,3.43799888685551e-18,6.26386626458797e-16,ENSG00000182512
PYDC1,2.39875189908072,6.46678769682532,84.9856963543139,5.34192985111469e-18,9.50100380662541e-16,ENSG00000169900
ANKRD35,2.13076788645596,6.50291379035127,84.3644861621233,6.82696717963719e-18,1.18598708911372e-15,ENSG00000198483
IRX1,-2.26341019821533,6.63061368862637,83.9813432008157,7.94368173948108e-18,1.32856846217322e-15,ENSG00000170549
FMO2,2.70251200424964,6.58989956851483,83.9624042472909,8.00342447092304e-18,1.32856846217322e-15,ENSG00000094963
MSLN,-2.11382426541702,6.58136025710041,82.5141788456294,1.42103063309262e-17,2.30763018026127e-15,ENSG00000102854
SERBP1,0.896361003328923,9.09417446893097,81.9541987848667,1.77531509489704e-17,2.82161782103849e-15,ENSG00000142864
CASC15,1.92031681611632,6.47649767844888,80.8892445117648,2.71353011874798e-17,4.22293124730154e-15,ENSG00000272168
RAD51B,-2.00163366947951,8.11698574265238,80.5624665099527,3.0915944831722e-17,4.71310424271353e-15,ENSG00000182185
BCAP31,-0.942963550360121,8.73810908321456,80.4527864572712,3.23003571182052e-17,4.82567335345986e-15,ENSG00000185825
CPVL,-2.02349747859794,6.40624353456823,80.6969871773945,3.77175737715666e-17,5.52451521712946e-15,ENSG00000106066
DLX5,2.07391853157096,6.65099292362357,79.6970125261314,4.36977171800163e-17,6.27734514105235e-15,ENSG00000105880
FZD7,2.17603274831177,7.01121113957577,79.5512080391258,4.63245798531627e-17,6.52914361326651e-15,ENSG00000155760
HPN,2.0432279722714,6.50778653782788,79.0328547548424,5.70199349582873e-17,7.88775766922975e-15,ENSG00000105707
FKBP4,-1.1080586337451,8.43727351212073,78.0738222074231,8.3807263387957e-17,1.13825501365098e-14,ENSG00000004478
AARD,-1.98474409899465,8.55049525760106,77.9190855147564,8.91886436429847e-17,1.18971280002338e-14,ENSG00000205002
PERP,1.02999497324244,9.01192798290321,77.3358932296418,1.12792668558905e-16,1.4769281684145e-14,ENSG00000112378
CTSC,1.76150953432936,8.26561840989125,77.2948316271964,1.14674476262438e-16,1.4769281684145e-14,ENSG00000109861
GBP2,2.22309366491099,6.67930100524807,76.4163491781958,1.63456288910904e-16,2.06952284434653e-14,ENSG00000162645
CCL28,-2.1694657656434,7.49785549959215,76.2491106870046,1.74883768665848e-16,2.1773029198898e-14,ENSG00000151882
SCGB3A2,-3.66465290090833,7.51030707344681,75.697635640476,2.18586292043593e-16,2.67678623207482e-14,ENSG00000164265
IFITM3,-2.44130406189566,6.99494615789152,74.6065014723389,3.40202873540509e-16,4.09889591185098e-14,ENSG00000142089
SIVA1,-1.22420038598096,7.65020800428501,74.3199849021362,3.82193131779914e-16,4.40485572021337e-14,ENSG00000184990
KRT5,2.50975539670598,7.80721432697404,74.318018677464,3.82498630917156e-16,4.40485572021337e-14,ENSG00000186081
ANXA5,-0.962063313012666,8.85199646848292,74.2791274586149,3.88592085098333e-16,4.40485572021337e-14,ENSG00000164111
PADI2,-1.79691237695687,6.76139331264905,74.27538211216,3.89184039536924e-16,4.40485572021337e-14,ENSG00000117115
BCAP29,1.75166774548342,6.83276090714392,73.2822233184487,5.83042168381598e-16,6.50048507135901e-14,ENSG00000075790
PEG10,2.12742607637152,6.45304817767951,72.1467458885712,9.26847612908088e-16,1.01816936300344e-13,ENSG00000242265
PDCD5,1.02780194448154,8.66678399623909,71.6128834734018,1.15314039535889e-15,1.24839981932332e-13,ENSG00000105185
RPS8,0.779573491649964,10.8544443597192,71.2280681562663,1.35007678592945e-15,1.440724798699e-13,ENSG00000142937
SPDEF,-1.97767205993639,6.85227068521907,71.1121754201373,1.41578039867006e-15,1.48956050395287e-13,ENSG00000124664
HSP90AA1,-0.946921910965084,11.557247775403,70.2945189001037,1.98058776446679e-15,2.05485980563429e-13,ENSG00000080824
CEBPG,1.59049021778266,7.33590395536939,70.0700490844727,2.17209998719405e-15,2.22268313758076e-13,ENSG00000153879
SNHG10,-1.66593649343509,6.58083484304697,69.9659403231894,2.2671502751336e-15,2.28859629124973e-13,ENSG00000247092
SUMO3,-0.882620996842901,8.41846243381586,68.3081342957421,4.49185268679203e-15,4.47388527604486e-13,ENSG00000184900
TLN1,-1.40493203541097,7.19277925053931,67.8726960919227,5.37845746039037e-15,5.28645753014685e-13,ENSG00000137076
INHBA,2.41265397814109,7.65396025761049,67.8031662917756,5.53552551238358e-15,5.37017864642926e-13,ENSG00000122641
EFNB2,1.95922890281602,6.49770509883549,67.0868453062859,7.44898921679097e-15,7.13383967300366e-13,ENSG00000125266
RPL5,0.808627447780999,10.3082610044371,66.8794731398543,8.11848226965296e-15,7.67659019674779e-13,ENSG00000122406
CALD1,1.36445348879704,9.25599066044205,66.684628885491,8.80267992857372e-15,8.21950238330571e-13,ENSG00000122786
ASPH,1.37525546142733,7.71625237763112,66.3992105680091,9.91119736255009e-15,9.14032645657398e-13,ENSG00000198363
AKT1,-1.22784263089628,7.22251697035698,64.9427744623121,1.81823793199427e-14,1.65637040878015e-12,ENSG00000142208
RARRES1,2.38681609078209,8.92038926757508,64.3422243326556,2.33691262533237e-14,2.10322136279914e-12,ENSG00000118849
PPP1R1B,-1.53831686448016,7.79174407056505,63.6697810221884,3.09679010206434e-14,2.75393119790722e-12,ENSG00000131771
UQCRH,0.696189013840576,9.66024730174355,63.3848517275586,3.48974396198542e-14,3.06686910541542e-12,ENSG00000173660
SCD,-1.82565084380804,7.64264036613001,62.2775690661568,5.55690258532083e-14,4.82675143166821e-12,ENSG00000099194
CNN3,1.7512159262202,7.14087481379945,61.3063468528148,8.36751669447337e-14,7.1845229549099e-12,ENSG00000117519
SPRR2E,3.18672239542115,6.49239349544918,66.1976357894191,8.54206114281309e-14,7.25104508372884e-12,ENSG00000203785
PPP2R5C,-1.16749514034413,7.12907874011334,60.745425541086,1.06047079163069e-13,8.90080540840588e-12,ENSG00000078304
GNG12,1.4105330058909,6.87376936858905,60.7181253395028,1.07278185159669e-13,8.9040893682525e-12,ENSG00000172380
CKB,-1.80487968766088,6.52472479766524,60.5172535053896,1.16790367674449e-13,9.58707743437512e-12,ENSG00000166165
GLRX,-1.62577123457323,7.8459725568133,60.3517830347376,1.25261319845715e-13,1.01706745570379e-11,ENSG00000173221
PAPOLA,-0.964656048721055,7.55489473509885,60.0035719419064,1.45164490109276e-13,1.1659986463616e-11,ENSG00000090060
FXYD3,1.09814500127524,10.0630524945618,59.8738441449702,1.53368903870291e-13,1.2187933105437e-11,ENSG00000089356
OSTC,-0.80019952879788,8.5829784265084,59.7351798731669,1.62655736956607e-13,1.27898774217458e-11,ENSG00000198856
CALML5,1.45377648879854,11.6650631226347,59.6629923446358,1.67712495599395e-13,1.30501285638279e-11,ENSG00000178372
LMO2,-1.7722596137722,6.52986854714937,59.5903864070449,1.72958318158245e-13,1.33195735736298e-11,ENSG00000135363
CT83,-1.67556667126002,6.50795827086049,59.3123761133751,1.94619290300318e-13,1.48347561075855e-11,ENSG00000204019
PDK3,-1.571178870823,7.05839819823927,58.9252378232191,2.29412683564021e-13,1.73102297598307e-11,ENSG00000067992
NUPR2,-1.51416597950993,6.72035309549153,58.6907356517172,2.53470073722978e-13,1.89342145071065e-11,ENSG00000185290
PDE4B,1.58978411361375,7.85143107904083,58.3298750154672,2.95551386814098e-13,2.18590976188249e-11,ENSG00000184588
GSTK1,1.13442948554717,7.72538041842393,58.0321796091201,3.35519886749158e-13,2.45718975883942e-11,ENSG00000197448
PYCARD,1.45149883752725,7.7523958024874,57.6529139225184,3.94429873678895e-13,2.86057393823431e-11,ENSG00000103490
TMEM59,0.866820438904009,8.49738504663046,57.5951938554466,4.04267154035201e-13,2.9037265775413e-11,ENSG00000116209
WNT5A,-1.73720441257524,6.46004173870799,57.4599853477124,4.2828939775642e-13,3.04697314403853e-11,ENSG00000114251
YY1,-0.877262999790897,7.80792765539704,56.6777238553999,5.98383808511986e-13,4.2169123109288e-11,ENSG00000100811
JAG1,1.44673301240736,7.86872494657109,56.363699538452,6.84515129507968e-13,4.77881123123787e-11,ENSG00000101384
RBP1,1.93210393662967,6.97510259704687,56.2142042899334,7.29804444205908e-13,5.0478140724242e-11,ENSG00000114115
