gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SPARC,-4.76211644621535,7.09979149963246,277.220660260515,4.66133338515447e-42,2.81171629792517e-38,ENSG00000113140
COL1A1,-3.41809716628961,7.02723827120603,118.546279238635,9.51788014184137e-23,2.87059265077936e-19,ENSG00000108821
CD74,-2.73890895745902,6.95390096787386,116.994259513419,1.61243413156195e-22,3.24206756052723e-19,ENSG00000019582
HLA-DRA,-2.47175363491109,6.79971824752856,81.4382366145998,5.63225759623638e-17,8.49344445512447e-14,ENSG00000204287
PTN,-2.67910087950143,8.24539954892104,73.6361638807478,1.12571250659314e-15,1.35805956795397e-12,ENSG00000105894
HLA-DRB1,-1.76783752811135,7.65184204712342,66.9860634564696,1.53836712561489e-14,1.54657175028483e-11,ENSG00000196126
MLLT11,-2.10467946354051,6.85442885167717,66.186823637677,2.11486096511615e-14,1.60855150771016e-11,ENSG00000213190
MGP,-3.08312001522333,9.31780788578086,66.1649869613568,2.13335743728137e-14,1.60855150771016e-11,ENSG00000111341
BST2,-1.99888681490528,7.20994460730298,48.2875637069639,3.35578522095043e-11,2.24912182808589e-08,ENSG00000130303
FABP7,-2.0687029640871,6.91695503445682,45.9369477291787,9.16335666422548e-11,5.22175082189219e-08,ENSG00000164434
TIMP1,-2.14002762543557,8.06661136635875,45.7961644630199,9.73439807180668e-11,5.22175082189219e-08,ENSG00000102265
SYNM,-1.7836163369826,7.70070270947738,45.6448904000945,1.03880984520402e-10,5.22175082189219e-08,ENSG00000182253
TRPM4,2.72341527013633,7.30584722909073,42.3396490442999,4.33990996576018e-10,2.01371822411272e-07,ENSG00000130529
CP,-1.82664649977093,6.90300866929544,36.224160279798,6.43362352730143e-09,2.77197265119159e-06,ENSG00000047457
PLBD1,-1.48670301658185,6.86094783179607,35.9656467716267,7.22129000694545e-09,2.90392142145967e-06,ENSG00000121316
DSP,1.25531207838384,9.82818352723572,35.6764539609082,8.21849189505959e-09,2.99399658897901e-06,ENSG00000096696
CALB2,-1.4928797497358,7.15716465742113,35.6175714962424,8.4379877341915e-09,2.99399658897901e-06,ENSG00000172137
RPL24,0.811020323469108,9.32010970342795,35.3168135824555,9.65497844214246e-09,3.23549055350018e-06,ENSG00000114391
TGFBI,-1.881748729641,7.99772284657328,35.1724668763484,1.03005584516015e-08,3.27015624105579e-06,ENSG00000120708
UBE2L6,-1.47512344070202,7.02031383364687,34.8792410668787,1.17494111698467e-08,3.54362240882575e-06,ENSG00000156587
S100A1,-1.59374858571367,6.86919770096357,34.0306980027099,1.72116461987377e-08,4.94384047003743e-06,ENSG00000160678
GPI,1.28171222569043,8.22311213722491,33.8904596728074,1.83351344285903e-08,5.02716049423894e-06,ENSG00000105220
GGH,-1.23692362587914,7.33336467574658,33.0267988289946,2.70881919782865e-08,7.10417278317496e-06,ENSG00000137563
TMEM176B,-1.72163318958963,6.91511303505248,32.4761498790412,3.47683506705957e-08,8.73844546854305e-06,ENSG00000106565
DSG1,1.77556608358333,7.4391438798004,30.7377154322963,7.67681622392421e-08,1.85226221850843e-05,ENSG00000134760
PSMB9,-1.50746906598282,6.82504193092124,30.6063772189187,8.15230064825929e-08,1.89133375039616e-05,ENSG00000240065
FOXP1,-1.46796784340405,7.0483892842235,30.4144946804043,8.90099527686217e-08,1.98854827814936e-05,ENSG00000114861
SELENOM,-1.44536387593132,7.07803751052017,30.2270808628388,9.69930721712176e-08,2.08950789763137e-05,ENSG00000198832
PPIB,-0.759491794331425,8.61919955931562,29.5584593154125,1.31851048569959e-07,2.74250181025514e-05,ENSG00000166794
LY6E,-0.842801401955429,10.1326315495271,27.8532631635462,2.8976324654579e-07,5.81094633176444e-05,ENSG00000160932
ZNF599,1.71787138544049,7.07697373793168,27.7881933445197,2.98639483230599e-07,5.81094633176444e-05,ENSG00000153896
CRABP1,-1.46603794032002,7.13546072498607,27.1139232357673,4.08484149293479e-07,7.69992621418209e-05,ENSG00000166426
ITM2C,-1.22692985900369,7.14925942945691,26.8521969854746,4.61419434309482e-07,8.43418796289332e-05,ENSG00000135916
EFR3A,-1.26639955901383,6.88880965246823,26.7579355085057,4.82138658115009e-07,8.55370701691099e-05,ENSG00000132294
CYP1B1,-1.74820788627517,7.74319482879431,26.573876493125,5.25346775541969e-07,9.05397642876902e-05,ENSG00000138061
AKR1C2,-1.73873297406598,7.21052946341672,26.2715564270624,6.04982167809758e-07,0.000101368123228568,ENSG00000151632
SH3BP5,-1.15069674478488,7.8575289995982,25.208355836625,9.95501736222487e-07,0.000162293688456596,ENSG00000131370
BARX1,-1.23924062751997,7.30852998525051,24.9506947781772,1.12366021086947e-06,0.00017575423144151,ENSG00000131668
CALML5,1.3964565575081,11.9876784570852,24.9057995923035,1.14764058291992e-06,0.00017575423144151,ENSG00000178372
S100A13,-1.03343499509931,7.38923145939186,24.8730139854655,1.16547898833893e-06,0.00017575423144151,ENSG00000189171
TCN1,-1.76871815687736,7.00906086002274,23.9287959926482,1.81930098301684e-06,0.000267659110477014,ENSG00000134827
OASL,-1.48628166741144,6.84104624217087,22.8764002534661,2.99629920747863e-06,0.000430325638559788,ENSG00000135114
RHCG,2.18990328059929,7.42055271499106,22.6049396735137,3.40936454149499e-06,0.000478262486379018,ENSG00000140519
AKR1C1,-1.51463886859074,6.89382572055553,22.395673165277,3.76675416166212e-06,0.000505776368575945,ENSG00000187134
SQOR,1.39902402988546,7.3063180319656,22.2544366707073,4.02915993227972e-06,0.000505776368575945,ENSG00000137767
ADH5,-0.831859270675534,7.89754625051089,22.2480659049033,4.04142284238981e-06,0.000505776368575945,ENSG00000197894
GNAI2,-1.07038149090043,7.12449139961476,22.224040120623,4.08801000587296e-06,0.000505776368575945,ENSG00000114353
NSMCE2,-1.11031316265687,6.9961163778475,22.219006429828,4.09783919201075e-06,0.000505776368575945,ENSG00000156831
OCIAD1,0.925476179890525,7.96413501191846,22.2135124260226,4.10859450600486e-06,0.000505776368575945,ENSG00000109180
LRP3,1.25105064041926,7.55206614826795,21.8928959956904,4.78833796139831e-06,0.000577665091663093,ENSG00000130881
RIPK2,-1.18528599254486,7.0525816055302,21.8138889765527,4.97264794942116e-06,0.000588137498645264,ENSG00000104312
CPNE3,-0.993891102322927,7.39196751674212,21.5956384199905,5.51996805121928e-06,0.000638238620908082,ENSG00000085719
SFRP1,-1.05793467273646,8.83164006943305,21.5626411150032,5.60786586673216e-06,0.000638238620908082,ENSG00000104332
OCIAD2,1.05747084325925,7.79869245994881,21.3445380596667,6.22556678170009e-06,0.000695418867170647,ENSG00000145247
HES6,1.83849317037609,6.87675074798388,21.1961081723979,6.68489594471388e-06,0.000733150769791166,ENSG00000144485
STC1,2.77366303853366,7.51649470547286,21.0970104434849,7.01050904378819e-06,0.000755131974145185,ENSG00000159167
RGS16,-1.54528544822929,6.92117983660407,20.9982324416355,7.35104809902777e-06,0.000774919676749747,ENSG00000143333
NOL7,0.978011559085374,7.74835171791585,20.9371870651012,7.56982322233353e-06,0.000774919676749747,ENSG00000225921
CHI3L2,-1.14632114331374,8.76436346108662,20.934495681092,7.57961885415037e-06,0.000774919676749747,ENSG00000064886
LAMC2,-1.38659902220707,6.81026164092496,20.7190184671763,8.40698501099269e-06,0.000845182226438465,ENSG00000058085
LTF,-1.55789418044966,7.00458472155965,20.5838096714562,8.97223831391313e-06,0.00088722199195941,ENSG00000012223
IGFBP2,-1.41016638299381,7.15612555606715,20.3606522389085,9.99060124600508e-06,0.00097198881799843,ENSG00000115457
NIT2,0.895090433752337,8.04004270507692,20.2866181806602,1.03536829559485e-05,0.000991324056988594,ENSG00000114021
C1S,-1.30250019791551,6.94843212513111,20.0705643870796,1.14914789158082e-05,0.00108307188781492,ENSG00000182326
CEP89,1.30600760285928,7.23566743157123,19.7572602463148,1.33702677326867e-05,0.00124076084559333,ENSG00000121289
TMEM213,2.08851437269837,7.53967775657248,19.3766920782333,1.60763115771691e-05,0.00146927744596188,ENSG00000214128
UQCRB,-0.861013237356171,7.41296854011208,19.3080850596029,1.66201911005991e-05,0.0014963133241614,ENSG00000156467
OXSR1,1.36542088834827,7.06673767862485,19.2553063889297,1.70512399456562e-05,0.00150442194496751,ENSG00000172939
BAG2,-1.13225482213061,6.945495642598,19.2363183567375,1.7209070656956e-05,0.00150442194496751,ENSG00000112208
FRZB,-1.2499443008229,8.28278812167926,19.1427858241714,1.80083815033835e-05,0.00155180796040584,ENSG00000162998
SGCE,-1.0198668883257,7.02895928045766,19.0442677347793,1.88909984960826e-05,0.00160493666096296,ENSG00000127990
RHPN2,1.56421392668407,7.04090443321221,18.9220010386794,2.00475617699534e-05,0.00167954017494943,ENSG00000131941
CEBPG,0.875288353894663,8.15974540499366,18.5822124257255,2.36527098987156e-05,0.00195442665902812,ENSG00000153879
KLF10,-0.972845926009417,8.1791729949981,18.4805462964208,2.48541300550574e-05,0.00202594746610954,ENSG00000155090
ZNF618,-1.09660212133854,6.81537257003805,18.4279826221771,2.54993413548327e-05,0.00205082702736468,ENSG00000157657
HIST3H2A,1.18753111047247,8.1688800903924,18.3458345784586,2.65418448771283e-05,0.00208353368547478,ENSG00000181218
RAB25,0.970309328454556,8.56414842463508,18.341592806798,2.65968325234679e-05,0.00208353368547478,ENSG00000132698
LGALS3BP,-1.19692160502511,6.95721471343187,18.0523331136326,3.06322345847277e-05,0.00236492564428129,ENSG00000108679
SSR1,0.939971756557649,7.43035370134776,18.0160356313062,3.11806238555791e-05,0.00236492564428129,ENSG00000124783
TFG,0.786193866429233,8.00058770754862,18.0039729795131,3.13650615952426e-05,0.00236492564428129,ENSG00000114354
CHSY1,-1.06794823590917,7.12977584301482,17.9371873019942,3.24063944473833e-05,0.00241327618897057,ENSG00000131873
GRINA,-0.847425088756133,7.42734502343391,17.5930546045994,3.83544588534978e-05,0.00280402309633536,ENSG00000178719
HMGA1,0.719373378856782,8.95373835686543,17.5809249313629,3.85832090510337e-05,0.00280402309633536,ENSG00000137309
