labels,clone_name,timepoint,fraction,ncells,mean_1_plus_s,median_1_plus_s,sd_1_plus_s,patient_id
TNBC-SA609 UnRx Line 2,A,X5,0.005540166,2,0.956976024,0.952057247,0.157816276,Pt5
TNBC-SA609 UnRx Line 2,A,X6,0.01497006,5,0.956976024,0.952057247,0.157816276,Pt5
TNBC-SA609 UnRx Line 2,B,X4,0.140625,9,1.005341046,1.004984647,0.010032574,Pt5
TNBC-SA609 UnRx Line 2,B,X5,0.119113573,43,1.005341046,1.004984647,0.010032574,Pt5
TNBC-SA609 UnRx Line 2,B,X6,0.089820359,30,1.005341046,1.004984647,0.010032574,Pt5
TNBC-SA609 UnRx Line 2,B,X7,0.036585366,3,1.005341046,1.004984647,0.010032574,Pt5
TNBC-SA609 UnRx Line 2,C,X4,0.203125,13,1,1,0,Pt5
TNBC-SA609 UnRx Line 2,C,X5,0.11634349,42,1,1,0,Pt5
TNBC-SA609 UnRx Line 2,C,X6,0.299401198,100,1,1,0,Pt5
TNBC-SA609 UnRx Line 2,C,X7,0.5,41,1,1,0,Pt5
TNBC-SA609 UnRx Line 2,D,X4,0.5,32,1.004211064,1.00422758,0.006582393,Pt5
TNBC-SA609 UnRx Line 2,D,X5,0.340720222,123,1.004211064,1.00422758,0.006582393,Pt5
TNBC-SA609 UnRx Line 2,D,X6,0.113772455,38,1.004211064,1.00422758,0.006582393,Pt5
TNBC-SA609 UnRx Line 2,D,X7,0.048780488,4,1.004211064,1.00422758,0.006582393,Pt5
TNBC-SA609 UnRx Line 2,G,X4,0.015625,1,1.000719674,1.002342391,0.019381788,Pt5
TNBC-SA609 UnRx Line 2,G,X5,0.113573407,41,1.000719674,1.002342391,0.019381788,Pt5
TNBC-SA609 UnRx Line 2,G,X6,0.110778443,37,1.000719674,1.002342391,0.019381788,Pt5
TNBC-SA609 UnRx Line 2,G,X7,0.048780488,4,1.000719674,1.002342391,0.019381788,Pt5
TNBC-SA609 UnRx Line 2,H,X4,0.140625,9,1.013385486,1.013259287,0.00956352,Pt5
TNBC-SA609 UnRx Line 2,H,X5,0.304709141,110,1.013385486,1.013259287,0.00956352,Pt5
TNBC-SA609 UnRx Line 2,H,X6,0.371257485,124,1.013385486,1.013259287,0.00956352,Pt5
TNBC-SA609 UnRx Line 2,H,X7,0.365853659,30,1.013385486,1.013259287,0.00956352,Pt5
TNBC-SA609 Rx Line 1,B,X4,0.524137931,76,1.023161695,1.023876379,0.015751097,Pt5
TNBC-SA609 Rx Line 1,B,X5,0.01910828,9,1.023161695,1.023876379,0.015751097,Pt5
TNBC-SA609 Rx Line 1,C,X4,0.075862069,11,1,1,0,Pt5
TNBC-SA609 Rx Line 1,D,X4,0.027586207,4,0.975898598,0.976078937,0.01696534,Pt5
TNBC-SA609 Rx Line 1,A,X4,0.372413793,54,1.047544989,1.0478128,0.01864884,Pt5
