,file_header,labels_detailed,passage,series
1,scrande_SA609_1,X4 Rx:A / UnRx:H,X4,Pt4
2,scrande_SA609_11,X4 Rx:B / UnRx:H,X4,Pt4
3,scrande_SA609_2,X5 Rx:A / UnRx:H,X5,Pt4
4,scrande_SA609_31,X5 RxH:A / UnRx:H,X5,Pt4
5,scrande_SA609_22,X5 RxH:B / UnRx:H,X5,Pt4
6,scrande_SA609_3,X6 Rx:A / UnRx:H,X6,Pt4
7,scrande_SA609_23,X6 RxH:A / UnRx:H,X6,Pt4
8,scrande_SA609_4,X7 Rx:A / UnRx:H,X7,Pt4
9,scrande_SA609_24,X7 RxH:A / UnRx:H,X7,Pt4
10,scrande_SA535_1,X8 Rx:A / UnRx:G,X8,Pt5
11,scrande_SA535_16,X8 RxH:D / UnRx:G,X8,Pt5
12,scrande_SA535_3,X10 Rx:A / UnRx:G,X10,Pt5
13,scrande_SA535_78,X10 RxH:A / UnRx:G,X10,Pt5
14,scrande_SA535_36,X10 RxH:E / UnRx:G,X10,Pt5
15,scrande_SA1035_41,X5 Rx:D / UnRx:A,X5,Pt6
16,scrande_SA1035_3,X6 Rx:G / UnRx:G,X6,Pt6
17,scrande_SA1035_32,X6 RxH:B / UnRx:G,X6,Pt6
18,scrande_SA1035_51,X7 Rx:G / UnRx:E,X7,Pt6
19,scrande_SA1035_12,X7 RxH:G / UnRx:E,X7,Pt6
20,scrande_SA1035_1,X7 Rx:H / UnRx:E,X7,Pt6
21,scrande_SA1035_36,X7 RxH:H / UnRx:E,X7,Pt6
22,scrande_SA1035_52,X8 Rx:G / UnRx:E,X8,Pt6
23,scrande_SA1035_22,X8 RxH:G / UnRx:E,X8,Pt6
24,scrande_SA1035_2,X8 Rx:H / UnRx:E,X8,Pt6
25,scrande_SA1035_34,X8 RxH:H / UnRx:E,X8,Pt6
