gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
A2ML1,ENSG00000166535,0.947729458873846,0.000134900390572846,1.07635913908369,0.000329117094430146,trans,Towards UnRx
AARD,ENSG00000205002,-0.721977543125332,0.000866527010041932,0.105925941226578,0.771581960524954,trans,Away from UnRx
ACOX1,ENSG00000161533,0.677437471773813,0.00102287005599252,0.834467667460344,0.000800707806622321,trans,Towards UnRx
ACSL1,ENSG00000151726,0.840254308991819,5.29640496406178e-05,0.605890197504932,0.017577933729908,trans,Towards UnRx
ACSL4,ENSG00000068366,-1.57796218055394,1.59299791730774e-13,-0.752882768490355,0.00536528030710421,trans,Towards UnRx
ACTR3B,ENSG00000133627,1.16337725612679,1.29177735896239e-09,0.339182396603236,0.193498621216729,trans,Towards UnRx
ADAMTS1,ENSG00000154734,-0.904909496359135,0.00670882805421259,-1.37776191625376,2.13095296843222e-05,trans,Towards UnRx
ADCK2,ENSG00000133597,0.505093853149239,0.00425714154655712,0.395070861249744,0.0541746972525188,trans,Towards UnRx
ADGRE5,ENSG00000123146,-0.926718769066453,9.00285040296304e-07,-0.360484496465652,0.198776017239854,trans,Towards UnRx
ADGRL1,ENSG00000072071,-0.692258785093229,0.000495345881168759,-0.357545914128157,0.164902539825788,trans,Towards UnRx
ADM,ENSG00000148926,-0.928126320635423,0.00231985938859298,-1.78108836089428,6.89365040777229e-09,trans,Towards UnRx
ADORA1,ENSG00000163485,-0.628437356406957,0.00638595287411605,-0.226423538271947,0.515215715240438,trans,Towards UnRx
ADPGK,ENSG00000159322,0.554801288710941,0.00847744987865155,0.585292553622752,0.0155064363472577,trans,Towards UnRx
AGK,ENSG00000006530,0.576232798430419,0.00806619757763792,-0.0508516043334792,0.903182020107755,trans,Away from UnRx
AKR1C1,ENSG00000187134,-0.820699590490873,0.00364438590866156,0.437641790826818,0.218821387129499,trans,Away from UnRx
AKR1C2,ENSG00000151632,-0.769252175599434,0.00930849170059097,0.34118513797384,0.371936369855861,trans,Away from UnRx
ALAS1,ENSG00000023330,0.70349921707945,0.000252754698244181,0.375588874749353,0.104735570720122,trans,Towards UnRx
ALDH1A1,ENSG00000165092,2.33538509940262,3.68928683896978e-18,1.80688103138197,9.86160312669085e-09,trans,Towards UnRx
ALDH2,ENSG00000111275,1.57137325348938,5.83863291834846e-15,1.28016738615893,1.2059872281646e-08,trans,Towards UnRx
ALDH3B2,ENSG00000132746,0.957910780459971,4.26532173047071e-07,0.87987291228533,0.000188440088503007,trans,Towards UnRx
ALDH9A1,ENSG00000143149,0.81184918503608,1.20337825058128e-07,0.831745911656111,2.95409278890516e-06,trans,Towards UnRx
ALYREF,ENSG00000183684,0.530001464872811,0.00751909316478268,-0.0817063615489266,0.804006676600891,trans,Away from UnRx
AMOTL1,ENSG00000166025,-0.777467605268653,0.0001573441975469,-0.389936052587188,0.158465907828947,trans,Towards UnRx
ANKRD28,ENSG00000206560,0.574211204238423,0.0030957554961479,0.34603297124726,0.16572596461519,trans,Towards UnRx
ANKRD36B,ENSG00000196912,-0.630804496872798,0.00678950525396019,-0.189671234094143,0.563908695275159,trans,Towards UnRx
ANXA4,ENSG00000196975,0.694418374912978,5.01032099172195e-08,0.470026276932937,0.00206825964025792,trans,Towards UnRx
APCDD1L,ENSG00000198768,-1.11145462852471,1.68614135107524e-08,-1.1286768393985,9.43186775096459e-07,trans,Towards UnRx
APH1B,ENSG00000138613,-0.720551764796095,0.00287768427575372,-0.609954920544193,0.0300504777618285,trans,Towards UnRx
APTR,ENSG00000214293,0.876935242086754,7.23882409968684e-05,-0.169712379939576,0.608229784158535,trans,Away from UnRx
ARC,ENSG00000198576,-0.879721925689237,0.0029138212878395,0.61888406432936,0.0997601221126615,trans,Away from UnRx
ARHGAP29,ENSG00000137962,-1.33382320088889,2.43978405025069e-11,-1.24040050378455,1.88423698639929e-08,trans,Towards UnRx
ARHGDIB,ENSG00000111348,-1.17290808207325,8.40999436520604e-12,-0.680007624317301,0.00157838375493926,trans,Towards UnRx
ARL4A,ENSG00000122644,-0.952059842588823,9.21913230349087e-07,-0.751742108096582,0.000711560373871802,trans,Towards UnRx
ARL9,ENSG00000196503,-0.939611139058428,5.67946486738728e-06,-0.192715813640402,0.576131635135638,trans,Towards UnRx
ARRDC1-AS1,ENSG00000203993,0.703480060210806,0.00161884157479419,0.0706555577856888,0.942523214435051,trans,Towards UnRx
ASPH,ENSG00000198363,0.985456155460705,7.11795793581586e-10,1.17646163452251,3.41523651861722e-10,trans,Towards UnRx
ASRGL1,ENSG00000162174,-0.691349310222183,0.00114703143239729,-0.745960513134344,0.0009975786412724,trans,Towards UnRx
ATL2,ENSG00000119787,0.549486736114305,0.000128095430057851,0.591965840350016,0.000283034047565875,trans,Towards UnRx
ATP6V0A4,ENSG00000105929,0.94800262438858,2.27047918471783e-06,0.834152284928986,0.00115856970987107,trans,Towards UnRx
ATP6V0E2,ENSG00000171130,0.655754939430762,0.0010239184379213,0.127485929602495,0.653907216929138,trans,Towards UnRx
ATP6V1C2,ENSG00000143882,0.666476874891423,0.0043782279409471,0.624011230811446,0.0111914893969552,trans,Towards UnRx
ATP6V1G1,ENSG00000136888,0.597303254233467,2.43918593234798e-11,0.0599272048397279,0.63380200889789,trans,Towards UnRx
B2M,ENSG00000166710,0.887089961044697,2.62107748735843e-10,1.02032375594736,1.69751020325271e-09,trans,Towards UnRx
BACE2,ENSG00000182240,0.512121494964692,0.000910616928078832,0.181505453498724,0.354112913073358,trans,Towards UnRx
BACH1,ENSG00000156273,0.646513214316141,0.00811288789581707,0.320087728411812,0.312982218225179,trans,Towards UnRx
BACH1,ENSG00000156273,0.646513214316141,0.00811288789581707,0.320087728411812,0.312982218225179,trans,Towards UnRx
BAG2,ENSG00000112208,-0.69033875135502,0.00165625867479354,-0.875564524605979,0.000218199579759929,trans,Towards UnRx
