gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
AAMP,ENSG00000127837,0.694828651784961,5.85785043360291e-19,1.14944833074574,1.13036839812127e-29,trans,Towards UnRx
AAR2,ENSG00000131043,0.63603059390809,2.05295793919315e-06,0.766633237591829,1.84971477530631e-06,trans,Towards UnRx
AARD,ENSG00000205002,1.41136704006964,1.41685218128926e-25,1.86315857818982,4.2077938615973e-28,trans,Towards UnRx
AARSD1,ENSG00000266967,0.542834054203755,0.00125747838341148,0.312013921201096,0.099270438257642,trans,Towards UnRx
AASDH,ENSG00000157426,0.716477230329959,1.1999411345939e-07,1.05012493742635,3.59143537756827e-10,trans,Towards UnRx
AASDHPPT,ENSG00000149313,0.608887449483806,1.69235355634752e-08,0.886337484793958,3.62989471264911e-11,trans,Towards UnRx
ABCA3,ENSG00000167972,0.51826409460121,0.00261335388602662,0.0541108661150285,0.794815540419616,trans,Towards UnRx
ABCD1,ENSG00000101986,1.92311089871325,1.00558740402337e-62,1.80680893016233,8.4421453701451e-33,trans,Towards UnRx
ABLIM1,ENSG00000099204,0.609748775167665,2.75963150119992e-06,0.874806386340707,2.75967679314521e-08,trans,Towards UnRx
ACADM,ENSG00000117054,-0.716113642411561,2.57566772705716e-07,-0.538146157022573,0.001120799858437,trans,Towards UnRx
ACADS,ENSG00000122971,0.573336154842473,0.000233752862550919,0.496694262191112,0.00638223790447425,trans,Towards UnRx
ACAT1,ENSG00000075239,0.580556945336804,7.62711877060454e-08,0.854836735431581,7.31782601385419e-11,trans,Towards UnRx
ACP2,ENSG00000134575,0.785765543706761,7.59553609135963e-10,0.921876501582006,4.24563723651188e-09,trans,Towards UnRx
ACSL1,ENSG00000151726,-0.875624400783016,2.0290759316968e-07,-0.873625750515199,2.18025132541806e-06,trans,Towards UnRx
ACSL4,ENSG00000068366,0.7337787307202,1.54655637575774e-06,0.556618225276554,0.00271713173424321,trans,Towards UnRx
ACTR6,ENSG00000075089,0.549266031669329,1.65348722981137e-05,0.234213453683711,0.128418382602815,trans,Towards UnRx
ADAMTS1,ENSG00000154734,1.12829423417699,1.1469319270185e-11,1.40240952027631,4.262031526422e-12,trans,Towards UnRx
ADGRG1,ENSG00000205336,0.583733270448025,6.68416364258774e-09,0.828569446674243,2.09627727364138e-11,trans,Towards UnRx
ADH5,ENSG00000197894,0.769731170615813,5.24013234161321e-19,0.631046628166382,2.28549182825226e-09,trans,Towards UnRx
ADI1,ENSG00000182551,0.562755694399926,5.9641959290645e-14,0.643029263020112,3.27685926142512e-12,trans,Towards UnRx
ADIPOR1,ENSG00000159346,0.564379391750387,2.04122247437542e-13,0.625637169724571,2.61501999907087e-11,trans,Towards UnRx
ADM,ENSG00000148926,-1.70974892399381,1.79441624387851e-11,-1.82216745667244,1.06526607985956e-14,trans,Towards UnRx
AGL,ENSG00000162688,-0.713440149999622,2.10698921011116e-05,-0.629980924888096,0.000770285216210271,trans,Towards UnRx
AGO3,ENSG00000126070,-0.604193003676323,0.000147488416105763,-0.769953080988559,7.19175658935152e-06,cis,Towards UnRx
AGPAT1,ENSG00000204310,0.903895236529966,2.33519597702321e-16,1.15085845625522,1.93030547574368e-17,trans,Towards UnRx
AGTRAP,ENSG00000177674,0.568761508341068,1.49984418155753e-08,0.645094098146181,1.11652438896246e-07,trans,Towards UnRx
AHCY,ENSG00000101444,0.781045025775279,1.04031737140968e-18,0.857575586579381,6.17871133145854e-16,trans,Towards UnRx
AHCYL1,ENSG00000168710,-0.705883874945773,1.32939043003658e-13,-0.700668915275173,5.89552694237639e-10,trans,Towards UnRx
AHR,ENSG00000106546,0.56890905205328,0.000217555776270489,0.62470287336295,0.000427137347208949,trans,Towards UnRx
AHSA1,ENSG00000100591,0.540908769855732,6.26208086435065e-10,0.564998847632395,3.39110087521443e-08,trans,Towards UnRx
AIMP1,ENSG00000164022,0.574097739801864,2.12605563319698e-10,0.79507127258205,3.81739446372922e-14,trans,Towards UnRx
AIMP2,ENSG00000106305,0.507544955966718,9.58213557609126e-07,0.360168102099839,0.00604500050914457,trans,Towards UnRx
AKIRIN2,ENSG00000135334,0.542198435786718,2.24294247022056e-06,0.259528129866769,0.0736097945418796,trans,Towards UnRx
AKR1C1,ENSG00000187134,-1.4234537980644,2.66418233999051e-10,-2.10092372058598,7.40866583131873e-19,trans,Towards UnRx
AKR1C2,ENSG00000151632,-1.29044782777648,1.85135087721605e-08,-2.3279273347481,8.82669509378623e-18,trans,Towards UnRx
AKR1C3,ENSG00000196139,-1.14723431198431,2.07146999858677e-09,-0.729970498446857,0.000119182974143229,trans,Towards UnRx
AKT1,ENSG00000142208,1.34137665443054,1.43866734079213e-49,1.73712617972379,3.86485191267048e-47,cis,Towards UnRx
AKT1S1,ENSG00000204673,0.533349403208848,4.65811054746955e-05,0.488458710411328,0.00133918520274577,trans,Towards UnRx
ALAD,ENSG00000148218,0.593579517429461,4.385496990632e-05,0.495511805462871,0.00316559808191728,trans,Towards UnRx
ALDH1A1,ENSG00000165092,-1.52194172906308,1.0381362323437e-13,-1.37827441018754,1.16555716946682e-10,trans,Towards UnRx
ALDH1A3,ENSG00000184254,-0.744681482356922,3.546124994864e-05,-1.31825114295723,7.27822260182331e-12,trans,Towards UnRx
ALDH6A1,ENSG00000119711,0.583887053958123,0.000525754652156329,0.425271451061505,0.0293748869057406,trans,Towards UnRx
ALDH7A1,ENSG00000164904,0.58379925351655,8.22689379691323e-09,0.32575854730995,0.00776601455709868,trans,Towards UnRx
ANAPC1,ENSG00000153107,0.558412069457254,5.43558659341446e-05,0.742835762584566,3.91228476224056e-06,trans,Towards UnRx
ANAPC10,ENSG00000164162,0.501986721795929,0.00028385049728677,0.517636118775805,0.00120495840236034,trans,Towards UnRx
ANGEL2,ENSG00000174606,0.656329370146294,1.33856250050595e-06,0.733716873464346,3.06931217534551e-06,trans,Towards UnRx
ANGPTL4,ENSG00000167772,-0.962171163334014,1.72818627510331e-06,-1.79175574359719,6.6086840825838e-17,trans,Towards UnRx
ANK3,ENSG00000151150,-0.71894288601239,8.7626530389375e-06,-0.451990631719568,0.0123577636398427,trans,Towards UnRx
ANKHD1,ENSG00000131503,-0.714201764240735,0.00013481801722751,-0.944295271855886,1.33369379044759e-06,trans,Towards UnRx
ANKRD26,ENSG00000107890,0.618289915339311,4.43622344415693e-05,0.515293161393372,0.00514019115153683,trans,Towards UnRx
ANKRD27,ENSG00000105186,-0.530641714532533,0.00510145255836,-0.672853550226169,0.0016068618048739,cis,Towards UnRx
ANKRD35,ENSG00000198483,-1.04430476565207,4.04688162085452e-09,-0.35634288237938,0.0840859739192431,trans,Towards UnRx
ANKRD37,ENSG00000186352,-0.826893690932483,8.41473679690812e-05,-1.31818019860785,7.32965328144167e-10,trans,Towards UnRx
ANKRD42,ENSG00000137494,1.23340835834211,9.05481663179917e-19,1.04758337006672,1.4731280925432e-09,trans,Towards UnRx
ANKRD46,ENSG00000186106,0.572524616601623,2.6213649639056e-05,0.886191222721145,3.23866447760515e-08,cis,Towards UnRx
ANKRD9,ENSG00000156381,1.05138364011026,3.47224424432747e-18,1.23892486514325,3.53082984068173e-15,cis,Towards UnRx
ANXA1,ENSG00000135046,-0.808990529467037,1.5734626342412e-05,-1.17090348881365,3.9921099387783e-10,trans,Towards UnRx
ANXA3,ENSG00000138772,-0.761533179827019,0.000116830858905966,-1.29946421021286,1.14773468019503e-09,trans,Towards UnRx
ANXA5,ENSG00000164111,1.01407445240303,6.9232302092243e-41,0.715501949621197,4.17571785344264e-17,trans,Towards UnRx
AP1AR,ENSG00000138660,0.759142664813915,6.45033953915901e-11,0.937912882584923,1.74284992974652e-11,trans,Towards UnRx
AP1M2,ENSG00000129354,0.675550760600432,9.33087846148944e-16,1.026199623662,1.33653530104779e-21,trans,Towards UnRx
AP3M2,ENSG00000070718,0.595315626935937,2.34806573619521e-05,0.798495044161727,2.83233982367753e-06,trans,Towards UnRx
APH1A,ENSG00000117362,0.644561467495034,1.90652299070018e-19,0.919165557196217,6.53807752783928e-24,trans,Towards UnRx
APLP1,ENSG00000105290,0.745388828963312,3.92014719560417e-09,1.32655577522742,9.84880061602685e-20,cis,Towards UnRx
APMAP,ENSG00000101474,0.662474864683834,5.9352256640564e-10,1.02859774599098,1.45963923655172e-15,trans,Towards UnRx
APOOL,ENSG00000155008,0.578392774000252,2.45521852937066e-05,0.680092723972133,4.01419653830749e-05,trans,Towards UnRx
APOPT1,ENSG00000256053,0.967766772300552,5.66097287581335e-19,1.0062713105507,2.57476389045879e-14,cis,Towards UnRx
APP,ENSG00000142192,0.71406171130552,6.87955758058059e-15,0.700022925478795,2.14091431343114e-10,trans,Towards UnRx
APTR,ENSG00000214293,0.528519856864084,0.000123420131587351,1.08521355886456,1.66462811754166e-11,trans,Towards UnRx
APTX,ENSG00000137074,0.501707859614034,0.000332515269342988,0.548120022458901,0.000790111110559933,trans,Towards UnRx
AQP5,ENSG00000161798,1.54009769334769,2.22102694263735e-30,1.33777452162755,2.29440542873015e-13,trans,Towards UnRx
ARC,ENSG00000198576,-0.643478886166218,0.00328488464360301,-0.979728213599348,5.96619119473737e-06,trans,Towards UnRx
AREG,ENSG00000109321,-2.02490349364227,1.50042199699566e-15,-2.37416018803422,1.44158803841121e-22,trans,Towards UnRx
ARF1,ENSG00000143761,0.651528654569382,5.08009998921077e-41,0.601886953602889,1.1847552625345e-21,trans,Towards UnRx
ARF4,ENSG00000168374,0.685397054987414,3.02033227003704e-15,0.34190176836223,0.00199153738803979,trans,Towards UnRx
ARF5,ENSG00000004059,0.902879468633799,8.32561856303882e-48,0.788997736048292,1.42996869546613e-22,trans,Towards UnRx
ARFRP1,ENSG00000101246,0.868355458763149,2.63553420337026e-12,0.783695676422164,3.23411513991979e-07,trans,Towards UnRx
ARHGAP26,ENSG00000145819,-1.24176884430264,1.46512502560699e-12,-1.70855608560124,8.38353220762373e-20,trans,Towards UnRx
ARHGAP45,ENSG00000180448,0.65274895901858,2.98766855882678e-10,0.752598058001409,1.80416052065662e-08,trans,Towards UnRx
ARHGEF35,ENSG00000213214,-0.685835098860743,1.63156873839965e-05,-0.870116600482076,5.24249213723092e-07,trans,Towards UnRx
ARHGEF9,ENSG00000131089,0.52558662899232,2.78163023722002e-05,0.572933416387588,0.000110779697978412,trans,Towards UnRx
ARID5B,ENSG00000150347,-0.510171295244069,0.00300376251214758,-0.277728249131675,0.128277931227749,trans,Towards UnRx
ARL2BP,ENSG00000102931,0.788337410920882,3.72578268977982e-15,1.08014039803997,6.63409887523316e-17,trans,Towards UnRx
ARL4A,ENSG00000122644,0.952647887630609,2.45086308601354e-16,0.26383288040784,0.0699649414897832,trans,Towards UnRx
ARL4D,ENSG00000175906,0.930088321866458,1.13260534577649e-10,1.1708476010407,1.31528031476401e-11,trans,Towards UnRx
ARL5B,ENSG00000165997,0.582099570433191,9.00604825379433e-05,0.212809286908279,0.21589094929697,cis,Towards UnRx
ARMC1,ENSG00000104442,0.672378254201396,1.02420809382475e-10,1.12417262555317,7.18803152885654e-19,cis,Towards UnRx
ARMCX6,ENSG00000198960,0.967999506484338,2.08252801867119e-18,1.07982352303847,5.01524065557471e-15,trans,Towards UnRx
ARPC1B,ENSG00000130429,-0.710241595135968,3.65466340532758e-10,-2.27624239189299,8.3140552314281e-61,trans,Towards UnRx
ARPC5L,ENSG00000136950,0.529914049595699,1.59838948212501e-13,0.363937002794279,3.74069891828698e-05,trans,Towards UnRx
ARRDC1-AS1,ENSG00000203993,0.637252775357515,5.74095014875923e-06,0.593152959539382,0.000510451147320231,trans,Towards UnRx
ART3,ENSG00000156219,0.737643530085872,5.31475918837563e-07,1.05787811557796,4.86837986013201e-09,trans,Towards UnRx
ASAP1,ENSG00000153317,-0.508331130143941,0.000735293713219393,-0.276176005657725,0.167407361262129,trans,Towards UnRx
ASAP2,ENSG00000151693,0.630376811503406,4.33510915814634e-08,0.495559231402272,0.000338531393718453,trans,Towards UnRx
ASCL2,ENSG00000183734,0.71435059691055,4.97798291705244e-08,0.754508107302323,1.65232170088104e-06,trans,Towards UnRx
ASPH,ENSG00000198363,-0.91275514960556,3.63388115926193e-12,0.737237776204198,4.27739864758566e-07,cis,Away from UnRx
ASRGL1,ENSG00000162174,0.559930598938234,3.00934188888589e-05,0.0279914294259084,0.899189358851951,trans,Towards UnRx
ASS1,ENSG00000130707,0.618035743470363,2.66418233999051e-10,0.568693687328384,6.83095694773103e-07,trans,Towards UnRx
ATF2,ENSG00000115966,0.563719729176057,0.00015087937268461,0.519368659920655,0.00223424827069661,trans,Towards UnRx
ATG3,ENSG00000144848,0.52545135217363,3.47374540117767e-09,0.334302787620421,0.00128658744233562,trans,Towards UnRx
ATN1,ENSG00000111676,0.557057376666486,9.27048384553142e-05,-0.249122312634241,0.146100176169062,trans,Away from UnRx
ATOX1,ENSG00000177556,-0.692531157443202,1.37046751666231e-18,-0.0245158212458914,0.842885157708654,trans,Towards UnRx
ATP1B1,ENSG00000143153,-0.879781969685992,1.6389670422656e-06,-1.96294322895936,9.39706626877846e-27,trans,Towards UnRx
ATP6AP1,ENSG00000071553,0.511026169423906,3.05645709701936e-09,0.569787261715861,2.95456348341818e-08,trans,Towards UnRx
ATP6V0A4,ENSG00000105929,-0.517062834733144,0.00153088808574129,-0.156348809904423,0.446044119069244,trans,Towards UnRx
ATP6V0B,ENSG00000117410,-0.574205299753048,5.73446654926398e-15,-0.47441950195057,8.29792876253203e-09,cis,Towards UnRx
ATP6V1A,ENSG00000114573,0.554964861595818,6.3095825550655e-06,0.819102134540524,2.43059535618798e-08,trans,Towards UnRx
ATP6V1C1,ENSG00000155097,0.512733768221623,4.53640715790529e-07,1.03122514087412,8.82843633387194e-17,cis,Towards UnRx
ATP6V1C2,ENSG00000143882,-0.781634423801514,1.77077151017024e-06,0.125699807460266,0.532538297646406,trans,Away from UnRx
AVEN,ENSG00000169857,0.82132021262619,6.33293251849263e-11,0.70315567677494,7.56733189110664e-06,trans,Towards UnRx
B2M,ENSG00000166710,0.502475648489897,1.05254557374735e-06,0.202238321071349,0.156636956902384,trans,Towards UnRx
B3GAT3,ENSG00000149541,0.550059406240608,3.34754955870097e-07,0.537756877115453,4.73737822254684e-05,trans,Towards UnRx
B3GNT9,ENSG00000237172,0.740767939870637,2.53458291201768e-06,0.739504292936599,7.09488663841871e-05,trans,Towards UnRx
B4GALNT1,ENSG00000135454,0.633898424124327,5.23008978101322e-06,0.839153575932281,5.98166831470852e-07,trans,Towards UnRx
B4GALT2,ENSG00000117411,-0.790890630367713,4.65418200094316e-11,-0.869638109094564,3.12936520899668e-10,cis,Towards UnRx
B4GALT3,ENSG00000158850,0.640106714603895,4.35798181175552e-16,0.827786206652946,7.96853130815112e-18,trans,Towards UnRx
