gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,direction
ABTB1,ENSG00000114626,-0.318839695914787,0.129439463692353,-0.607149821435484,4.22907484643907e-05,Repressed
ACAP3,ENSG00000131584,-0.051607851694568,0.831894551773583,-0.754748873895631,4.58782613008585e-09,Repressed
ACD,ENSG00000102977,-0.198071989920608,0.276609836723388,0.924501805033426,7.54326297016064e-12,Activated
AGL,ENSG00000162688,-0.165000110051492,0.49687414374156,-0.53685610982654,7.86638144111438e-05,Repressed
AGPS,ENSG00000018510,0.221369523391935,0.1460152068032,0.649325534150286,2.09733513018637e-09,Activated
AHCYL1,ENSG00000168710,0.00209404001526481,0.996667275720842,-0.512264592148363,2.19890056205659e-09,Repressed
AKAP9,ENSG00000127914,0.00821457114517242,0.962240550883764,-0.535627625804193,7.6878072972098e-13,Repressed
AL135925.1,ENSG00000272447,-0.106892565974553,0.723471349840709,-0.511396317217215,0.00469143757312593,Repressed
ALDH3A2,ENSG00000072210,0.202827159237985,0.229866066242513,0.527929516657527,8.70425935991869e-06,Activated
ALG14,ENSG00000172339,-0.11042280342706,0.655156790215365,-0.580870177192762,1.93250180384603e-05,Repressed
ALOX5,ENSG00000012779,0.271114451966448,0.247447996080272,-1.41406177102587,4.97211567518915e-23,Repressed
ANKRD35,ENSG00000198483,-0.146371611756666,0.307570788370383,0.646640564400993,2.23394008680837e-10,Activated
ANKRD37,ENSG00000186352,-0.25524137996309,0.23242590141958,-0.581579900012987,0.000550889766315615,Repressed
ANKRD49,ENSG00000168876,0.0432675694305595,0.950389249727016,-0.634936103958668,5.03892024139208e-06,Repressed
AP1G1,ENSG00000166747,0.240592059266605,0.160452303637243,0.510514374402433,2.1909357305541e-05,Activated
APBA2,ENSG00000034053,0.140037394080905,0.577426254652739,0.555923060441322,0.000755243264011104,Activated
ARFGEF3,ENSG00000112379,-0.219157280164717,0.210514863316375,-0.623479701190266,5.52750803530078e-07,Repressed
ARHGAP30,ENSG00000186517,-0.0549278809341501,0.813838801873351,-0.764283235812629,1.24820700964384e-06,Repressed
ARID3A,ENSG00000116017,0.00861028540157311,0.999578431376116,-0.568514909062593,0.00011663895393832,Repressed
ARRDC3,ENSG00000113369,-0.213444442200605,0.342523853271,-1.08158036359376,6.00827989728761e-11,Repressed
ARRDC4,ENSG00000140450,0.0951682925044652,0.737357333331628,0.541128336669233,0.000148432686503347,Activated
ATG14,ENSG00000126775,0.171662430096614,0.528614462785943,-0.515724547902716,0.000488528449183367,Repressed
B9D1,ENSG00000108641,-0.158343583640297,0.44312425348954,0.630999079556338,1.78318633398344e-07,Activated
BACH1,ENSG00000156273,0.256239273345956,0.221601504482114,-0.579889509011476,3.77882598566561e-05,Repressed
BACH1,ENSG00000156273,0.256239273345956,0.221601504482114,-0.579889509011476,3.77882598566561e-05,Repressed
BAG4,ENSG00000156735,-0.000415841150945993,0.995977798063319,-0.541598247458661,3.70061452635598e-06,Repressed
BAIAP2,ENSG00000175866,0.0381803594598719,0.870657858035429,-0.547108916027406,1.31796568191418e-05,Repressed
BCAP31,ENSG00000185825,-0.06255202776537,0.565484883115641,1.07694694748307,8.93158929223118e-49,Activated
BCL10,ENSG00000142867,-0.0541913989266669,0.811270466660825,-0.559105675627956,4.89742457262659e-06,Repressed
BCL11A,ENSG00000119866,0.238683263893883,0.200022361059675,-0.630006052189412,5.47672639575712e-07,Repressed
BCL2L12,ENSG00000126453,0.0333476706060279,0.857359336396403,0.552950465445214,1.26914227058899e-07,Activated
BCL2L14,ENSG00000121380,-0.161332149997929,0.427121384793082,0.721630387527271,1.13470083963541e-07,Activated
BICDL2,ENSG00000162069,0.128527634182762,0.439048671085795,-0.629892081162442,2.68932601056705e-08,Repressed
BIRC3,ENSG00000023445,0.113665065844321,0.659174977045759,-0.917904738081533,8.25725226136095e-08,Repressed
BLMH,ENSG00000108578,-0.126370028033106,0.448762095691756,0.953675833000976,1.83652355834639e-16,Activated
BRCA1,ENSG00000012048,0.315361631604939,0.121061484156787,0.52087191613773,0.000578471379396708,Activated
BRD2,ENSG00000204256,-0.153519998084659,0.222749943956853,-0.74753005697431,1.89798012668575e-17,Repressed
BRF2,ENSG00000104221,-0.201079116990099,0.288208000640499,-0.61832747732439,2.26751270854256e-06,Repressed
BRI3BP,ENSG00000184992,-0.155275580793406,0.381195438632736,0.799021144721333,1.18904914708924e-10,Activated
BUB1B,ENSG00000156970,0.278477819460051,0.182376729478305,0.590688715781745,7.320473357886e-05,Activated
C20orf27,ENSG00000101220,0.0357928525946115,0.813113587590546,0.587702849044369,4.90987005383579e-11,Activated
C2CD2,ENSG00000157617,-0.116661826408956,0.610435567794928,-0.505214575465571,0.000210537572871953,Repressed
C2orf49,ENSG00000135974,0.0944167257184153,0.641227476351045,-0.586419232720828,4.55879936136161e-07,Repressed
C2orf54,ENSG00000172478,0.281564389517248,0.189126747175647,0.78792256466516,5.33115833155472e-08,Activated
C4orf48,ENSG00000243449,-0.163794432874229,0.24057326822065,-0.668910393118647,4.92138042066312e-13,Repressed
C6orf132,ENSG00000188112,-0.233839560707682,0.159361495221681,-0.687415364127065,7.99635711377216e-09,Repressed
CACNG4,ENSG00000075461,-0.306978218573366,0.113968532676498,0.61325013293493,0.000269110714351234,Activated
CALM3,ENSG00000160014,-0.00341629640712087,0.98913009601845,0.558700668389786,1.22089838927777e-14,Activated
CALM3,ENSG00000160014,-0.00341629640712087,0.98913009601845,0.558700668389786,1.22089838927777e-14,Activated
CBFB,ENSG00000067955,0.217034498049307,0.17926596570613,0.879419907376157,4.94433964015034e-15,Activated
CBLL1,ENSG00000105879,0.0266814637381698,0.959678147255624,-0.631383952611432,1.81239771850374e-07,Repressed
CCDC14,ENSG00000175455,-0.156967207780859,0.382698888744322,-0.594316356521631,9.88819646618762e-07,Repressed
CCDC58,ENSG00000160124,-0.0500057160697894,0.867366887291198,-0.795713492147568,2.14738020969828e-09,Repressed
CCDC85B,ENSG00000175602,0.148197083968383,0.229695737645621,0.631064143354535,1.29958422989267e-12,Activated
CCNA2,ENSG00000145386,0.045203020992994,0.863320636447473,0.815600701073508,2.97638523350342e-08,Activated
CCNB2,ENSG00000157456,-0.207609512490998,0.34464145691481,0.591579513763664,0.00012586743567012,Activated
CDCA3,ENSG00000111665,-0.0864797326836204,0.730219983207067,0.663256295241562,2.50960830472286e-05,Activated
CDCA5,ENSG00000146670,0.287089684175565,0.128036974605499,0.612169748863656,1.29408080166361e-05,Activated
CDH1,ENSG00000039068,-0.134115191051488,0.135024793543355,1.20622185132745,3.85166503606288e-57,Activated
CDK13,ENSG00000065883,0.00750226365406528,0.984657687900509,-0.624986538352248,8.08223445304318e-09,Repressed
CDKN2D,ENSG00000129355,-0.00637862792109175,0.991574602714245,0.62714432196306,1.16835421285979e-06,Activated
CDT1,ENSG00000167513,-0.179279289855146,0.373356603007168,0.575144582300013,8.6724926569416e-05,Activated
CENPJ,ENSG00000151849,0.17088901397626,0.43053169261745,0.526171863280991,0.000410570734833403,Activated
CENPK,ENSG00000123219,-0.237352240736669,0.206702283102126,0.695689166441167,2.08049795772145e-07,Activated
CENPM,ENSG00000100162,0.0932425866238377,0.742080257136892,0.667601897913938,8.98228276457448e-07,Activated
CENPN,ENSG00000166451,-0.149165903590174,0.426467329118614,0.576352976093762,7.91864015109384e-06,Activated
CENPV,ENSG00000166582,-0.252142810083868,0.101373770910738,0.93569338694948,3.45510273230688e-17,Activated
CEP78,ENSG00000148019,0.260090133750988,0.156462199770741,0.742478044408539,1.22109781106241e-08,Activated
CHEK1,ENSG00000149554,0.033054688932849,0.894282402884583,0.566797862945646,8.21329187443817e-06,Activated
CIT,ENSG00000122966,0.194015859019839,0.335738830532572,0.676801564848725,1.85971917811318e-06,Activated
CKAP2,ENSG00000136108,-0.00441800340110698,0.999754697480745,0.683261980814816,1.0382026126776e-06,Activated
CKS2,ENSG00000123975,-0.0501387900259481,0.819405773007307,0.5315349798069,4.43806382411158e-05,Activated
CLCN7,ENSG00000103249,0.224657923760441,0.237394297042245,-0.505470448415414,0.000228604964290327,Repressed
CLDN15,ENSG00000106404,-0.011229877167568,0.973843051276344,-0.988052544173112,2.71103646006923e-12,Repressed
CLN8,ENSG00000182372,0.0285448633231609,0.910053194089412,0.696374707421488,3.26043199624044e-08,Activated
CLPP,ENSG00000125656,0.0551869453493559,0.659804955096372,0.534594489240947,5.0009743843248e-12,Activated
CLSPN,ENSG00000092853,0.184751589675235,0.406703073761981,0.838371712731487,8.08223445304318e-09,Activated
CMTM4,ENSG00000183723,0.0684524403648329,0.713235324110075,0.939587146157389,3.89694140219229e-16,Activated
CNIH1,ENSG00000100528,0.167198683312077,0.228503955994811,0.576417344024739,4.11429137021801e-09,Activated
CNNM4,ENSG00000158158,-0.17313508357835,0.489808733745698,-0.516436762739266,0.000642916966214915,Repressed
COL9A2,ENSG00000049089,-0.0882925471120094,0.701409968331404,-0.806881372391932,3.68277874374785e-08,Repressed
COPS9,ENSG00000172428,-0.0682540217353272,0.773308538887347,-0.622051186185981,3.76711623107925e-13,Repressed
COX16,ENSG00000133983,-0.141126079306965,0.685096259047908,-0.611186078697463,2.12071385162311e-05,Repressed
CPEB4,ENSG00000113742,0.168538577271859,0.563352769790352,-0.65086833908458,1.05264596523081e-05,Repressed
CREBBP,ENSG00000005339,0.0871207485821528,0.662811110625829,-0.565212880663702,2.11334513996547e-06,Repressed
CRNDE,ENSG00000245694,0.200371890305479,0.125699550343259,0.79108721360509,4.09677298411243e-18,Activated
CRYBG3,ENSG00000080200,-0.210305007224054,0.312297916379943,-0.505986636353365,0.000876008397107084,Repressed
CRYL1,ENSG00000165475,0.210244915465655,0.24085399315122,0.525919127912848,2.44498211703537e-05,Activated
CSDE1,ENSG00000009307,-0.0310819416698723,0.808449354755577,-0.646475454905999,4.5513929614471e-21,Repressed
CST3,ENSG00000101439,0.0840440117318484,0.416874332946644,0.640317400139839,4.59716672836162e-17,Activated
CTCF,ENSG00000102974,0.116586910129735,0.440429159411745,0.511976934360406,4.28102022813138e-07,Activated
CTSV,ENSG00000136943,0.102874597193452,0.693350114541617,0.85915277017632,3.48892032914264e-08,Activated
