gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
A2ML1,ENSG00000166535,0.668722085231019,4.03002454936549e-05,0.684117793695506,0.000724576175588065,cis,Towards UnRx
ACD,ENSG00000102977,-0.639922511207867,2.20672535190435e-05,0.145950953200285,0.655869360620684,cis,Away from UnRx
ACKR2,ENSG00000144648,0.654242437349778,2.87256884422558e-06,0.125728685026817,0.566535827512742,trans,Towards UnRx
ACTR3C,ENSG00000106526,0.589672835553443,0.000272464866359144,0.512243925733028,0.0233197844347381,cis,Towards UnRx
ADAMTSL4,ENSG00000143382,0.625925678053269,0.00028987113697173,-0.520124592971251,0.00581352833273625,trans,Away from UnRx
ADNP2,ENSG00000101544,0.518095969720689,0.000163478889321829,0.199198709488647,0.306180421912768,cis,Towards UnRx
ADSL,ENSG00000239900,-0.932447801396491,3.43039430515975e-12,-0.0403548045063614,0.990087073249999,trans,Towards UnRx
AGA,ENSG00000038002,0.539432986114445,0.00353571509597522,-0.0723774809702537,0.797518335551691,trans,Away from UnRx
AGL,ENSG00000162688,0.54020314965331,0.000241752586048018,-0.129394010000835,0.530647000724902,cis,Away from UnRx
AGO3,ENSG00000126070,0.554360480391002,2.21955242016554e-05,-0.0789776847921034,0.688520032894664,cis,Away from UnRx
AHCTF1,ENSG00000153207,0.548935078817231,3.80439752397569e-08,0.221721864749202,0.0875126655143373,cis,Towards UnRx
AHDC1,ENSG00000126705,0.529106375515882,0.000472775478577102,0.280529050302809,0.175082533321835,trans,Towards UnRx
AKAP11,ENSG00000023516,0.872405530244229,8.52062500235973e-09,0.749243549199275,0.000161948646468465,trans,Towards UnRx
AKAP13,ENSG00000170776,0.577856102310982,1.46087844288932e-06,0.335954360517391,0.0202028798136875,trans,Towards UnRx
AKIRIN2,ENSG00000135334,0.501343265223573,4.80548259986056e-05,0.152578886883043,0.377774320331956,trans,Towards UnRx
AKR1B1,ENSG00000085662,-0.567920685872924,0.00031738300945417,0.437021771856799,0.0498123202317024,cis,Away from UnRx
ALDH1A3,ENSG00000184254,0.910970819473063,4.05103467333298e-15,1.55040899985431,3.99376517817778e-27,trans,Towards UnRx
ANKFY1,ENSG00000185722,0.56566966766011,6.03293909041533e-05,0.417285844212296,0.0241803105676163,trans,Towards UnRx
ANKRD13B,ENSG00000198720,-0.509417463125375,0.00192351844450919,0.387628079283258,0.103936123009496,trans,Away from UnRx
ANKRD17,ENSG00000132466,0.553107465225629,6.59544048638017e-10,0.295726734056249,0.00769487058852763,trans,Towards UnRx
ANKRD37,ENSG00000186352,-0.615118816938442,0.000199798870153641,-1.38572773183095,2.69163356610781e-16,trans,Towards UnRx
ANXA1,ENSG00000135046,0.517992676867754,0.000727621815600355,-0.673424904159109,2.61884658181533e-06,trans,Away from UnRx
ANXA8,ENSG00000265190,0.823257091180499,1.83929610528137e-09,0.460288375164907,0.00805938968332258,trans,Towards UnRx
ANXA8,ENSG00000265190,0.823257091180499,1.83929610528137e-09,0.460288375164907,0.00805938968332258,trans,Towards UnRx
APOBEC3B,ENSG00000179750,0.75863146035424,1.76602206519024e-05,0.277648108022326,0.261308181650703,trans,Towards UnRx
APOE,ENSG00000130203,0.777867838128448,1.22822225887848e-10,0.86643472129684,3.66734012796172e-11,trans,Towards UnRx
AREG,ENSG00000109321,0.633376354418277,0.000574081447508821,0.0751043150539157,0.792068994994394,trans,Towards UnRx
ARF5,ENSG00000004059,0.931890019313369,6.83262198451838e-33,0.167747202058606,0.0786162540955549,cis,Towards UnRx
ARHGAP17,ENSG00000140750,0.594046176741747,9.48073304815775e-05,0.214707922207878,0.359762225183489,trans,Towards UnRx
ARHGAP30,ENSG00000186517,0.57854551313501,0.000557666813503435,0.002009413775508,0.999695696935389,trans,Towards UnRx
ARL2BP,ENSG00000102931,-0.569849494447924,1.7756377774998e-05,-0.981159107280326,3.0175822648066e-11,trans,Towards UnRx
ARL5B,ENSG00000165997,0.775551912759504,1.58797783727713e-08,0.112911702030483,0.579243516387138,cis,Towards UnRx
