gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
ABCE1,ENSG00000164163,0.70807792576065,0.0010022716770504,0.42692449205344,0.000120314457845326,trans,Towards UnRx
ABRACL,ENSG00000146386,0.507410235460231,0.00346166195330882,0.0153258811003728,0.894775182788791,trans,Towards UnRx
ACAA2,ENSG00000167315,0.701477297503491,0.00620758486045571,0.227337942306123,0.100364681575057,trans,Towards UnRx
ACTR3,ENSG00000115091,0.508992559623653,0.00225307957459617,0.263885991688476,0.00131170202420158,trans,Towards UnRx
ACTR3B,ENSG00000133627,0.596128170854358,0.00346760557372542,0.112106665264055,0.335409215024909,cis,Towards UnRx
ACTR6,ENSG00000075089,0.781627574115184,0.0073813684261117,0.442344329840286,0.00272781273075169,trans,Towards UnRx
ADAM8,ENSG00000151651,-0.768472735564474,0.00349063344861216,-0.877344745550997,4.39919098598527e-08,trans,Towards UnRx
ADAMTS1,ENSG00000154734,0.953383164640525,0.00496424411391186,1.09269809260832,1.81265856903099e-12,trans,Towards UnRx
ADI1,ENSG00000182551,0.690559990693933,1.97888582094077e-05,-0.0251362532964616,0.8150026517919,trans,Away from UnRx
AES,ENSG00000104964,-0.587709880481633,0.000336446359998682,-0.0679853962490571,0.53281635735923,trans,Towards UnRx
AGAP3,ENSG00000133612,-0.64429081816932,0.00979072488472115,-0.331218155159974,0.0331434519569475,cis,Towards UnRx
AGPS,ENSG00000018510,1.19729824295397,7.13447617333716e-06,0.655275422928196,1.65312210955465e-06,trans,Towards UnRx
AGRN,ENSG00000188157,-0.818605576133427,0.000187561833930218,-0.42460195452001,0.00150867483598283,cis,Towards UnRx
AKR1B1,ENSG00000085662,1.226869446347,2.32588268587193e-05,1.01554958972811,1.34206240356472e-10,cis,Towards UnRx
AKT1S1,ENSG00000204673,-0.749593124231056,0.005172726804691,-0.645291538741285,0.000343239515387977,trans,Towards UnRx
