gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
A1BG,ENSG00000121410,0.578388199000628,8.16857313331737e-36,-0.121505796329162,0.0080140417722342,cis,Away from UnRx
AAAS,ENSG00000094914,-0.982022746125025,2.00090055557833e-115,-1.25181094025268,3.97795201843804e-179,cis,Towards UnRx
ACAA1,ENSG00000060971,0.649369512850167,1.11597675902874e-40,1.09968149279405,1.84613692463948e-87,cis,Towards UnRx
ACAD8,ENSG00000151498,0.612187603139433,2.10336708064094e-31,0.714499809284023,1.02338148699432e-36,cis,Towards UnRx
ACADVL,ENSG00000072778,0.866274233093183,8.60127666915616e-92,0.399517634866356,5.02687509253997e-21,trans,Towards UnRx
ACBD5,ENSG00000107897,-0.623598320200319,1.71904413674307e-27,-0.486294279582311,5.74419302236112e-15,cis,Towards UnRx
ACER3,ENSG00000078124,0.579253251715469,1.54138540984012e-30,0.662365368985379,1.41788595131596e-32,cis,Towards UnRx
ACOT9,ENSG00000123130,1.05468936889155,1.22127747359325e-122,0.38996537188304,1.61291657266973e-19,trans,Towards UnRx
ACSL1,ENSG00000151726,0.831543526512318,5.32329610135167e-46,0.904137142932682,3.05747233685654e-46,cis,Towards UnRx
ACSL3,ENSG00000123983,-0.675873922368544,4.6559568462558e-51,0.349714106612988,2.78097195094614e-12,trans,Away from UnRx
ACTG1,ENSG00000184009,0.505453871216163,4.82782859445398e-118,0.173876154804367,1.41628365967711e-14,cis,Towards UnRx
ACTR1A,ENSG00000138107,0.56167293212958,5.34707645923656e-33,0.326492065639392,2.0252024721303e-11,trans,Towards UnRx
ACTR2,ENSG00000138071,0.526792219004223,4.0371280489214e-64,0.460804543101212,5.42212892970221e-47,trans,Towards UnRx
ACTR6,ENSG00000075089,0.696849221375792,4.28774185196073e-45,-0.0427320581009985,0.409576982687632,trans,Away from UnRx
ACYP1,ENSG00000119640,-0.680112377522981,2.79529093095452e-56,-0.0923785804977252,0.0579161544913527,trans,Towards UnRx
ADAR,ENSG00000160710,0.545493586991878,8.00911652529767e-53,0.422091288081144,1.31861110132778e-31,trans,Towards UnRx
ADARB1,ENSG00000197381,0.582071476001048,9.76615258702965e-23,0.643104837893209,1.71193378966795e-23,trans,Towards UnRx
ADD3,ENSG00000148700,0.602330098627641,1.42184773783194e-33,0.668652501240026,9.03375604494574e-34,trans,Towards UnRx
ADO,ENSG00000181915,0.515175164909569,6.29148095821504e-21,-0.0708012272514536,0.207032139289924,trans,Away from UnRx
ADSL,ENSG00000239900,0.583441241174386,3.34539533011771e-30,-0.742138188087055,1.36973999730494e-54,trans,Away from UnRx
ADSS,ENSG00000035687,0.595841612348441,6.57353588293402e-41,-0.218217947578718,3.12395975932545e-07,cis,Away from UnRx
AFAP1,ENSG00000196526,0.670420785992904,8.05159541498132e-30,0.864511211827347,3.38104144366469e-41,cis,Towards UnRx
AFF3,ENSG00000144218,1.01743330657641,1.49686822660127e-86,0.961581131461118,6.51657698567872e-64,trans,Towards UnRx
AHCTF1,ENSG00000153207,0.645564456011653,1.1695343303441e-47,-0.119368443857677,0.00591503911615743,cis,Away from UnRx
AHI1,ENSG00000135541,-0.608558545887583,1.25926342234006e-69,0.130140656743945,0.00075812370531159,cis,Away from UnRx
