gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,G,H,R,ct,col,label,color
AAAS,-0.0697743719670368,7.58545888496471,2.20159253729448,0.137931334530182,0.277606279072895,ENSG00000094914,-1.29988984973562,7.55261129868566,658.192722273379,1.25299350560023e-133,6.20734322774359e-132,ENSG00000094914,3,3,3,3,3,3,3,2,trans,TRUE,Repressed trans,deepskyblue
AAMDC,-0.00188709116037059,7.8272982531854,0.00227673025995871,0.96194521162952,0.986203139536664,ENSG00000087884,1.27809233032724,7.6230519105951,373.012775361379,3.19883542849586e-79,7.15797377043131e-78,ENSG00000087884,NA,NA,3,NA,3,3,2,NA,unkn,FALSE,0,0
AARSD1,-0.0652075440007072,7.50726476977219,1.74126597672859,0.227826693127518,0.39494761250053,ENSG00000266967,0.762688598445982,7.31078574275617,127.322557420803,4.48476460084981e-27,2.44825334485991e-26,ENSG00000266967,4,NA,3,3,3,3,3,NA,cis,FALSE,Activated cis,darkred
ABHD13,-0.0885505736715656,7.48360677651908,3.37000936314971,0.0822723588359275,0.191325817267985,ENSG00000139826,0.667462934767593,7.28872572238424,102.722818504165,5.85895755312129e-21,2.45044617481335e-20,ENSG00000139826,NA,NA,NA,2,2,2,2,4,unkn,FALSE,0,0
ABI1,0.101627164259727,7.3545317837962,5.99033628363808,0.0860019802597422,0.197340994821948,ENSG00000136754,-0.68875824227806,7.20764823759322,163.106859616936,2.29421087083148e-23,1.07287074747011e-22,ENSG00000136754,2,2,2,2,2,2,2,1,trans,FALSE,Repressed trans,deepskyblue
ABI2,-0.0422775257341516,8.1054086276936,1.33223040866056,0.248464034188825,0.417901892610935,ENSG00000138443,0.63949445588686,7.93482977720119,156.946327689163,2.75798877794131e-35,1.99298034624402e-34,ENSG00000138443,NA,3,3,3,3,3,3,3,unkn,FALSE,0,0
ABRACL,-0.0864045160864637,7.63468885322228,3.28422874541507,0.0700085047046688,0.169989055529001,ENSG00000146386,-0.84320687364285,7.55508378791018,242.858717600971,4.58752737437556e-53,5.60670891770649e-52,ENSG00000146386,NA,NA,3,3,3,3,4,NA,unkn,TRUE,0,0
AC007388.1,0.101664109897391,7.37351569056521,5.32873466257267,0.0833565425517394,0.193028575809704,ENSG00000231312,0.722444182969019,7.18496521790566,161.936206019961,2.41688436283576e-21,1.03657484894956e-20,ENSG00000231312,3,3,3,3,3,3,3,3,trans,TRUE,Activated trans,coral2
AC084033.3,-0.00840472468642481,7.77662499158558,0.0323380397976817,0.857295048077195,0.92262285208507,ENSG00000257698,-0.575920784867599,7.70313046159259,127.165876738776,5.11755404330422e-29,3.02546398577986e-28,ENSG00000257698,3,3,3,3,3,3,3,2,trans,TRUE,Repressed trans,deepskyblue
AC118549.1,0.0874027850103532,7.73367468995891,3.72283566202057,0.053729720367967,0.139805242252458,ENSG00000036549,0.717944397728965,7.56416300921891,129.615889851629,1.55289364237429e-29,9.39034380088471e-29,ENSG00000036549,4,4,NA,3,3,3,3,4,cis,TRUE,Activated cis,darkred
