,gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction,patient,passage,group
1,AADAT,ENSG00000109576,0.121860447790555,0.476087625369139,0.728032102143353,1.80486010849774e-28,cis,Activated,Pt4,X5,1
2,AAED1,ENSG00000158122,-0.11712957315854,0.517701231156695,0.521692356484065,3.59609539608149e-19,trans,Activated,Pt4,X5,1
3,AARSD1,ENSG00000266967,-0.0890875637064116,0.591842992925728,1.09125358551685,7.350967833523e-76,cis,Activated,Pt4,X5,1
4,ABCB8,ENSG00000197150,0.114162845784219,0.530372289938015,0.982075483476157,6.12534143489531e-60,cis,Activated,Pt4,X5,1
5,ABCC1,ENSG00000103222,0.208754152221237,0.31712556180135,0.547490654166626,2.25738228687064e-16,cis,Activated,Pt4,X5,1
6,ABCC10,ENSG00000124574,-0.0302510498896527,0.873110919675304,0.531026613243134,2.55004233103738e-15,trans,Activated,Pt4,X5,1
7,ABCD3,ENSG00000117528,0.165057448134863,0.193120589522714,0.754585727310365,9.03122461295469e-54,cis,Activated,Pt4,X5,1
8,ABCD4,ENSG00000119688,-0.0603720513349868,0.779601163762632,0.543154479172669,8.73899269266308e-22,trans,Activated,Pt4,X5,1
9,ABCE1,ENSG00000164163,-0.108991655740533,0.191404763128786,0.85419509379561,4.53021695210238e-134,cis,Activated,Pt4,X5,1
10,ABCF3,ENSG00000161204,0.0188695971240231,0.920800121053368,0.573357033045326,4.54004107164416e-23,trans,Activated,Pt4,X5,1
11,ABHD12,ENSG00000100997,-0.0703894876397506,0.668509452341924,0.635066260630708,3.04258400713441e-34,cis,Activated,Pt4,X5,1
12,ABHD13,ENSG00000139826,0.0368123249652859,0.837225178726142,0.799224835363152,1.24230839128131e-40,cis,Activated,Pt4,X5,1
13,ABHD17A,ENSG00000129968,-0.118387935796784,0.325852988310416,0.579623783378681,1.77526712218952e-36,trans,Activated,Pt4,X5,1
14,ABHD18,ENSG00000164074,0.0739350243549877,0.768938676652477,0.642792658859418,1.86272266706156e-21,cis,Activated,Pt4,X5,1
15,ABHD8,ENSG00000127220,-0.0412897463630154,0.899278938102389,0.711539003638327,9.39442956949872e-28,trans,Activated,Pt4,X5,1
16,ABR,ENSG00000159842,-0.116374446551846,0.579474115279152,0.544962488501881,1.60964218094519e-16,trans,Activated,Pt4,X5,1
31,AC084033.3,ENSG00000257698,-0.160399707813537,0.177124919041775,-0.592376980319795,5.66682050721914e-49,cis,Repressed,Pt4,X5,1
38,AC139887.2,ENSG00000249592,-0.04705163229926,0.799262236393531,0.904057437546269,2.57682627220275e-52,cis,Activated,Pt4,X5,1
39,ACAA1,ENSG00000060971,0.200954436598105,0.143743956044746,1.09968149279405,1.84613692463948e-87,cis,Activated,Pt4,X5,1
40,ACAA2,ENSG00000167315,-0.0140062415986808,0.922621196330461,0.513780610106952,1.5649154466054e-35,cis,Activated,Pt4,X5,1
41,ACAP3,ENSG00000131584,0.0413533955638166,0.867805022899789,0.521972445541511,1.44822095667066e-15,trans,Activated,Pt4,X5,1
42,ACER3,ENSG00000078124,0.0641748178192172,0.728699748721528,0.662365368985379,1.41788595131596e-32,cis,Activated,Pt4,X5,1
43,ACOT2,ENSG00000119673,-0.00550358616356374,0.997292279751157,-0.538686467497213,1.01404916143985e-18,trans,Repressed,Pt4,X5,1
44,ACP2,ENSG00000134575,-0.116453203019783,0.600016784091036,0.77570736529735,3.27786341092108e-36,cis,Activated,Pt4,X5,1
45,ACSF2,ENSG00000167107,-0.153527625586276,0.404938221699072,0.715975732109482,7.15193455805401e-26,cis,Activated,Pt4,X5,1
46,ACTN4,ENSG00000130402,0.147118359276001,0.199290293471087,0.55215556019069,1.04077972693492e-37,cis,Activated,Pt4,X5,1
47,ACTR1B,ENSG00000115073,-0.0509281621042488,0.737139310738519,0.529728979331721,9.05891203978036e-29,trans,Activated,Pt4,X5,1
48,ACTR3B,ENSG00000133627,0.223851102371746,0.196106707826014,0.550238849104569,1.37126401097049e-19,cis,Activated,Pt4,X5,1
49,ADAM10,ENSG00000137845,-0.206673669512808,0.114765766921775,1.00842761502588,3.47106014890695e-71,cis,Activated,Pt4,X5,1
50,ADAM11,ENSG00000073670,0.106608395684167,0.549099135621498,0.760470641368788,2.36222437431958e-30,cis,Activated,Pt4,X5,1
51,ADAM23,ENSG00000114948,-0.105346687736246,0.514292322425844,1.13867256139925,3.12003902350993e-78,trans,Activated,Pt4,X5,1
52,ADAM9,ENSG00000168615,-0.011725520798191,0.975500102182629,0.9223927650285,1.24018864473463e-46,cis,Activated,Pt4,X5,1
53,ADARB1,ENSG00000197381,-0.157498429671459,0.367578677289959,0.643104837893209,1.71193378966795e-23,trans,Activated,Pt4,X5,1
54,ADCK2,ENSG00000133597,-0.110118889350478,0.530178121977348,0.835450423227437,1.43160297785006e-43,cis,Activated,Pt4,X5,1
55,ADD3,ENSG00000148700,0.153466846811309,0.3034288377997,0.668652501240026,9.03375604494574e-34,trans,Activated,Pt4,X5,1
56,ADGRA3,ENSG00000152990,0.01218833315313,0.938408054932706,0.57004749433634,8.07730040554228e-31,cis,Activated,Pt4,X5,1
57,ADNP2,ENSG00000101544,0.0533124967732129,0.766716760489924,0.52728462974882,3.03352803896338e-21,trans,Activated,Pt4,X5,1
58,AGAP9,ENSG00000204172,0.0624935155769936,0.760463821794685,0.584437247636588,4.46648834812449e-18,trans,Activated,Pt4,X5,1
59,AGO2,ENSG00000123908,0.0672622093809994,0.648301107655077,1.26702567966973,3.09693204781717e-124,cis,Activated,Pt4,X5,1
60,AGO4,ENSG00000134698,-0.193549636622966,0.285258018835695,0.766851759385368,4.00128469027092e-31,trans,Activated,Pt4,X5,1
61,AGPAT5,ENSG00000155189,0.105322920344625,0.403013451816693,0.540162025339994,4.66373279587951e-33,cis,Activated,Pt4,X5,1
62,AGTPBP1,ENSG00000135049,0.0622428583386132,0.762986561716274,1.29616920583466,5.01514000182798e-112,trans,Activated,Pt4,X5,1
63,AHCYL1,ENSG00000168710,0.0471153904048864,0.611887818381033,0.933738366230976,2.02294330006725e-158,trans,Activated,Pt4,X5,1
64,AIDA,ENSG00000186063,-0.175710031248178,0.193808643321332,-0.516831446239366,5.17719131703471e-29,cis,Repressed,Pt4,X5,1
65,AIP,ENSG00000110711,0.167920650364214,0.202304246256747,0.692657487234806,2.23526353579872e-43,cis,Activated,Pt4,X5,1
66,AKAP1,ENSG00000121057,0.0753106227288079,0.561826993807418,0.740093483613312,5.87298281427193e-59,cis,Activated,Pt4,X5,1
67,AKAP8L,ENSG00000011243,0.144792812845615,0.342485051955809,0.738479869115068,2.99178371454583e-40,trans,Activated,Pt4,X5,1
68,AKIRIN1,ENSG00000174574,-0.13597899899828,0.184678364305169,0.616840704710787,3.38590586145505e-52,trans,Activated,Pt4,X5,1
69,AKR1A1,ENSG00000117448,-0.102095727837755,0.244020047427325,0.528734850679123,2.61559704935231e-56,trans,Activated,Pt4,X5,1
70,AKR7A2,ENSG00000053371,0.0551713368399607,0.659462479979464,0.964140669276699,1.59012129061484e-99,trans,Activated,Pt4,X5,1
71,AKT1,ENSG00000142208,-0.0351959824827753,0.823805815987655,0.770951348738985,3.35305632658855e-55,trans,Activated,Pt4,X5,1
72,AKT3,ENSG00000117020,-0.0658279823590523,0.677594936884994,-0.579898248252325,1.53071223886397e-35,cis,Repressed,Pt4,X5,1
81,ALCAM,ENSG00000170017,-0.0678595072548748,0.710297236997557,0.866841729945357,3.1320210180834e-42,cis,Activated,Pt4,X5,1
82,ALDH2,ENSG00000111275,0.199627666222881,0.115274308814803,1.38151632767609,1.40421097888232e-140,trans,Activated,Pt4,X5,1
83,ALG1,ENSG00000033011,-0.0427476268689228,0.827236746406239,-0.521557714637044,1.25938773165134e-17,cis,Repressed,Pt4,X5,1
84,ALG11,ENSG00000253710,-0.0402928046531235,0.897655412566079,0.552031613563085,9.19023396735338e-16,cis,Activated,Pt4,X5,1
85,ALG2,ENSG00000119523,0.076159194750433,0.675857088336614,0.594539233821069,8.55723852324021e-27,trans,Activated,Pt4,X5,1
86,ALG9,ENSG00000086848,-0.0500990166451354,0.848747011857392,0.630676596291693,6.8025843332759e-23,cis,Activated,Pt4,X5,1
87,ALKBH3,ENSG00000166199,0.120917778154689,0.428080926075265,0.538021846419803,3.38204372739346e-23,trans,Activated,Pt4,X5,1
88,ALKBH4,ENSG00000160993,0.195341505248045,0.171166119533638,0.593317923584719,1.42417122776578e-29,cis,Activated,Pt4,X5,1
89,ALS2,ENSG00000003393,0.260911279443045,0.150784226529975,0.551062335954367,8.76053117794669e-17,trans,Activated,Pt4,X5,1
90,AMDHD2,ENSG00000162066,0.00262594316352524,0.972316637542708,0.503799892849087,9.22062967354723e-14,cis,Activated,Pt4,X5,1
91,AMPH,ENSG00000078053,-0.138946094197717,0.427683773777238,0.649086915378995,1.19865260673283e-28,cis,Activated,Pt4,X5,1
92,ANAPC10,ENSG00000164162,-0.00792994868520278,0.993869359297727,0.657041910990948,2.12843246654943e-35,cis,Activated,Pt4,X5,1
93,ANK2,ENSG00000145362,0.0223539204122626,0.908526351083438,1.00924357284304,3.69518424532649e-61,cis,Activated,Pt4,X5,1
94,ANKLE2,ENSG00000176915,0.0743712355360453,0.532464039440955,0.623788238228094,5.96544844135874e-50,trans,Activated,Pt4,X5,1
95,ANKRD10,ENSG00000088448,-0.158312214757192,0.199740572363011,0.616843129071507,3.38346031108785e-37,cis,Activated,Pt4,X5,1
96,ANKRD13A,ENSG00000076513,-0.165931261070009,0.363913535119056,0.893726405669589,3.56245915964069e-40,trans,Activated,Pt4,X5,1
97,ANKRD13D,ENSG00000172932,-0.0100045123219854,0.950696698546554,1.20087855219896,1.06498385856335e-94,cis,Activated,Pt4,X5,1
98,ANKRD16,ENSG00000134461,0.13923812172602,0.366836111976531,0.766435471249015,2.31329419802633e-41,trans,Activated,Pt4,X5,1
99,ANKRD27,ENSG00000105186,0.268039174798198,0.123719463700532,0.839442830493048,1.1811200667036e-38,cis,Activated,Pt4,X5,1
101,ANKRD37,ENSG00000186352,0.0743362333811678,0.72712463374603,0.966477084461808,2.38088265422322e-47,cis,Activated,Pt4,X5,1
102,ANKRD44,ENSG00000065413,0.275970237143075,0.112679837775117,0.731764331890829,1.31476330149575e-28,cis,Activated,Pt4,X5,1
103,ANKRD50,ENSG00000151458,0.204182343768631,0.240794909688078,0.915390490778465,1.52790610129486e-43,cis,Activated,Pt4,X5,1
104,ANKRD9,ENSG00000156381,-0.143806956673489,0.351720020193243,0.784773568765519,2.34601913019119e-39,trans,Activated,Pt4,X5,1
