gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,G,H,R,ct,col,label,color
AIF1,0.60668746097119,7.43409722367874,130.532236720095,4.77559219018863e-26,6.74588575592857e-24,ENSG00000204472,0.691834496879928,7.28180261081975,89.9343986949718,4.29182093744071e-21,1.80971457280158e-20,ENSG00000204472,NA,NA,NA,NA,4,4,NA,5,unkn,TRUE,0,0
APOE,-0.723142425713713,8.14443932988098,215.362208510529,9.06378703377334e-48,3.84098575072131e-45,ENSG00000130203,0.782081539325781,7.81602043667329,118.288409901462,3.88313530315507e-27,2.12734272314776e-26,ENSG00000130203,3,NA,NA,3,3,3,2,NA,cis,FALSE,Away from UnRx cis,darkred
CACNA2D1,-0.686153811290049,7.51891851574455,165.702736888855,2.50513290978019e-37,6.67295831939448e-35,ENSG00000153956,-0.266976762278498,7.30681879400248,16.1104400019601,6.09505897920155e-05,0.000101318188378473,ENSG00000153956,3,3,NA,2,2,2,2,3,cis,TRUE,Towards UnRx cis,deepskyblue4
DDIT4,-0.510649681003197,8.12019042249478,60.0245040399101,1.12702780249187e-14,6.32968686905523e-13,ENSG00000168209,0.754225579823239,7.83818210648501,70.274634396007,7.26794255139545e-17,2.51795885550215e-16,ENSG00000168209,NA,NA,11,NA,NA,NA,NA,NA,unkn,FALSE,0,0
GADD45B,-0.515678800554003,7.47002619995112,91.8632257160187,1.4225674272485e-21,1.47362179158198e-19,ENSG00000099860,-0.183792060395611,7.27038352148357,7.36057925735035,0.00669814266103682,0.0093507525032919,ENSG00000099860,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
HES1,0.821573556413575,8.01454219091183,166.528511041402,1.67592923816308e-37,4.595496555116e-35,ENSG00000114315,2.97604899441026,7.89041201302663,687.974311506721,4.24220430029768e-139,2.22032658971513e-137,ENSG00000114315,NA,3,3,3,3,3,3,3,unkn,TRUE,0,0
HES6,-0.606832326216664,7.6086895342687,148.144334314841,1.31442943219885e-33,2.78509672645224e-31,ENSG00000144485,-0.914440555055728,7.45818377024179,244.238025058503,2.39669971797795e-53,2.96435596626806e-52,ENSG00000144485,NA,2,2,2,2,2,2,2,unkn,TRUE,0,0
NDUFB3,0.513230503131268,8.36121859819659,261.743553196864,2.01686544766505e-57,1.44640281296779e-54,ENSG00000119013,0.769588528638838,8.30826901266032,320.093603652464,1.07747597076154e-68,1.88334667794998e-67,ENSG00000119013,NA,NA,3,3,3,3,3,NA,unkn,TRUE,0,0
NDUFC1,0.535788499534686,8.69004569649405,351.344814466973,8.18049678943444e-76,1.90666928919743e-72,ENSG00000109390,1.50552958732084,8.6116313786939,1155.40467725546,2.44432813245457e-220,3.06003457014313e-218,ENSG00000109390,2,2,2,2,2,2,2,3,trans,TRUE,Towards UnRx trans,deepskyblue
PCP4,-0.572977885953584,7.56940275660874,69.9880843891065,7.659564206e-17,5.57891539785453e-15,ENSG00000183036,0.817625131996945,7.32096544211339,81.4559019019259,2.83223547756396e-19,1.09873657722582e-18,ENSG00000183036,NA,3,3,3,3,3,3,NA,unkn,FALSE,0,0
RABGGTB,0.569045386136151,7.7082525623696,147.837695543913,1.52699656749301e-33,3.16359755527496e-31,ENSG00000137955,-0.699644348957184,7.7172199173014,190.439597658069,2.86767520710935e-42,2.55443683833279e-41,ENSG00000137955,4,4,NA,3,3,3,3,4,cis,FALSE,Away from UnRx cis,darkred
TNNI1,-0.778311465512714,7.54307228386706,127.816646640349,2.78563050442721e-29,4.40176833775845e-27,ENSG00000159173,0.680321883768192,7.27649358335178,69.4988971248518,1.06906590532539e-16,3.66672585965732e-16,ENSG00000159173,NA,NA,NA,4,4,4,4,NA,unkn,FALSE,0,0
VIM,0.659283219205579,8.23057457072972,108.523160303449,3.73046257620975e-25,5.1145739114711e-23,ENSG00000026025,0.500678840163229,8.2092751859284,34.0735466422048,5.76841320364961e-09,1.28985227899131e-08,ENSG00000026025,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ZFP36,0.634924269310703,7.48178168003132,117.009865785365,5.67379140064147e-27,8.26511831690319e-25,ENSG00000128016,1.67781059898562,7.31649923984548,397.607266952044,4.57789280385516e-84,1.12194706177022e-82,ENSG00000128016,NA,3,NA,3,3,3,2,NA,unkn,TRUE,0,0
