gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,F,G,H,I,J,ct,col,label,color
A1BG,-0.720699514390746,6.66226172685359,24.5672657757494,1.05104490560642e-06,9.93695131113725e-06,ENSG00000121410,-0.121554037029062,6.89371812535692,0.871557333069166,0.350781965858461,0.483614099327631,ENSG00000121410,3,3,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
A2ML1,0.808913013459112,5.9159839998718,17.8792228997691,5.32174765428021e-05,0.000322237542775972,ENSG00000166535,-0.351949489304631,6.6071854554081,4.90064833897131,0.0271037132404528,0.0640704014594545,ENSG00000166535,NA,4,4,4,4,4,4,4,4,4,unkn,FALSE,0,0
A4GALT,-1.08446726111088,6.14111541127129,35.794482843885,4.77361058447485e-09,7.3271262974648e-08,ENSG00000128274,-0.756574177260777,6.62443876110196,24.5532364316562,2.42409915075928e-06,1.96224878802579e-05,ENSG00000128274,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AAAS,-0.862171880634394,5.99990942052589,21.4377320280983,3.92731027204221e-05,0.000245729621882641,ENSG00000094914,-0.331689043833971,6.49387270579298,5.07089318345416,0.07577985026323,0.147875118982358,ENSG00000094914,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AACS,0.639948642914755,6.07462941717019,13.6118330643038,0.000254988144132304,0.00126441561839959,ENSG00000081760,0.316049203759195,6.61181878404195,5.33126754686806,0.0211782367225931,0.0524956914408732,ENSG00000081760,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AASDH,0.596970044344601,5.94476192445746,11.2540011486266,0.00120735101603581,0.00478288167913377,ENSG00000157426,0.308082761885797,6.50836755222303,5.071119446931,0.0454135885402366,0.0975347284294015,ENSG00000157426,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ABCA3,-0.854655677187967,6.06277765323344,21.3682263600655,5.08191217660324e-06,4.00245006216741e-05,ENSG00000167972,-0.63895938557362,6.58309730358104,18.0198039223923,6.4480276988933e-05,0.000365205429830144,ENSG00000167972,2,3,3,3,NA,3,3,NA,3,3,cis,TRUE,Towards UnRx cis,deepskyblue4
ABCA7,-0.996097997883002,6.06829970593822,29.8129172704078,8.24928405827432e-08,9.93663761564861e-07,ENSG00000064687,-0.376261739670507,6.52565416850488,6.7070746698116,0.0223549941287831,0.0549005663184371,ENSG00000064687,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ABCB8,-0.552286100266909,6.33242870813808,12.0329263658495,0.000577917020321781,0.00256504056802918,ENSG00000197150,-0.490901071051317,6.79356081116833,12.7706918909636,0.000371330650341177,0.0016854324774499,ENSG00000197150,5,5,5,5,NA,5,6,4,NA,NA,cis,TRUE,Towards UnRx cis,deepskyblue4
ABHD11,-0.610324743545994,7.79744696865917,32.845622714325,1.9325136459988e-08,2.66237736245401e-07,ENSG00000106077,-0.65593830549689,8.0951022805635,62.0106755110521,1.00883228578042e-14,3.47212493177952e-13,ENSG00000106077,2,4,4,4,NA,NA,4,4,NA,4,cis,TRUE,Towards UnRx cis,deepskyblue4
