gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,cnchange.x,color.x,mlog10FDR.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,cnchange.y,color.y,mlog10FDR.y,A,B,C,D,E,F,G,H,I,J,K,ct,col,label,color
AAMDC,1.80090318114542,6.78936318525847,125.649531362125,2.34160904445747e-25,1.11276709560537e-23,ENSG00000087884,0.06949400585614,blue,22.9535957248639,1.89341176326513,6.68775736262842,202.065933671617,1.18036989435081e-39,6.33120039238924e-38,ENSG00000087884,0,black,37.1985139401617,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AARD,1.95831415902205,8.32994769071505,108.183607136067,1.93896553076488e-22,7.50961350065236e-21,ENSG00000205002,0.17302183016177,blue,20.1243824143744,1.72624012309023,8.15394664561481,123.953244768392,2.88031155163408e-26,9.30218927872811e-25,ENSG00000205002,0,black,24.0314148278141,4,4,NA,4,3,4,3,3,4,4,3,trans,TRUE,Towards UnRx trans,deepskyblue
ABI1,-0.514277771788139,6.8080996246975,9.61667527137746,0.00207357732971921,0.00645057429558434,ENSG00000136754,0.018826158042397,blue,2.19040161834143,-0.476130743868405,6.8369492914661,10.4392307363568,0.00130226883972872,0.00372564248221827,ENSG00000136754,0,black,2.42879882293667,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
ACBD5,0.752936630098082,6.62278759695593,16.5689586790742,5.72046028577493e-05,0.000268712464363934,ENSG00000107897,-0.0280314299353199,blue,3.57071218812981,0.637690106432476,6.62148692586793,17.5588401242942,3.21158555330803e-05,0.00013016642817031,ENSG00000107897,0,black,3.88550101223807,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
ADM,-1.36309826814688,6.78441072669162,30.4530136418943,6.37943457540984e-08,5.53360584783031e-07,ENSG00000148926,-0.42048890062095,blue,6.25699177837334,-2.2511402311666,7.23428767610902,68.8375269980147,7.27144624987685e-16,1.14791230643495e-14,ENSG00000148926,0,black,13.9400912881454,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
AGAP3,-0.928319795538763,6.58739481173045,25.6704799552085,8.48295285591186e-07,6.02834429558654e-06,ENSG00000133612,-1.03399875034593,blue,5.21980195187775,-0.0874725631828684,6.49334079160537,0.327384901800355,0.622893872612303,0.711923086524465,ENSG00000133612,0,black,0.147566923360778,1,1,1,1,1,1,2,1,2,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
AGPAT2,-0.965941027737156,7.75810862769145,57.2625029569225,2.96408156079744e-13,5.40230018116165e-12,ENSG00000169692,-0.0686393033908201,blue,11.2674212877161,-0.680343511273845,7.69421786388854,33.6661007550593,1.06763935308412e-08,7.78409232630168e-08,ENSG00000169692,0,black,7.10879202158791,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AIP,-0.527477875019851,6.9980438772291,12.2263078486983,0.000527483851944432,0.0019596594326914,ENSG00000110711,-0.0377814985349101,blue,2.70781939770187,-0.233365893366689,6.95700780938083,3.18749447108485,0.0747166742477232,0.128237525486549,ENSG00000110711,0,black,0.89198487086216,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AK1,-0.844487875894227,6.57924752635918,20.3566372353767,8.60374665147338e-06,4.90394566315768e-05,ENSG00000106992,0.03316983149242,blue,4.30945435054542,-0.391234736164675,6.5429035270532,5.58773466427398,0.0234572781967095,0.0477157142648523,ENSG00000106992,0,black,1.32133857075842,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AKR1B1,-0.560709133443552,7.21981337222701,10.4910191527131,0.00130623211643917,0.00432396323672554,ENSG00000085662,-0.94050950505993,blue,2.36411800716903,0.145733416619053,7.01570482379864,0.881519622275057,0.348169584900305,0.450907478862723,ENSG00000085662,0,black,0.345912561318235,3,3,3,3,3,3,4,3,NA,3,3,trans,FALSE,Away from UnRx trans,coral2
AKR1C1,1.587541185133,6.69269674146804,44.2846510318048,1.00525135270186e-10,1.31309898449049e-09,ENSG00000187134,0.10119278125185,blue,8.8817025345368,0.845350954097382,6.73971483719253,21.1977741598646,5.0752392730108e-06,2.40196566625671e-05,ENSG00000187134,0,black,4.6194332047024,3,3,3,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
