,library_id,jira_ticket
0,A96244B,SC-3955
1,A98253B,SC-3663
2,A98256B,SC-3757
3,A108833B,SC-3698
4,A108851B,SC-3577
5,A108757B,SC-3710
6,A108768B,SC-3799
7,A108837A,SC-3674
8,A108863A,SC-3712
9,A108879A,SC-3717
10,A98168A,SC-3582
11,A98244A,SC-3658
12,A98168B,SC-3588
13,A95625A,SC-3054
14,A98259B,SC-3057
15,A98287A,SC-3122
16,A108760A,SC-3795
17,A108760B,SC-3800
18,A108843B,SC-3858
19,A95697A,SC-2744
20,A96233A,SC-2822
21,A108759B,SC-3796
22,A108732A,SC-3917
23,A108870A,SC-3863
24,A98285A,SC-3048
